site,n_keep,n_held,immuno_tucker,min_factor_tucker,n_factor_scored,n_factor_pass,decouple_immuno,immuno_is_lowest,held_coord_r,elapsed_s,city
2.0,7705,1308,0.9993309304620616,0.9973869785174704,8,8,0.0786242747065151,True,,318.0,Créteil
3.0,7732,1281,0.9993162752108647,0.9984167846564156,8,8,0.0733441164237599,True,,306.3,Montpellier
6.0,7847,1166,0.9997813181716124,0.9989748465116464,8,8,0.0731375242921007,True,,319.6,Marseille
7.0,8174,839,0.9995460025818173,0.9984934990304768,8,8,0.07741087514989,True,,351.2,Paris-Larib.
4.0,8290,723,0.9997560404823082,0.9980988322090648,8,8,0.0816618058117302,True,,348.4,Grenoble
8.0,8310,703,0.9997206243053728,0.9994002413991944,8,8,0.0746675790018287,True,,319.6,Versailles
5.0,8484,529,0.9994604151888232,0.998979708892262,8,8,0.0810474858310927,True,,413.7,Nancy*
10.0,8526,487,0.9998667243873868,0.9990144927610324,8,8,0.0803886836380896,True,,259.2,Clermont-F.
1.0,8609,404,0.9998818213606891,0.9993257220153906,8,8,0.0807489059346768,True,,332.6,Bordeaux
12.0,8645,368,0.9998652799609156,0.999291826239477,8,8,0.0783602162372382,True,,316.7,Colombes
13.0,8742,271,0.9999252723905786,0.997603134918654,8,8,0.0799766200582205,True,,345.2,Lyon
9.0,8776,237,0.999758018252595,0.9172524695560992,8,8,0.0801991280626536,True,,330.9,Monaco
14.0,8841,172,0.9999642122587667,0.999819733762902,8,8,0.0788023938658525,True,,331.5,Strasbourg*
16.0,8845,168,0.9999357784263084,0.9988874034104372,8,8,0.0803242666307623,True,,304.4,Besançon
15.0,8879,134,0.9999870711834146,0.999908994874572,8,8,0.0787935355229167,True,,312.8,Grenoble-2
