# NOTE ON CEILING: the per-axis 'ceiling' reported in the results table / meta.json is the FULL-ITEM-BANK
#   reliability (all pool items). Curves BELOW are capped at min(20, pool) items, so for overall_severity,
#   immunometabolic and suicidality (pool>20) the n=20 endpoint here is slightly below the reported ceiling
#   (0.874<0.881, 0.886<0.888, 0.912<0.914 respectively). See cat_vs_upperbound_meta.json per_axis_reliability.
# cat_vs_upperbound.csv -- FACE-ATLAS methods paper, Fig 3 (adaptive sampling)
# Realized patient-adaptive (CAT) reliability vs the population-mean fixed-order UPPER BOUND.
# method='upper_bound': items added in DECREASING population-mean Fisher-info order (eta=alpha[j];
#   ordinal eta=0 per article/figures/scripts/fig_adaptive_assessment.py). Deterministic. Reproduces curves8.
# method='cat': fully-adaptive test. Per simulated patient, at each step pick the not-yet-given item with
#   highest Fisher info at the patient's CURRENT provisional posterior mean theta_hat; simulate the response
#   from the model at the patient's TRUE theta; grid-EAP update theta_hat; precision += info_at_theta_hat;
#   reliability = 1 - 1/precision. Reliability is AVERAGED over sim patients at each step count.
#   n_sim_patients=500, seed=20240704, theta prior N(0,1), grid=[-5,5]/401, item cap=min(20,pool).
# Single-factor (1-D) reliability per axis -- identical footing for both methods (the whole point).
# columns: axis, method, n_items, reliability
axis,method,n_items,reliability
overall_severity,upper_bound,1,0.5788012303960849
overall_severity,upper_bound,2,0.6746923987713375
overall_severity,upper_bound,3,0.7269621272534734
overall_severity,upper_bound,4,0.7635153527836228
overall_severity,upper_bound,5,0.7907297152786928
overall_severity,upper_bound,6,0.8084035093265542
overall_severity,upper_bound,7,0.823151600112005
overall_severity,upper_bound,8,0.8344413104350371
overall_severity,upper_bound,9,0.8441126519158106
overall_severity,upper_bound,10,0.8518603203765363
overall_severity,upper_bound,11,0.8586099377683897
overall_severity,upper_bound,12,0.8632628294269677
overall_severity,upper_bound,13,0.8662986110247201
overall_severity,upper_bound,14,0.8678878837814888
overall_severity,upper_bound,15,0.8693573747777783
overall_severity,upper_bound,16,0.8704166974304288
overall_severity,upper_bound,17,0.8714278721634862
overall_severity,upper_bound,18,0.8721696012424456
overall_severity,upper_bound,19,0.8728975240215249
overall_severity,upper_bound,20,0.8736034952760728
overall_severity,cat,1,0.5788012303960903
overall_severity,cat,2,0.6746923987713386
overall_severity,cat,3,0.7269621272534806
overall_severity,cat,4,0.7635153527836177
overall_severity,cat,5,0.7907297152786974
overall_severity,cat,6,0.8084035093265632
overall_severity,cat,7,0.8231516001119996
overall_severity,cat,8,0.8344413104350282
overall_severity,cat,9,0.8441126519158065
overall_severity,cat,10,0.8518603203765418
overall_severity,cat,11,0.858609937768392
overall_severity,cat,12,0.8632628294269614
overall_severity,cat,13,0.8662986110247177
overall_severity,cat,14,0.8679950397518976
overall_severity,cat,15,0.8693753799715137
overall_severity,cat,16,0.8704282806488913
overall_severity,cat,17,0.8714124832425989
overall_severity,cat,18,0.8721541167505017
overall_severity,cat,19,0.8728815382158682
overall_severity,cat,20,0.8735841056735705
cognition,upper_bound,1,0.6434656630497197
cognition,upper_bound,2,0.779469156091164
cognition,upper_bound,3,0.8239878697399381
cognition,upper_bound,4,0.8297270273710782
cognition,upper_bound,5,0.8347986444439593
cognition,upper_bound,6,0.838790498076446
cognition,upper_bound,7,0.8423671837022632
cognition,upper_bound,8,0.8452783301576349
cognition,upper_bound,9,0.8477328114293734
cognition,upper_bound,10,0.8500865198529085
cognition,upper_bound,11,0.8523410197981224
cognition,upper_bound,12,0.8524447169180428
cognition,upper_bound,13,0.8525144304549059
cognition,upper_bound,14,0.8525827206260814
cognition,upper_bound,15,0.8526458714957454
cognition,upper_bound,16,0.852674135046736
cognition,cat,1,0.6434656630497148
cognition,cat,2,0.7794691560911672
cognition,cat,3,0.8239878697399378
cognition,cat,4,0.829727027371077
cognition,cat,5,0.8347986444439521
cognition,cat,6,0.8387904980764388
cognition,cat,7,0.842367183702265
cognition,cat,8,0.845278330157628
cognition,cat,9,0.8477328114293666
cognition,cat,10,0.8500865198529197
cognition,cat,11,0.8523410197981286
cognition,cat,12,0.8524447169180447
cognition,cat,13,0.8525144304549034
cognition,cat,14,0.8525827206260761
cognition,cat,15,0.8526458714957382
cognition,cat,16,0.8526741350467409
immunometabolic,upper_bound,1,0.7386412963621266
immunometabolic,upper_bound,2,0.8427253871343654
immunometabolic,upper_bound,3,0.8710985476138773
immunometabolic,upper_bound,4,0.8729183995040002
immunometabolic,upper_bound,5,0.8746345805000059
immunometabolic,upper_bound,6,0.8761578913139034
immunometabolic,upper_bound,7,0.8773862217743176
immunometabolic,upper_bound,8,0.878550443320957
immunometabolic,upper_bound,9,0.8796910657903942
immunometabolic,upper_bound,10,0.8808040264387745
immunometabolic,upper_bound,11,0.8817558114123089
immunometabolic,upper_bound,12,0.8826740815426107
immunometabolic,upper_bound,13,0.8832253553849958
immunometabolic,upper_bound,14,0.8837652741808626
immunometabolic,upper_bound,15,0.8842899199533057
immunometabolic,upper_bound,16,0.8847516981676876
immunometabolic,upper_bound,17,0.8851285148277277
immunometabolic,upper_bound,18,0.8854633968797585
immunometabolic,upper_bound,19,0.8857942374143483
immunometabolic,upper_bound,20,0.8861157757481278
immunometabolic,cat,1,0.7386412963621221
immunometabolic,cat,2,0.842725387134364
immunometabolic,cat,3,0.8710985476138821
immunometabolic,cat,4,0.8729183995039916
immunometabolic,cat,5,0.8746345805000114
immunometabolic,cat,6,0.8761578913138962
immunometabolic,cat,7,0.8773862217743159
immunometabolic,cat,8,0.8785504433209483
immunometabolic,cat,9,0.8796910657903863
immunometabolic,cat,10,0.8808040264387821
immunometabolic,cat,11,0.8817558114123035
immunometabolic,cat,12,0.8826740815426185
immunometabolic,cat,13,0.8832310195790961
immunometabolic,cat,14,0.8837712573090672
immunometabolic,cat,15,0.8842965035943628
immunometabolic,cat,16,0.8847636711857592
immunometabolic,cat,17,0.8851557759032901
immunometabolic,cat,18,0.8855022486727782
immunometabolic,cat,19,0.8858335802270012
immunometabolic,cat,20,0.8861574756002063
sleep,upper_bound,1,0.7690784098082515
sleep,upper_bound,2,0.7922313731685332
sleep,upper_bound,3,0.8047412060279835
sleep,upper_bound,4,0.8138295761053043
sleep,upper_bound,5,0.8209229959477637
sleep,upper_bound,6,0.826983772662883
sleep,upper_bound,7,0.830025618818115
sleep,upper_bound,8,0.8324691795622305
sleep,upper_bound,9,0.8340313241005086
sleep,upper_bound,10,0.8352287259368387
sleep,upper_bound,11,0.8354473598844756
sleep,upper_bound,12,0.8355250888629866
sleep,cat,1,0.7690784098082457
sleep,cat,2,0.7922313731685334
sleep,cat,3,0.8047412060279838
sleep,cat,4,0.8138295761053065
sleep,cat,5,0.8209229959477566
sleep,cat,6,0.826983772662874
sleep,cat,7,0.8300256188181223
sleep,cat,8,0.8324691795622254
sleep,cat,9,0.8340313241005176
sleep,cat,10,0.8352287259368318
sleep,cat,11,0.83544735988448
sleep,cat,12,0.8355250888629906
suicidality,upper_bound,1,0.7496668111010203
suicidality,upper_bound,2,0.8368746004866683
suicidality,upper_bound,3,0.8588668535641855
suicidality,upper_bound,4,0.8721283688627457
suicidality,upper_bound,5,0.8814164706363892
suicidality,upper_bound,6,0.8868399930588987
suicidality,upper_bound,7,0.8915231911141269
suicidality,upper_bound,8,0.8947697440497657
suicidality,upper_bound,9,0.8974616052318938
suicidality,upper_bound,10,0.8998395275234428
suicidality,upper_bound,11,0.9017074333881385
suicidality,upper_bound,12,0.9034981265614255
suicidality,upper_bound,13,0.9050484848127185
suicidality,upper_bound,14,0.9064486480011402
suicidality,upper_bound,15,0.9076893283292053
