item,factor,prior_type,prior_mean,prior_sd,dist,sign_constraint,item_sign,likelihood_family,modeling_block,rationale
acne_mhoccur,anhedonia,unlikely_cross,0.0,0.05,normal,signed,1,bernoulli,explicit,soft-zero complement
acne_mhoccur,cognition,unlikely_cross,0.0,0.05,normal,signed,1,bernoulli,explicit,soft-zero complement
acne_mhoccur,developmental_risk,unlikely_cross,0.0,0.05,normal,signed,1,bernoulli,explicit,soft-zero complement
acne_mhoccur,immunometabolic,primary,0.6,0.3,half_normal,positive,1,bernoulli,explicit,home factor immunometabolic (merged metabolic+inflammatory)
acne_mhoccur,mania_activation,unlikely_cross,0.0,0.05,normal,signed,1,bernoulli,explicit,soft-zero complement
acne_mhoccur,overall_severity,plausible_cross,0.0,0.25,normal,signed,1,bernoulli,explicit,specific item may load on G
acne_mhoccur,sleep,unlikely_cross,0.0,0.05,normal,signed,1,bernoulli,explicit,soft-zero complement
acne_mhoccur,substance,unlikely_cross,0.0,0.05,normal,signed,1,bernoulli,explicit,soft-zero complement
acne_mhoccur,suicidality,unlikely_cross,0.0,0.05,normal,signed,1,bernoulli,explicit,soft-zero complement
agepere,anhedonia,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
agepere,cognition,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
agepere,developmental_risk,primary,0.6,0.3,half_normal,positive,1,gaussian,continuous,home factor developmental_risk
agepere,immunometabolic,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,merged metabolic+inflammatory -> immunometabolic
agepere,mania_activation,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
agepere,overall_severity,plausible_cross,0.0,0.25,normal,signed,1,gaussian,continuous,specific item may load on G
agepere,sleep,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
agepere,substance,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
agepere,suicidality,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
alp_lbstresc,anhedonia,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alp_lbstresc,cognition,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alp_lbstresc,developmental_risk,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alp_lbstresc,immunometabolic,primary,0.6,0.3,half_normal,positive,1,lognormal,continuous,home factor immunometabolic (merged metabolic+inflammatory)
alp_lbstresc,mania_activation,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alp_lbstresc,overall_severity,plausible_cross,0.0,0.25,normal,signed,1,lognormal,continuous,specific item may load on G
alp_lbstresc,sleep,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alp_lbstresc,substance,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alp_lbstresc,suicidality,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alt_lbstresc,anhedonia,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alt_lbstresc,cognition,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alt_lbstresc,developmental_risk,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alt_lbstresc,immunometabolic,primary,0.6,0.3,half_normal,positive,1,lognormal,continuous,home factor immunometabolic (merged metabolic+inflammatory)
alt_lbstresc,mania_activation,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alt_lbstresc,overall_severity,plausible_cross,0.0,0.25,normal,signed,1,lognormal,continuous,specific item may load on G
alt_lbstresc,sleep,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alt_lbstresc,substance,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
alt_lbstresc,suicidality,unlikely_cross,0.0,0.05,normal,signed,1,lognormal,continuous,soft-zero complement
altman,anhedonia,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
altman,cognition,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
altman,developmental_risk,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
altman,immunometabolic,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,merged metabolic+inflammatory -> immunometabolic
altman,mania_activation,primary,0.6,0.3,half_normal,positive,1,gaussian,continuous,home factor mania_activation
altman,overall_severity,plausible_cross,0.0,0.25,normal,signed,1,gaussian,continuous,specific item may load on G
altman,sleep,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
altman,substance,unlikely_cross,0.0,0.05,normal,signed,1,gaussian,continuous,soft-zero complement
