variable,dimension,status,prior_mean,prior_sd
cgi01,overall_severity,primary,0.6,0.3
cgi02,overall_severity,primary,0.6,0.3
lvsbjind,overall_severity,primary,0.6,0.3
fast,overall_severity,primary,0.6,0.3
fast29,overall_severity,primary,0.6,0.3
fast25,overall_severity,primary,0.6,0.3
eq5d,overall_severity,primary,0.6,0.3
eq5d0206,overall_severity,primary,0.6,0.3
fast28,overall_severity,primary,0.6,0.3
fast30,overall_severity,primary,0.6,0.3
egf,overall_severity,primary,0.6,0.3
cgi03b,overall_severity,primary,0.6,0.3
fast27,overall_severity,primary,0.6,0.3
cgi03a,overall_severity,primary,0.6,0.3
fast26,overall_severity,primary,0.6,0.3
cgi03,overall_severity,primary,0.6,0.3
wais_code_std,cognition,primary,0.6,0.3
verbal_fluency_phonemic,cognition,primary,0.6,0.3
cvlt_long_delay_free_recall,cognition,primary,0.6,0.3
tmt_b_time_sec,cognition,primary,0.6,0.3
verbal_fluency_semantic,cognition,primary,0.6,0.3
wais_ivt_index,cognition,primary,0.6,0.3
wais_digitspan_std,cognition,primary,0.6,0.3
cvlt_total_recall,cognition,primary,0.6,0.3
cvlt_short_delay_free_recall,cognition,primary,0.6,0.3
wais_similitudes_std,cognition,primary,0.6,0.3
tmt_a_time_sec,cognition,primary,0.6,0.3
qids_anhedonia_interest,anhedonia,primary,0.6,0.3
qids_anhedonia_interest,affective_internalizing,cross_loading,0.0,0.25
qids_anhedonia_interest,overall_severity,cross_loading,0.0,0.25
hta_mhoccur,metabolism_immunometabolic,primary,0.6,0.3
autendoc_mhoccur,metabolism_immunometabolic,primary,0.6,0.3
diabpsupine,metabolism_immunometabolic,primary,0.6,0.3
diabpstanding,metabolism_immunometabolic,primary,0.6,0.3
sysbpsupine,metabolism_immunometabolic,primary,0.6,0.3
hba1c,metabolism_immunometabolic,primary,0.6,0.3
wbc,metabolism_immunometabolic,primary,0.6,0.3
eos,metabolism_immunometabolic,primary,0.6,0.3
hdl,metabolism_immunometabolic,primary,0.6,0.3
sysbpstanding,metabolism_immunometabolic,primary,0.6,0.3
ldl,metabolism_immunometabolic,primary,0.6,0.3
wstcir,metabolism_immunometabolic,primary,0.6,0.3
baso_lbstresc,metabolism_immunometabolic,primary,0.6,0.3
autcardv_mhoccur,metabolism_immunometabolic,primary,0.6,0.3
urate,metabolism_immunometabolic,primary,0.6,0.3
plat,metabolism_immunometabolic,primary,0.6,0.3
neut,metabolism_immunometabolic,primary,0.6,0.3
crp,metabolism_immunometabolic,primary,0.6,0.3
chol,metabolism_immunometabolic,primary,0.6,0.3
gluc,metabolism_immunometabolic,primary,0.6,0.3
cholhdl_lbstresc,metabolism_immunometabolic,primary,0.6,0.3
trig,metabolism_immunometabolic,primary,0.6,0.3
mono_lbstresc,metabolism_immunometabolic,primary,0.6,0.3
bmi,metabolism_immunometabolic,primary,0.6,0.3
lym_lbstresc,metabolism_immunometabolic,primary,0.6,0.3
weight,metabolism_immunometabolic,primary,0.6,0.3
psqi15,sleep_circadian,primary,0.6,0.3
psqi11,sleep_circadian,primary,0.6,0.3
psqi14,sleep_circadian,primary,0.6,0.3
psqi17,sleep_circadian,primary,0.6,0.3
psqi,sleep_circadian,primary,0.6,0.3
psqi12,sleep_circadian,primary,0.6,0.3
psqi13,sleep_circadian,primary,0.6,0.3
isf09a,suicidality,primary,0.6,0.3
ltsg01,suicidality,primary,0.6,0.3
cssrs09,suicidality,primary,0.6,0.3
cssrs04,suicidality,primary,0.6,0.3
isf04,suicidality,primary,0.6,0.3
ltsg04,suicidality,primary,0.6,0.3
isf08,suicidality,primary,0.6,0.3
isf07,suicidality,primary,0.6,0.3
isf03,suicidality,primary,0.6,0.3
ltsg06,suicidality,primary,0.6,0.3
ltsv09,suicidality,primary,0.6,0.3
isf01,suicidality,primary,0.6,0.3
ltsv02,suicidality,primary,0.6,0.3
ltsg05,suicidality,primary,0.6,0.3
cssrs02,suicidality,primary,0.6,0.3
cssrs06,suicidality,primary,0.6,0.3
ltsv07,suicidality,primary,0.6,0.3
cssrs03,suicidality,primary,0.6,0.3
cssrs12,suicidality,primary,0.6,0.3
cssrs08,suicidality,primary,0.6,0.3
isf09,suicidality,primary,0.6,0.3
ltsg03,suicidality,primary,0.6,0.3
isf02,suicidality,primary,0.6,0.3
ltsg02,suicidality,primary,0.6,0.3
ltsv01,suicidality,primary,0.6,0.3
isf05,suicidality,primary,0.6,0.3
ltsv05,suicidality,primary,0.6,0.3
cssrs11,suicidality,primary,0.6,0.3
isf08a,suicidality,primary,0.6,0.3
cssrs05,suicidality,primary,0.6,0.3
cssrs01,suicidality,primary,0.6,0.3
ltsv06,suicidality,primary,0.6,0.3
ltsv04,suicidality,primary,0.6,0.3
cssrs10,suicidality,primary,0.6,0.3
brthcirc,neurodevelopment,primary,0.6,0.3
epilepsie_mhoccur,neurodevelopment,primary,0.6,0.3
pere_suicide,neurodevelopment,primary,0.6,0.3
gstabrth,neurodevelopment,primary,0.6,0.3
agetrt,neurodevelopment,primary,0.6,0.3
apgr0106_1min,neurodevelopment,primary,0.6,0.3
ctq35,neurodevelopment,primary,0.6,0.3
ctq39,neurodevelopment,primary,0.6,0.3
ctq33,neurodevelopment,primary,0.6,0.3
ctq29,neurodevelopment,primary,0.6,0.3
ctq41,neurodevelopment,primary,0.6,0.3
wurs,neurodevelopment,primary,0.6,0.3
ctq31,neurodevelopment,primary,0.6,0.3
agemere,neurodevelopment,primary,0.6,0.3
prembrth,neurodevelopment,primary,0.6,0.3
agedebutpremier_episode,neurodevelopment,primary,0.6,0.3
naisstyp,neurodevelopment,primary,0.6,0.3
autneuro_mhoccur,neurodevelopment,primary,0.6,0.3
