,overall_severity,cognition,metabolic,inflammatory,sleep,developmental_risk,suicidality
cgi01,0.619,0.0,0.0,0.0,0.0,0.0,0.0
egf,0.725,0.0,0.0,0.0,0.0,0.0,0.0
eq5d,0.68,0.0,0.0,0.0,0.0,0.0,0.0
eq5d0206,0.626,0.0,0.0,0.0,0.0,0.0,0.0
fast,0.904,0.0,0.0,0.0,0.0,0.0,0.0
fast25,0.756,0.0,0.0,0.0,0.0,0.0,0.0
fast26,0.58,0.0,0.0,0.0,0.0,0.0,0.0
fast27,0.71,0.0,0.0,0.0,0.0,0.0,0.0
fast28,0.416,0.0,0.0,0.0,0.0,0.0,0.0
fast30,0.682,0.0,0.0,0.0,0.0,0.0,0.0
lvsbjind,0.009,0.0,0.0,0.0,0.0,0.0,0.0
cvlt_long_delay_free_recall,0.234,0.947,0.0,0.0,0.0,0.0,0.0
cvlt_short_delay_free_recall,0.228,0.954,0.0,0.0,0.0,0.0,0.0
cvlt_total_recall,0.272,0.895,0.0,0.0,0.0,0.0,0.0
tmt_a_time_sec,0.271,0.395,0.0,0.0,0.0,0.0,0.0
tmt_b_time_sec,0.265,0.454,0.0,0.0,0.0,0.0,0.0
verbal_fluency_phonemic,0.214,0.399,0.0,0.0,0.0,0.0,0.0
verbal_fluency_semantic,0.279,0.499,0.0,0.0,0.0,0.0,0.0
wais_code_std,0.343,0.447,0.0,0.0,0.0,0.0,0.0
wais_digitspan_std,0.206,0.397,0.0,0.0,0.0,0.0,0.0
wais_ivt_index,0.338,0.475,0.0,0.0,0.0,0.0,0.0
wais_similitudes_std,0.152,0.431,0.0,0.0,0.0,0.0,0.0
alp_lbstresc,0.109,0.0,0.252,0.0,0.0,0.0,0.0
alt_lbstresc,0.02,0.0,0.469,0.0,0.0,0.0,0.0
ast_lbstresc,-0.03,0.0,0.289,0.0,0.0,0.0,0.0
bili_lbstresc,-0.111,0.0,0.009,0.0,0.0,0.0,0.0
bmi,0.135,0.0,0.902,0.0,0.0,0.0,0.0
chol,0.059,0.0,0.188,0.0,0.0,0.0,0.0
cholhdl_lbstresc,0.136,0.0,0.424,0.0,0.0,0.0,0.0
creat_lbstresc,-0.034,0.0,0.166,0.0,0.0,0.0,0.0
diabpstanding,0.018,0.0,0.351,0.0,0.0,0.0,0.0
diabpsupine,0.086,0.0,0.358,0.0,0.0,0.0,0.0
eghrmn,0.192,0.0,0.201,0.0,0.0,0.0,0.0
ggt_lbstresc,0.159,0.0,0.492,0.0,0.0,0.0,0.0
gluc,0.022,0.0,0.173,0.0,0.0,0.0,0.0
hba1c,0.095,0.0,0.239,0.0,0.0,0.0,0.0
hdl,0.155,0.0,0.346,0.0,0.0,0.0,0.0
hrstanding,0.164,0.0,0.127,0.0,0.0,0.0,0.0
hrsupine,0.193,0.0,0.157,0.0,0.0,0.0,0.0
ldl,0.038,0.0,0.212,0.0,0.0,0.0,0.0
sysbpstanding,0.004,0.0,0.432,0.0,0.0,0.0,0.0
sysbpsupine,0.046,0.0,0.394,0.0,0.0,0.0,0.0
t3fr_lbstresc,-0.037,0.0,0.042,0.0,0.0,0.0,0.0
t4fr_lbstresc,-0.004,0.0,0.006,0.0,0.0,0.0,0.0
trig,0.194,0.0,0.478,0.0,0.0,0.0,0.0
tsh_lbstresc,0.012,0.0,0.018,0.0,0.0,0.0,0.0
urate,-0.031,0.0,0.451,0.0,0.0,0.0,0.0
urea_lbstresc,-0.011,0.0,0.084,0.0,0.0,0.0,0.0
vitd,0.061,0.0,0.141,0.0,0.0,0.0,0.0
weight,0.112,0.0,0.937,0.0,0.0,0.0,0.0
wstcir,0.147,0.0,0.887,0.0,0.0,0.0,0.0
baso_lbstresc,-0.008,0.0,0.0,0.161,0.0,0.0,0.0
crp,0.085,0.0,0.0,0.294,0.0,0.0,0.0
eos,-0.011,0.0,0.0,0.29,0.0,0.0,0.0
lym_lbstresc,-0.071,0.0,0.0,0.001,0.0,0.0,0.0
mono_lbstresc,0.085,0.0,0.0,0.463,0.0,0.0,0.0
neut,0.137,0.0,0.0,0.846,0.0,0.0,0.0
plat,0.051,0.0,0.0,0.204,0.0,0.0,0.0
wbc,0.133,0.0,0.0,0.854,0.0,0.0,0.0
csm,0.29,0.0,0.0,0.0,0.094,0.0,0.0
ess0109,0.174,0.0,0.0,0.0,0.06,0.0,0.0
psqi,0.393,0.0,0.0,0.0,0.914,0.0,0.0
psqi11,0.13,0.0,0.0,0.0,0.607,0.0,0.0
psqi12,0.081,0.0,0.0,0.0,0.581,0.0,0.0
psqi13,0.237,0.0,0.0,0.0,0.489,0.0,0.0
psqi14,0.142,0.0,0.0,0.0,0.587,0.0,0.0
psqi15,0.294,0.0,0.0,0.0,0.651,0.0,0.0
psqi17,0.517,0.0,0.0,0.0,0.303,0.0,0.0
agepere,0.007,0.0,0.0,0.0,0.0,0.005,0.0
apgr0106_1min,-0.029,0.0,0.0,0.0,0.0,0.06,0.0
brthcirc,0.001,0.0,0.0,0.0,0.0,0.091,0.0
brthht,-0.005,0.0,0.0,0.0,0.0,0.063,0.0
ctq29,0.128,0.0,0.0,0.0,0.0,0.69,0.0
ctq31,0.194,0.0,0.0,0.0,0.0,0.767,0.0
ctq33,0.264,0.0,0.0,0.0,0.0,0.674,0.0
ctq35,0.104,0.0,0.0,0.0,0.0,0.546,0.0
ctq37,0.169,0.0,0.0,0.0,0.0,0.826,0.0
ctq39,0.237,0.0,0.0,0.0,0.0,0.984,0.0
gstabrth,-0.008,0.0,0.0,0.0,0.0,0.04,0.0
wurs,0.313,0.0,0.0,0.0,0.0,0.345,0.0
isf07,0.126,0.0,0.0,0.0,0.0,0.0,0.595
