item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
agepere,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.04413159523966729,0.04413159523966729,0.0217996312867736,0.06681011668477292,True
agepere,developmental_risk,developmental_risk,continuous,gaussian,primary,0.005660555162996685,0.005660555162996685,0.00024242880786683803,0.024172494065888277,True
alp_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.030827450343473263,0.030827450343473263,0.005021510813727453,0.05685275076114999,True
alp_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.24629235857544826,0.24629235857544826,0.2153385886882686,0.2767142135625643,True
alt_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.0770505537448404,0.0770505537448404,-0.10199755451954995,-0.051909097950045266,True
alt_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.24094354047974348,0.24094354047974348,0.2124010475402758,0.26993181147469764,True
altman,overall_severity,mania_activation,continuous,gaussian,bifactor_G,-0.24283521036363426,0.24283521036363426,-0.2636976988360345,-0.22280683780578733,True
altman,mania_activation,mania_activation,continuous,gaussian,primary,0.36618606805937476,0.36618606805937476,0.3124038782089558,0.41819284722792277,True
apgr0106_1min,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.05661238340080717,0.05661238340080717,0.011647109153857364,0.10063309584828996,True
apgr0106_1min,developmental_risk,developmental_risk,continuous,gaussian,primary,0.0199144114097498,0.0199144114097498,0.0007293801193475977,0.07354512608605203,True
ast_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.0917833914680245,0.0917833914680245,-0.11738777227666598,-0.06557327982938992,True
ast_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.1495604421896466,0.1495604421896466,0.12074067728759472,0.17970770210843878,True
autneuro_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.06954266022491247,0.06954266022491247,-0.009942471336113024,0.15376748187729145,False
