arm,archetype,name,overall_severity,cognition,immunometabolic,sleep,mania_activation,suicidality,developmental_risk,substance
A_all9,0,↑sleep ↑mania_activation ↓overall_severity,-1.5254604550851205,-0.28053756069064495,0.4877739242278275,2.7913165870104537,1.6742254194070707,-0.03606445395108293,-0.5496436232462818,-0.028267619701352577
A_all9,1,↓developmental_risk ↓immunometabolic ↑overall_severity,1.877234351203275,0.585737306148377,-1.9339865325957835,-0.4532288615243647,-0.7014842258561496,-1.2488904100568943,-2.59061021832026,0.11349318630765096
A_all9,2,↑immunometabolic ↑overall_severity ↑suicidality,2.3565123952407725,-0.00503639674512261,3.4639995282915637,-0.03737836548442937,-0.06071954428819992,1.2540024193650736,1.2052317527016045,-0.11987341081461186
A_all9,3,↑developmental_risk ↓immunometabolic ↑suicidality,0.08692656278043871,-0.5719405999189187,-2.0668375099848406,0.8441110272962401,0.719657499228796,1.3545896280019611,2.8340288053478315,0.10923297033695516
A_all9,4,↓sleep ↓overall_severity ↓mania_activation,-2.034093578323094,0.3777449034451889,0.2778034451657591,-2.6693140806534936,-1.367956694902401,-1.1584416142845047,-1.0815837714378704,-0.08094305914321902
B_specifics,0,↓developmental_risk ↓immunometabolic ↑sleep,,-0.8185489847551215,-1.8948477039538492,1.0895974107298463,-0.5218925452953828,0.9615017178020233,-2.4530543327532346,-0.00571782811222835
B_specifics,1,↓suicidality ↓sleep ↓developmental_risk,,1.1731187640558278,-0.6086138304357106,-1.9382827875971564,-0.56479857213811,-2.4019107518108243,-1.206355443428186,-0.2735666157012945
B_specifics,2,↑immunometabolic ↑suicidality ↓developmental_risk,,-0.1346232304082979,3.2693584636815967,0.22947712659923375,-0.25351777868272596,0.6962099209641548,-0.6602947422969875,-0.06014529211412121
B_specifics,3,↑sleep ↑mania_activation ↑developmental_risk,,-0.5906743260777919,-0.29417691262558504,2.761183423197431,2.3721815385735723,-0.20182862186083367,2.0482740632152705,-0.11674838524553098
B_specifics,4,↑developmental_risk ↑suicidality ↓sleep,,0.11187430294432676,-0.6607600845010407,-1.6071548298194747,-0.856438527237654,1.7822108521830937,2.370290202756341,0.3887024480809096
