target,axis,OR,ci_lo,ci_hi,p,informative
retained_V1,overall_severity,0.972,0.919,1.027,0.3303,False
retained_V1,cognition,0.825,0.778,0.875,0.0,True
retained_V1,metabolic,1.045,0.996,1.096,0.0865,False
retained_V1,inflammatory,0.936,0.879,0.996,0.0465,True
retained_V1,sleep,0.958,0.913,1.006,0.1008,False
retained_V1,mania_activation,0.93,0.882,0.98,0.0095,True
retained_V1,suicidality,1.029,0.981,1.079,0.2624,False
retained_V1,developmental_risk,0.916,0.88,0.955,0.0001,True
retained_V1,substance,1.006,0.917,1.103,0.9094,False
retained_V2,overall_severity,0.915,0.862,0.971,0.0047,True
retained_V2,cognition,0.829,0.778,0.883,0.0,True
retained_V2,metabolic,1.057,1.005,1.112,0.0399,True
retained_V2,inflammatory,0.909,0.85,0.972,0.0077,True
retained_V2,sleep,0.999,0.949,1.052,0.9794,False
retained_V2,mania_activation,0.898,0.848,0.951,0.0004,True
retained_V2,suicidality,1.007,0.957,1.059,0.8002,False
retained_V2,developmental_risk,0.927,0.887,0.969,0.0012,True
retained_V2,substance,1.114,1.01,1.229,0.0381,True
