outcome,axis,prior_type,overlap,autoregressive
egf,overall_severity,g_anchor,defines,True
egf,cognition,g_anchor_on_specific,pinned,False
egf,metabolic,g_anchor_on_specific,pinned,False
egf,inflammatory,g_anchor_on_specific,pinned,False
egf,sleep,g_anchor_on_specific,pinned,False
egf,mania_activation,g_anchor_on_specific,pinned,False
egf,suicidality,g_anchor_on_specific,pinned,False
egf,developmental_risk,g_anchor_on_specific,pinned,False
egf,substance,g_anchor_on_specific,pinned,False
cgi_s,overall_severity,g_anchor,defines,True
cgi_s,cognition,g_anchor_on_specific,pinned,False
cgi_s,metabolic,g_anchor_on_specific,pinned,False
cgi_s,inflammatory,g_anchor_on_specific,pinned,False
cgi_s,sleep,g_anchor_on_specific,pinned,False
cgi_s,mania_activation,g_anchor_on_specific,pinned,False
cgi_s,suicidality,g_anchor_on_specific,pinned,False
cgi_s,developmental_risk,g_anchor_on_specific,pinned,False
cgi_s,substance,g_anchor_on_specific,pinned,False
fast,overall_severity,g_anchor,defines,True
fast,cognition,g_anchor_on_specific,pinned,False
fast,metabolic,g_anchor_on_specific,pinned,False
fast,inflammatory,g_anchor_on_specific,pinned,False
fast,sleep,g_anchor_on_specific,pinned,False
fast,mania_activation,g_anchor_on_specific,pinned,False
fast,suicidality,g_anchor_on_specific,pinned,False
fast,developmental_risk,g_anchor_on_specific,pinned,False
fast,substance,g_anchor_on_specific,pinned,False
eq5d_vas,overall_severity,g_anchor,defines,True
eq5d_vas,cognition,g_anchor_on_specific,pinned,False
eq5d_vas,metabolic,g_anchor_on_specific,pinned,False
eq5d_vas,inflammatory,g_anchor_on_specific,pinned,False
eq5d_vas,sleep,g_anchor_on_specific,pinned,False
eq5d_vas,mania_activation,g_anchor_on_specific,pinned,False
eq5d_vas,suicidality,g_anchor_on_specific,pinned,False
eq5d_vas,developmental_risk,g_anchor_on_specific,pinned,False
eq5d_vas,substance,g_anchor_on_specific,pinned,False
madrs,overall_severity,plausible_cross,cross,False
madrs,cognition,plausible_cross,cross,False
madrs,metabolic,unlikely_cross,soft0,False
madrs,inflammatory,unlikely_cross,soft0,False
madrs,sleep,plausible_cross,cross,False
madrs,mania_activation,unlikely_cross,soft0,False
madrs,suicidality,plausible_cross,cross,False
madrs,developmental_risk,unlikely_cross,soft0,False
madrs,substance,unlikely_cross,soft0,False
ymrs,overall_severity,plausible_cross,cross,False
ymrs,cognition,unlikely_cross,soft0,False
ymrs,metabolic,unlikely_cross,soft0,False
ymrs,inflammatory,unlikely_cross,soft0,False
ymrs,sleep,unlikely_cross,soft0,False
ymrs,mania_activation,primary,defines,True
ymrs,suicidality,unlikely_cross,soft0,False
ymrs,developmental_risk,unlikely_cross,soft0,False
ymrs,substance,unlikely_cross,soft0,False
psqi,overall_severity,plausible_cross,cross,False
psqi,cognition,unlikely_cross,soft0,False
psqi,metabolic,unlikely_cross,soft0,False
psqi,inflammatory,unlikely_cross,soft0,False
psqi,sleep,primary,defines,True
psqi,mania_activation,unlikely_cross,soft0,False
psqi,suicidality,unlikely_cross,soft0,False
psqi,developmental_risk,unlikely_cross,soft0,False
psqi,substance,unlikely_cross,soft0,False
cssrs_active,overall_severity,plausible_cross,cross,False
cssrs_active,cognition,unlikely_cross,soft0,False
cssrs_active,metabolic,unlikely_cross,soft0,False
cssrs_active,inflammatory,unlikely_cross,soft0,False
cssrs_active,sleep,unlikely_cross,soft0,False
cssrs_active,mania_activation,unlikely_cross,soft0,False
cssrs_active,suicidality,primary,defines,True
cssrs_active,developmental_risk,unlikely_cross,soft0,False
cssrs_active,substance,unlikely_cross,soft0,False
