indicator,home_factor,block,family,n_obs,frac_obs,obs_bp,obs_sz,obs_dr
qids_anhedonia_interest,anhedonia,continuous,gaussian,6458,0.717,0.95,0.0,0.92
cvlt_long_delay_free_recall,cognition,continuous,gaussian,5830,0.647,0.66,0.76,0.0
cvlt_short_delay_free_recall,cognition,continuous,gaussian,5833,0.647,0.67,0.76,0.0
cvlt_total_recall,cognition,continuous,gaussian,5809,0.645,0.66,0.75,0.0
tmt_a_time_sec,cognition,continuous,gaussian,6333,0.703,0.68,0.81,0.57
tmt_b_time_sec,cognition,continuous,gaussian,6231,0.691,0.67,0.79,0.55
verbal_fluency_phonemic,cognition,continuous,gaussian,5401,0.599,0.67,0.42,0.55
verbal_fluency_semantic,cognition,continuous,gaussian,5388,0.598,0.67,0.42,0.55
wais_code_std,cognition,continuous,gaussian,5472,0.607,0.68,0.42,0.57
wais_digitspan_std,cognition,continuous,gaussian,6335,0.703,0.68,0.82,0.56
wais_ivt_index,cognition,continuous,gaussian,4959,0.55,0.67,0.2,0.57
wais_similitudes_std,cognition,continuous,gaussian,2536,0.281,0.07,0.81,0.55
agepere,developmental_risk,continuous,gaussian,5989,0.664,0.68,0.61,0.76
apgr0106_1min,developmental_risk,continuous,gaussian,938,0.104,0.14,0.0,0.07
apgr0106_5min,developmental_risk,explicit,ordered_logistic,883,0.098,0.13,0.0,0.07
autneuro_mhoccur,developmental_risk,explicit,bernoulli,7050,0.782,0.74,0.87,0.89
brthcirc,developmental_risk,continuous,gaussian,651,0.072,0.1,0.0,0.04
brthht,developmental_risk,continuous,gaussian,1317,0.146,0.2,0.0,0.12
ctq29,developmental_risk,continuous,gaussian,8190,0.909,0.94,0.83,0.83
ctq31,developmental_risk,continuous,gaussian,8176,0.907,0.94,0.83,0.83
ctq33,developmental_risk,continuous,gaussian,8189,0.909,0.94,0.83,0.82
ctq35,developmental_risk,continuous,gaussian,8176,0.907,0.94,0.83,0.82
ctq37,developmental_risk,continuous,gaussian,8179,0.907,0.94,0.83,0.82
ctq39,developmental_risk,continuous,gaussian,8122,0.901,0.94,0.82,0.82
ctq40,developmental_risk,explicit,ordered_logistic,8099,0.899,0.94,0.83,0.71
ctq41,developmental_risk,explicit,bernoulli,7705,0.855,0.94,0.83,0.0
epilepsie_mhoccur,developmental_risk,explicit,bernoulli,7144,0.793,0.75,0.88,0.9
gstabrth,developmental_risk,continuous,gaussian,1886,0.209,0.17,0.33,0.13
honeonat,developmental_risk,explicit,bernoulli,5853,0.649,0.65,0.63,0.71
mere_structure,developmental_risk,explicit,bernoulli,7549,0.838,0.83,0.86,0.84
naisstyp,developmental_risk,explicit,bernoulli,6345,0.704,0.69,0.73,0.75
pere_structure,developmental_risk,explicit,bernoulli,7262,0.806,0.8,0.82,0.82
prembrth,developmental_risk,explicit,ordered_logistic,6517,0.723,0.73,0.7,0.77
traumacra_mhoccur,developmental_risk,explicit,bernoulli,7138,0.792,0.75,0.88,0.89
wurs,developmental_risk,continuous,gaussian,6017,0.668,0.93,0.1,0.0
acne_mhoccur,inflammatory,explicit,bernoulli,7096,0.787,0.75,0.87,0.89
baso_lbstresc,inflammatory,continuous,lognormal,5266,0.584,0.78,0.0,0.71
crp,inflammatory,continuous,lognormal,5704,0.633,0.61,0.68,0.69
eczema_mhoccur,inflammatory,explicit,bernoulli,7108,0.789,0.75,0.87,0.89
eos,inflammatory,continuous,lognormal,6995,0.776,0.78,0.78,0.71
lym_lbstresc,inflammatory,continuous,lognormal,5287,0.587,0.78,0.0,0.72
migraine_mhoccur,inflammatory,explicit,bernoulli,5378,0.597,0.76,0.06,0.9
mono_lbstresc,inflammatory,continuous,lognormal,5282,0.586,0.78,0.0,0.73
neut,inflammatory,continuous,lognormal,7006,0.777,0.78,0.78,0.74
plat,inflammatory,continuous,lognormal,7052,0.782,0.79,0.77,0.71
psoriasis_mhoccur,inflammatory,explicit,bernoulli,6224,0.691,0.74,0.49,0.89
somat_all,inflammatory,explicit,bernoulli,7742,0.859,0.85,0.87,0.9
toxidermi_mhoccur,inflammatory,explicit,bernoulli,7102,0.788,0.75,0.87,0.89
wbc,inflammatory,continuous,lognormal,7097,0.787,0.79,0.78,0.75
altman,mania_activation,continuous,gaussian,6311,0.7,0.95,0.0,0.69
ymrs,mania_activation,continuous,gaussian,8435,0.936,0.96,0.92,0.7
alp_lbstresc,metabolic,continuous,lognormal,5205,0.577,0.77,0.0,0.71
alt_lbstresc,metabolic,continuous,lognormal,5391,0.598,0.8,0.0,0.75
ast_lbstresc,metabolic,continuous,lognormal,5386,0.598,0.8,0.0,0.75
autcardv_mhoccur,metabolic,explicit,bernoulli,6995,0.776,0.73,0.87,0.9
autendoc_mhoccur,metabolic,explicit,bernoulli,6976,0.774,0.73,0.86,0.89
bili_lbstresc,metabolic,continuous,lognormal,4952,0.549,0.73,0.0,0.66
bmi,metabolic,continuous,gaussian,8050,0.893,0.91,0.86,0.79
chol,metabolic,continuous,gaussian,7081,0.786,0.79,0.77,0.73
cholhdl_lbstresc,metabolic,continuous,gaussian,6234,0.692,0.75,0.7,0.0
creat_lbstresc,metabolic,continuous,lognormal,5433,0.603,0.8,0.0,0.77
diabpstanding,metabolic,continuous,gaussian,5692,0.632,0.84,0.0,0.74
diabpsupine,metabolic,continuous,gaussian,7997,0.887,0.91,0.85,0.77
eghrmn,metabolic,continuous,gaussian,4599,0.51,0.68,0.0,0.64
ggt_lbstresc,metabolic,continuous,lognormal,5354,0.594,0.79,0.0,0.75
gluc,metabolic,continuous,lognormal,6728,0.746,0.78,0.67,0.66
hba1c,metabolic,continuous,lognormal,2804,0.311,0.3,0.35,0.33
hdl,metabolic,continuous,gaussian,7036,0.781,0.79,0.77,0.69
hrstanding,metabolic,continuous,gaussian,5298,0.588,0.79,0.0,0.68
hrsupine,metabolic,continuous,gaussian,6025,0.668,0.9,0.0,0.77
hta_mhoccur,metabolic,explicit,bernoulli,7036,0.781,0.74,0.87,0.89
ldl,metabolic,continuous,gaussian,6777,0.752,0.76,0.76,0.68
sysbpstanding,metabolic,continuous,gaussian,5690,0.631,0.84,0.0,0.74
sysbpsupine,metabolic,continuous,gaussian,8000,0.888,0.91,0.85,0.77
t3fr_lbstresc,metabolic,continuous,gaussian,5078,0.563,0.75,0.0,0.68
t4fr_lbstresc,metabolic,continuous,gaussian,5098,0.566,0.76,0.0,0.68
trig,metabolic,continuous,lognormal,7052,0.782,0.79,0.77,0.72
tsh_lbstresc,metabolic,continuous,gaussian,4993,0.554,0.73,0.0,0.75
urate,metabolic,continuous,lognormal,6547,0.726,0.74,0.71,0.65
urea_lbstresc,metabolic,continuous,gaussian,5160,0.573,0.76,0.0,0.74
vitd,metabolic,continuous,gaussian,1464,0.162,0.0,0.5,0.64
weight,metabolic,continuous,gaussian,8251,0.915,0.93,0.89,0.82
wstcir,metabolic,continuous,gaussian,7830,0.869,0.89,0.83,0.73
cgi01,overall_severity,continuous,gaussian,8129,0.902,0.88,0.95,0.95
egf,overall_severity,continuous,gaussian,7486,0.831,0.79,0.92,0.87
eq5d,overall_severity,continuous,gaussian,5779,0.641,0.66,0.74,0.0
eq5d0206,overall_severity,continuous,gaussian,5581,0.619,0.6,0.61,0.91
fast,overall_severity,continuous,gaussian,6188,0.687,0.93,0.0,0.66
fast25,overall_severity,continuous,gaussian,6166,0.684,0.93,0.0,0.66
fast26,overall_severity,continuous,gaussian,6090,0.676,0.92,0.0,0.65
fast27,overall_severity,continuous,gaussian,6166,0.684,0.93,0.0,0.66
fast28,overall_severity,continuous,gaussian,6130,0.68,0.93,0.0,0.59
fast30,overall_severity,continuous,gaussian,6169,0.684,0.93,0.0,0.65
hodur_arret_travail_actuel,overall_severity,explicit,bernoulli,867,0.096,0.11,0.0,0.31
hooccur_arret_travail_actuel,overall_severity,explicit,bernoulli,4474,0.496,0.54,0.37,0.55
jobclas,overall_severity,explicit,bernoulli,2425,0.269,0.33,0.09,0.28
lvsbjind,overall_severity,continuous,gaussian,6583,0.73,0.68,0.85,0.8
csm,sleep,continuous,gaussian,5748,0.638,0.86,0.0,0.68
ess0109,sleep,continuous,gaussian,6259,0.694,0.94,0.0,0.68
psqi,sleep,continuous,gaussian,7268,0.806,0.93,0.52,0.53
psqi11,sleep,continuous,gaussian,7413,0.822,0.94,0.55,0.56
psqi12,sleep,continuous,gaussian,7468,0.829,0.94,0.56,0.61
psqi13,sleep,continuous,gaussian,7407,0.822,0.94,0.55,0.61
psqi14,sleep,continuous,gaussian,7474,0.829,0.94,0.56,0.61
psqi15,sleep,continuous,gaussian,7509,0.833,0.95,0.57,0.62
psqi17,sleep,continuous,gaussian,7497,0.832,0.95,0.56,0.62
fagers,substance,continuous,gaussian,3397,0.377,0.37,0.43,0.25
sudose_cigarettes_lt,substance,explicit,neg_binomial,7109,0.789,0.79,0.79,0.8
suoccur_alcool,substance,explicit,bernoulli,8461,0.939,1.0,1.0,0.0
suoccur_cannabis,substance,explicit,bernoulli,8461,0.939,1.0,1.0,0.0
cssrs01,suicidality,explicit,bernoulli,1408,0.156,0.15,0.0,0.81
cssrs02,suicidality,explicit,bernoulli,1415,0.157,0.15,0.0,0.81
cssrs03,suicidality,explicit,bernoulli,476,0.053,0.03,0.0,0.47
cssrs04,suicidality,explicit,bernoulli,478,0.053,0.04,0.0,0.47
cssrs05,suicidality,explicit,bernoulli,476,0.053,0.03,0.0,0.47
cssrs06,suicidality,explicit,ordered_logistic,370,0.041,0.03,0.0,0.31
cssrs08,suicidality,explicit,ordered_logistic,551,0.061,0.06,0.0,0.36
cssrs09,suicidality,explicit,ordered_logistic,544,0.06,0.05,0.0,0.36
cssrs10,suicidality,explicit,ordered_logistic,542,0.06,0.05,0.0,0.36
cssrs11,suicidality,explicit,ordered_logistic,541,0.06,0.05,0.0,0.37
cssrs12,suicidality,explicit,ordered_logistic,539,0.06,0.05,0.0,0.37
isf01,suicidality,explicit,bernoulli,8174,0.907,0.91,0.95,0.74
isf02,suicidality,explicit,bernoulli,8162,0.906,0.91,0.94,0.74
isf03,suicidality,explicit,bernoulli,8157,0.905,0.91,0.94,0.74
isf04,suicidality,explicit,bernoulli,8148,0.904,0.9,0.94,0.74
isf05,suicidality,explicit,bernoulli,8176,0.907,0.91,0.95,0.74
isf07,suicidality,continuous,gaussian,7974,0.885,0.89,0.92,0.72
isf08,suicidality,explicit,bernoulli,8010,0.889,0.89,0.92,0.73
isf08a,suicidality,explicit,ordered_logistic,7988,0.886,0.89,0.92,0.72
isf09,suicidality,explicit,bernoulli,7981,0.885,0.89,0.91,0.72
isf09a,suicidality,explicit,neg_binomial,7955,0.883,0.89,0.91,0.72
ltsg01,suicidality,explicit,ordered_logistic,490,0.054,0.07,0.0,0.1
ltsg05,suicidality,explicit,ordered_logistic,55,0.006,0.01,0.0,0.01
ltsg06,suicidality,explicit,ordered_logistic,45,0.005,0.01,0.0,0.0
ltsv02,suicidality,explicit,ordered_logistic,64,0.007,0.01,0.0,0.0
ltsv04,suicidality,explicit,ordered_logistic,29,0.003,0.0,0.0,0.0
ltsv05,suicidality,explicit,ordered_logistic,23,0.003,0.0,0.0,0.0
ltsv06,suicidality,explicit,ordered_logistic,31,0.003,0.0,0.0,0.0
ltsv07,suicidality,explicit,bernoulli,439,0.049,0.07,0.0,0.0
ltsv09,suicidality,explicit,bernoulli,320,0.036,0.05,0.0,0.02
madrs,,continuous,gaussian,6580,0.73,0.97,0.0,0.96
qidsr120,,continuous,gaussian,6373,0.707,0.95,0.0,0.83
staya,,continuous,gaussian,6281,0.697,0.94,0.0,0.7
