item,factor,loading,kind
cgi01,overall_severity,0.543,g_anchor
egf,overall_severity,0.686,g_anchor
eq5d,overall_severity,0.579,g_anchor
eq5d0206,overall_severity,0.525,g_anchor
fast,overall_severity,1.035,g_anchor
fast25,overall_severity,0.803,g_anchor
fast26,overall_severity,0.742,g_anchor
fast27,overall_severity,0.763,g_anchor
fast28,overall_severity,0.467,g_anchor
fast30,overall_severity,0.707,g_anchor
lvsbjind,overall_severity,0.009,g_anchor
alp_lbstresc,metabolic,0.228,primary
alp_lbstresc,overall_severity,0.118,bifactor_G
alt_lbstresc,metabolic,0.454,primary
alt_lbstresc,overall_severity,0.057,bifactor_G
ast_lbstresc,metabolic,0.27,primary
ast_lbstresc,overall_severity,-0.009,bifactor_G
baso_lbstresc,inflammatory,0.147,primary
baso_lbstresc,overall_severity,0.009,bifactor_G
bili_lbstresc,metabolic,0.005,primary
bili_lbstresc,overall_severity,-0.096,bifactor_G
bmi,metabolic,0.894,primary
bmi,overall_severity,0.138,bifactor_G
chol,metabolic,0.195,primary
chol,overall_severity,0.061,bifactor_G
cholhdl_lbstresc,metabolic,0.439,primary
cholhdl_lbstresc,overall_severity,0.145,bifactor_G
creat_lbstresc,metabolic,0.196,primary
creat_lbstresc,overall_severity,-0.024,bifactor_G
crp,inflammatory,0.264,primary
crp,overall_severity,0.081,bifactor_G
csm,sleep,0.128,primary
csm,overall_severity,0.249,bifactor_G
cvlt_long_delay_free_recall,cognition,0.945,primary
cvlt_long_delay_free_recall,overall_severity,0.252,bifactor_G
cvlt_short_delay_free_recall,cognition,0.949,primary
cvlt_short_delay_free_recall,overall_severity,0.237,bifactor_G
cvlt_total_recall,cognition,0.889,primary
cvlt_total_recall,overall_severity,0.282,bifactor_G
diabpstanding,metabolic,0.36,primary
diabpstanding,overall_severity,0.009,bifactor_G
diabpsupine,metabolic,0.361,primary
diabpsupine,overall_severity,0.082,bifactor_G
eghrmn,metabolic,0.192,primary
eghrmn,overall_severity,0.152,bifactor_G
eos,inflammatory,0.276,primary
eos,overall_severity,0.004,bifactor_G
ess0109,sleep,0.089,primary
ess0109,overall_severity,0.121,bifactor_G
ggt_lbstresc,metabolic,0.472,primary
ggt_lbstresc,overall_severity,0.165,bifactor_G
gluc,metabolic,0.167,primary
gluc,overall_severity,0.029,bifactor_G
hba1c,metabolic,0.247,primary
hba1c,overall_severity,0.126,bifactor_G
hdl,metabolic,0.365,primary
hdl,overall_severity,0.15,bifactor_G
hrstanding,metabolic,0.125,primary
hrstanding,overall_severity,0.126,bifactor_G
hrsupine,metabolic,0.166,primary
hrsupine,overall_severity,0.163,bifactor_G
ldl,metabolic,0.217,primary
ldl,overall_severity,0.044,bifactor_G
lym_lbstresc,inflammatory,0.001,primary
lym_lbstresc,overall_severity,-0.081,bifactor_G
mono_lbstresc,inflammatory,0.468,primary
mono_lbstresc,overall_severity,0.072,bifactor_G
neut,inflammatory,0.837,primary
neut,overall_severity,0.134,bifactor_G
plat,inflammatory,0.205,primary
plat,overall_severity,0.052,bifactor_G
psqi,sleep,0.931,primary
psqi,overall_severity,0.369,bifactor_G
psqi11,sleep,0.586,primary
psqi11,overall_severity,0.135,bifactor_G
psqi12,sleep,0.578,primary
psqi12,overall_severity,0.06,bifactor_G
psqi13,sleep,0.514,primary
psqi13,overall_severity,0.234,bifactor_G
psqi14,sleep,0.582,primary
psqi14,overall_severity,0.158,bifactor_G
psqi15,sleep,0.678,primary
psqi15,overall_severity,0.258,bifactor_G
psqi17,sleep,0.374,primary
psqi17,overall_severity,0.427,bifactor_G
sysbpstanding,metabolic,0.441,primary
sysbpstanding,overall_severity,-0.032,bifactor_G
sysbpsupine,metabolic,0.408,primary
sysbpsupine,overall_severity,0.029,bifactor_G
t3fr_lbstresc,metabolic,0.024,primary
t3fr_lbstresc,overall_severity,-0.016,bifactor_G
t4fr_lbstresc,metabolic,0.004,primary
t4fr_lbstresc,overall_severity,0.003,bifactor_G
tmt_a_time_sec,cognition,0.417,primary
tmt_a_time_sec,overall_severity,0.287,bifactor_G
tmt_b_time_sec,cognition,0.454,primary
tmt_b_time_sec,overall_severity,0.277,bifactor_G
trig,metabolic,0.484,primary
trig,overall_severity,0.188,bifactor_G
tsh_lbstresc,metabolic,0.02,primary
tsh_lbstresc,overall_severity,0.027,bifactor_G
urate,metabolic,0.458,primary
urate,overall_severity,-0.01,bifactor_G
urea_lbstresc,metabolic,0.096,primary
urea_lbstresc,overall_severity,-0.014,bifactor_G
verbal_fluency_phonemic,cognition,0.419,primary
verbal_fluency_phonemic,overall_severity,0.238,bifactor_G
verbal_fluency_semantic,cognition,0.499,primary
verbal_fluency_semantic,overall_severity,0.287,bifactor_G
vitd,metabolic,0.131,primary
vitd,overall_severity,0.053,bifactor_G
wais_code_std,cognition,0.463,primary
wais_code_std,overall_severity,0.348,bifactor_G
wais_digitspan_std,cognition,0.38,primary
wais_digitspan_std,overall_severity,0.227,bifactor_G
wais_ivt_index,cognition,0.493,primary
wais_ivt_index,overall_severity,0.339,bifactor_G
wais_similitudes_std,cognition,0.406,primary
wais_similitudes_std,overall_severity,0.195,bifactor_G
wbc,inflammatory,0.85,primary
wbc,overall_severity,0.13,bifactor_G
weight,metabolic,0.935,primary
weight,overall_severity,0.113,bifactor_G
wstcir,metabolic,0.893,primary
wstcir,overall_severity,0.143,bifactor_G
