item,factor,loading,kind,home
alp_lbstresc,overall_severity,0.114,bifactor_G,metabolic
alp_lbstresc,metabolic,0.232,primary,metabolic
alt_lbstresc,overall_severity,0.032,bifactor_G,metabolic
alt_lbstresc,metabolic,0.458,primary,metabolic
ast_lbstresc,overall_severity,-0.027,bifactor_G,metabolic
ast_lbstresc,metabolic,0.271,primary,metabolic
baso_lbstresc,overall_severity,0.008,bifactor_G,inflammatory
baso_lbstresc,inflammatory,0.147,primary,inflammatory
bili_lbstresc,overall_severity,-0.106,bifactor_G,metabolic
bili_lbstresc,metabolic,0.005,primary,metabolic
bmi,overall_severity,0.125,bifactor_G,metabolic
bmi,metabolic,0.896,primary,metabolic
cgi01,overall_severity,0.622,g_anchor,overall_severity
chol,overall_severity,0.061,bifactor_G,metabolic
chol,metabolic,0.196,primary,metabolic
cholhdl_lbstresc,overall_severity,0.149,bifactor_G,metabolic
cholhdl_lbstresc,metabolic,0.441,primary,metabolic
creat_lbstresc,overall_severity,-0.036,bifactor_G,metabolic
creat_lbstresc,metabolic,0.197,primary,metabolic
crp,overall_severity,0.094,bifactor_G,inflammatory
crp,inflammatory,0.273,primary,inflammatory
csm,overall_severity,0.297,bifactor_G,sleep
csm,sleep,0.093,primary,sleep
cvlt_long_delay_free_recall,overall_severity,0.234,bifactor_G,cognition
cvlt_long_delay_free_recall,cognition,0.949,primary,cognition
cvlt_short_delay_free_recall,overall_severity,0.221,bifactor_G,cognition
cvlt_short_delay_free_recall,cognition,0.952,primary,cognition
cvlt_total_recall,overall_severity,0.267,bifactor_G,cognition
cvlt_total_recall,cognition,0.893,primary,cognition
diabpstanding,overall_severity,0.006,bifactor_G,metabolic
diabpstanding,metabolic,0.361,primary,metabolic
diabpsupine,overall_severity,0.079,bifactor_G,metabolic
diabpsupine,metabolic,0.363,primary,metabolic
egf,overall_severity,0.732,g_anchor,overall_severity
eghrmn,overall_severity,0.17,bifactor_G,metabolic
eghrmn,metabolic,0.193,primary,metabolic
eos,overall_severity,-0.003,bifactor_G,inflammatory
eos,inflammatory,0.277,primary,inflammatory
eq5d,overall_severity,0.695,g_anchor,overall_severity
eq5d0206,overall_severity,0.637,g_anchor,overall_severity
ess0109,overall_severity,0.177,bifactor_G,sleep
ess0109,sleep,0.061,primary,sleep
fast,overall_severity,0.912,g_anchor,overall_severity
fast25,overall_severity,0.781,g_anchor,overall_severity
fast26,overall_severity,0.576,g_anchor,overall_severity
fast27,overall_severity,0.712,g_anchor,overall_severity
fast28,overall_severity,0.402,g_anchor,overall_severity
fast30,overall_severity,0.694,g_anchor,overall_severity
ggt_lbstresc,overall_severity,0.16,bifactor_G,metabolic
ggt_lbstresc,metabolic,0.475,primary,metabolic
gluc,overall_severity,0.02,bifactor_G,metabolic
gluc,metabolic,0.169,primary,metabolic
hba1c,overall_severity,0.137,bifactor_G,metabolic
hba1c,metabolic,0.247,primary,metabolic
hdl,overall_severity,0.153,bifactor_G,metabolic
hdl,metabolic,0.368,primary,metabolic
hrstanding,overall_severity,0.151,bifactor_G,metabolic
hrstanding,metabolic,0.124,primary,metabolic
hrsupine,overall_severity,0.182,bifactor_G,metabolic
hrsupine,metabolic,0.167,primary,metabolic
ldl,overall_severity,0.038,bifactor_G,metabolic
