item,factor,loading,kind,home,block
agepere,overall_severity,0.021,bifactor_G,developmental_risk,continuous
agepere,developmental_risk,0.006,primary,developmental_risk,continuous
alp_lbstresc,overall_severity,0.112,bifactor_G,metabolic,continuous
alp_lbstresc,metabolic,0.288,primary,metabolic,continuous
alt_lbstresc,overall_severity,0.02,bifactor_G,metabolic,continuous
alt_lbstresc,metabolic,0.478,primary,metabolic,continuous
apgr0106_1min,overall_severity,-0.03,bifactor_G,developmental_risk,continuous
apgr0106_1min,developmental_risk,0.059,primary,developmental_risk,continuous
ast_lbstresc,overall_severity,-0.033,bifactor_G,metabolic,continuous
ast_lbstresc,metabolic,0.3,primary,metabolic,continuous
baso_lbstresc,overall_severity,-0.031,bifactor_G,inflammatory,continuous
baso_lbstresc,inflammatory,0.169,primary,inflammatory,continuous
bili_lbstresc,overall_severity,-0.111,bifactor_G,metabolic,continuous
bili_lbstresc,metabolic,0.012,primary,metabolic,continuous
bmi,overall_severity,0.123,bifactor_G,metabolic,continuous
bmi,metabolic,0.898,primary,metabolic,continuous
brthcirc,overall_severity,-0.011,bifactor_G,developmental_risk,continuous
brthcirc,developmental_risk,0.066,primary,developmental_risk,continuous
brthht,overall_severity,-0.028,bifactor_G,developmental_risk,continuous
brthht,developmental_risk,0.037,primary,developmental_risk,continuous
cgi01,overall_severity,0.616,g_anchor,overall_severity,continuous
chol,overall_severity,0.093,bifactor_G,metabolic,continuous
chol,metabolic,0.212,primary,metabolic,continuous
cholhdl_lbstresc,overall_severity,0.167,bifactor_G,metabolic,continuous
cholhdl_lbstresc,metabolic,0.435,primary,metabolic,continuous
creat_lbstresc,overall_severity,-0.033,bifactor_G,metabolic,continuous
creat_lbstresc,metabolic,0.173,primary,metabolic,continuous
crp,overall_severity,0.077,bifactor_G,inflammatory,continuous
crp,inflammatory,0.295,primary,inflammatory,continuous
csm,overall_severity,0.309,bifactor_G,sleep,continuous
csm,sleep,0.083,primary,sleep,continuous
ctq29,overall_severity,0.139,bifactor_G,developmental_risk,continuous
ctq29,developmental_risk,0.657,primary,developmental_risk,continuous
ctq31,overall_severity,0.23,bifactor_G,developmental_risk,continuous
ctq31,developmental_risk,0.76,primary,developmental_risk,continuous
ctq33,overall_severity,0.291,bifactor_G,developmental_risk,continuous
ctq33,developmental_risk,0.648,primary,developmental_risk,continuous
ctq35,overall_severity,0.088,bifactor_G,developmental_risk,continuous
ctq35,developmental_risk,0.525,primary,developmental_risk,continuous
ctq37,overall_severity,0.188,bifactor_G,developmental_risk,continuous
ctq37,developmental_risk,0.812,primary,developmental_risk,continuous
ctq39,overall_severity,0.261,bifactor_G,developmental_risk,continuous
ctq39,developmental_risk,0.959,primary,developmental_risk,continuous
cvlt_long_delay_free_recall,overall_severity,0.217,bifactor_G,cognition,continuous
cvlt_long_delay_free_recall,cognition,0.95,primary,cognition,continuous
cvlt_short_delay_free_recall,overall_severity,0.209,bifactor_G,cognition,continuous
cvlt_short_delay_free_recall,cognition,0.967,primary,cognition,continuous
cvlt_total_recall,overall_severity,0.252,bifactor_G,cognition,continuous
cvlt_total_recall,cognition,0.9,primary,cognition,continuous
diabpstanding,overall_severity,0.023,bifactor_G,metabolic,continuous
diabpstanding,metabolic,0.362,primary,metabolic,continuous
diabpsupine,overall_severity,0.086,bifactor_G,metabolic,continuous
diabpsupine,metabolic,0.376,primary,metabolic,continuous
egf,overall_severity,0.716,g_anchor,overall_severity,continuous
eghrmn,overall_severity,0.18,bifactor_G,metabolic,continuous
eghrmn,metabolic,0.187,primary,metabolic,continuous
eos,overall_severity,-0.005,bifactor_G,inflammatory,continuous
eos,inflammatory,0.29,primary,inflammatory,continuous
eq5d,overall_severity,0.703,g_anchor,overall_severity,continuous
eq5d0206,overall_severity,0.642,g_anchor,overall_severity,continuous
ess0109,overall_severity,0.149,bifactor_G,sleep,continuous
ess0109,sleep,0.065,primary,sleep,continuous
fast,overall_severity,0.918,g_anchor,overall_severity,continuous
fast25,overall_severity,0.796,g_anchor,overall_severity,continuous
fast26,overall_severity,0.556,g_anchor,overall_severity,continuous
fast27,overall_severity,0.736,g_anchor,overall_severity,continuous
fast28,overall_severity,0.42,g_anchor,overall_severity,continuous
fast30,overall_severity,0.712,g_anchor,overall_severity,continuous
ggt_lbstresc,overall_severity,0.157,bifactor_G,metabolic,continuous
ggt_lbstresc,metabolic,0.49,primary,metabolic,continuous
gluc,overall_severity,0.049,bifactor_G,metabolic,continuous
gluc,metabolic,0.143,primary,metabolic,continuous
gstabrth,overall_severity,0.02,bifactor_G,developmental_risk,continuous
gstabrth,developmental_risk,0.036,primary,developmental_risk,continuous
hba1c,overall_severity,0.189,bifactor_G,metabolic,continuous
hba1c,metabolic,0.248,primary,metabolic,continuous
hdl,overall_severity,0.162,bifactor_G,metabolic,continuous
hdl,metabolic,0.345,primary,metabolic,continuous
hrstanding,overall_severity,0.164,bifactor_G,metabolic,continuous
hrstanding,metabolic,0.119,primary,metabolic,continuous
hrsupine,overall_severity,0.185,bifactor_G,metabolic,continuous
hrsupine,metabolic,0.16,primary,metabolic,continuous
isf07,overall_severity,0.143,bifactor_G,suicidality,continuous
isf07,suicidality,0.565,primary,suicidality,continuous
ldl,overall_severity,0.067,bifactor_G,metabolic,continuous
ldl,metabolic,0.233,primary,metabolic,continuous
lvsbjind,overall_severity,0.019,g_anchor,overall_severity,continuous
lym_lbstresc,overall_severity,-0.069,bifactor_G,inflammatory,continuous
lym_lbstresc,inflammatory,0.001,primary,inflammatory,continuous
madrs,overall_severity,0.812,window,,continuous
madrs,cognition,-0.056,window,,continuous
madrs,sleep,0.131,window,,continuous
madrs,suicidality,-0.009,window,,continuous
mono_lbstresc,overall_severity,0.051,bifactor_G,inflammatory,continuous
mono_lbstresc,inflammatory,0.466,primary,inflammatory,continuous
neut,overall_severity,0.138,bifactor_G,inflammatory,continuous
neut,inflammatory,0.829,primary,inflammatory,continuous
plat,overall_severity,0.051,bifactor_G,inflammatory,continuous
plat,inflammatory,0.218,primary,inflammatory,continuous
psqi,overall_severity,0.414,bifactor_G,sleep,continuous
psqi,sleep,0.9,primary,sleep,continuous
psqi11,overall_severity,0.117,bifactor_G,sleep,continuous
psqi11,sleep,0.581,primary,sleep,continuous
psqi12,overall_severity,0.061,bifactor_G,sleep,continuous
psqi12,sleep,0.585,primary,sleep,continuous
psqi13,overall_severity,0.268,bifactor_G,sleep,continuous
psqi13,sleep,0.5,primary,sleep,continuous
psqi14,overall_severity,0.183,bifactor_G,sleep,continuous
psqi14,sleep,0.557,primary,sleep,continuous
psqi15,overall_severity,0.301,bifactor_G,sleep,continuous
psqi15,sleep,0.655,primary,sleep,continuous
psqi17,overall_severity,0.512,bifactor_G,sleep,continuous
psqi17,sleep,0.321,primary,sleep,continuous
qidsr120,overall_severity,0.754,window,,continuous
qidsr120,cognition,-0.05,window,,continuous
qidsr120,sleep,0.219,window,,continuous
qidsr120,suicidality,0.023,window,,continuous
staya,overall_severity,0.646,window,,continuous
staya,sleep,0.184,window,,continuous
sysbpstanding,overall_severity,-0.017,bifactor_G,metabolic,continuous
sysbpstanding,metabolic,0.45,primary,metabolic,continuous
sysbpsupine,overall_severity,0.044,bifactor_G,metabolic,continuous
sysbpsupine,metabolic,0.424,primary,metabolic,continuous
t3fr_lbstresc,overall_severity,-0.008,bifactor_G,metabolic,continuous
t3fr_lbstresc,metabolic,0.045,primary,metabolic,continuous
t4fr_lbstresc,overall_severity,0.002,bifactor_G,metabolic,continuous
t4fr_lbstresc,metabolic,0.007,primary,metabolic,continuous
tmt_a_time_sec,overall_severity,0.275,bifactor_G,cognition,continuous
tmt_a_time_sec,cognition,0.419,primary,cognition,continuous
tmt_b_time_sec,overall_severity,0.289,bifactor_G,cognition,continuous
tmt_b_time_sec,cognition,0.468,primary,cognition,continuous
trig,overall_severity,0.218,bifactor_G,metabolic,continuous
trig,metabolic,0.485,primary,metabolic,continuous
tsh_lbstresc,overall_severity,-0.002,bifactor_G,metabolic,continuous
tsh_lbstresc,metabolic,0.027,primary,metabolic,continuous
urate,overall_severity,-0.035,bifactor_G,metabolic,continuous
urate,metabolic,0.467,primary,metabolic,continuous
urea_lbstresc,overall_severity,-0.021,bifactor_G,metabolic,continuous
urea_lbstresc,metabolic,0.107,primary,metabolic,continuous
verbal_fluency_phonemic,overall_severity,0.235,bifactor_G,cognition,continuous
verbal_fluency_phonemic,cognition,0.404,primary,cognition,continuous
verbal_fluency_semantic,overall_severity,0.29,bifactor_G,cognition,continuous
verbal_fluency_semantic,cognition,0.514,primary,cognition,continuous
vitd,overall_severity,0.037,bifactor_G,metabolic,continuous
vitd,metabolic,0.095,primary,metabolic,continuous
wais_code_std,overall_severity,0.347,bifactor_G,cognition,continuous
wais_code_std,cognition,0.456,primary,cognition,continuous
wais_digitspan_std,overall_severity,0.221,bifactor_G,cognition,continuous
wais_digitspan_std,cognition,0.379,primary,cognition,continuous
wais_ivt_index,overall_severity,0.332,bifactor_G,cognition,continuous
wais_ivt_index,cognition,0.487,primary,cognition,continuous
wais_similitudes_std,overall_severity,0.138,bifactor_G,cognition,continuous
wais_similitudes_std,cognition,0.437,primary,cognition,continuous
wbc,overall_severity,0.124,bifactor_G,inflammatory,continuous
wbc,inflammatory,0.855,primary,inflammatory,continuous
weight,overall_severity,0.094,bifactor_G,metabolic,continuous
weight,metabolic,0.936,primary,metabolic,continuous
wstcir,overall_severity,0.128,bifactor_G,metabolic,continuous
