item,factor,loading,kind,home,block
agepere,overall_severity,0.003,bifactor_G,developmental_risk,continuous
agepere,developmental_risk,0.031,primary,developmental_risk,continuous
alp_lbstresc,overall_severity,0.105,bifactor_G,metabolic,continuous
alp_lbstresc,metabolic,0.24,primary,metabolic,continuous
alt_lbstresc,overall_severity,0.0,bifactor_G,metabolic,continuous
alt_lbstresc,metabolic,0.459,primary,metabolic,continuous
apgr0106_1min,overall_severity,-0.129,bifactor_G,developmental_risk,continuous
apgr0106_1min,developmental_risk,0.086,primary,developmental_risk,continuous
ast_lbstresc,overall_severity,-0.061,bifactor_G,metabolic,continuous
ast_lbstresc,metabolic,0.243,primary,metabolic,continuous
baso_lbstresc,overall_severity,-0.036,bifactor_G,inflammatory,continuous
baso_lbstresc,inflammatory,0.203,primary,inflammatory,continuous
bili_lbstresc,overall_severity,-0.116,bifactor_G,metabolic,continuous
bili_lbstresc,metabolic,0.017,primary,metabolic,continuous
bmi,overall_severity,0.102,bifactor_G,metabolic,continuous
bmi,metabolic,0.886,primary,metabolic,continuous
brthcirc,overall_severity,-0.002,bifactor_G,developmental_risk,continuous
brthcirc,developmental_risk,0.154,primary,developmental_risk,continuous
brthht,overall_severity,-0.072,bifactor_G,developmental_risk,continuous
brthht,developmental_risk,0.087,primary,developmental_risk,continuous
cgi01,overall_severity,0.606,g_anchor,overall_severity,continuous
chol,overall_severity,0.072,bifactor_G,metabolic,continuous
chol,metabolic,0.198,primary,metabolic,continuous
cholhdl_lbstresc,overall_severity,0.172,bifactor_G,metabolic,continuous
cholhdl_lbstresc,metabolic,0.475,primary,metabolic,continuous
creat_lbstresc,overall_severity,-0.008,bifactor_G,metabolic,continuous
creat_lbstresc,metabolic,0.187,primary,metabolic,continuous
crp,overall_severity,0.085,bifactor_G,inflammatory,continuous
crp,inflammatory,0.307,primary,inflammatory,continuous
csm,overall_severity,0.292,bifactor_G,sleep,continuous
csm,sleep,0.118,primary,sleep,continuous
ctq29,overall_severity,0.116,bifactor_G,developmental_risk,continuous
ctq29,developmental_risk,0.743,primary,developmental_risk,continuous
ctq31,overall_severity,0.219,bifactor_G,developmental_risk,continuous
ctq31,developmental_risk,0.782,primary,developmental_risk,continuous
ctq33,overall_severity,0.289,bifactor_G,developmental_risk,continuous
ctq33,developmental_risk,0.656,primary,developmental_risk,continuous
ctq35,overall_severity,0.092,bifactor_G,developmental_risk,continuous
ctq35,developmental_risk,0.519,primary,developmental_risk,continuous
ctq37,overall_severity,0.168,bifactor_G,developmental_risk,continuous
ctq37,developmental_risk,0.842,primary,developmental_risk,continuous
ctq39,overall_severity,0.246,bifactor_G,developmental_risk,continuous
ctq39,developmental_risk,0.995,primary,developmental_risk,continuous
cvlt_long_delay_free_recall,overall_severity,0.234,bifactor_G,cognition,continuous
cvlt_long_delay_free_recall,cognition,0.944,primary,cognition,continuous
cvlt_short_delay_free_recall,overall_severity,0.225,bifactor_G,cognition,continuous
cvlt_short_delay_free_recall,cognition,0.96,primary,cognition,continuous
cvlt_total_recall,overall_severity,0.259,bifactor_G,cognition,continuous
cvlt_total_recall,cognition,0.879,primary,cognition,continuous
diabpstanding,overall_severity,0.016,bifactor_G,metabolic,continuous
diabpstanding,metabolic,0.393,primary,metabolic,continuous
diabpsupine,overall_severity,0.076,bifactor_G,metabolic,continuous
diabpsupine,metabolic,0.412,primary,metabolic,continuous
egf,overall_severity,0.703,g_anchor,overall_severity,continuous
eghrmn,overall_severity,0.143,bifactor_G,metabolic,continuous
eghrmn,metabolic,0.193,primary,metabolic,continuous
eos,overall_severity,-0.026,bifactor_G,inflammatory,continuous
eos,inflammatory,0.311,primary,inflammatory,continuous
eq5d,overall_severity,0.715,g_anchor,overall_severity,continuous
eq5d0206,overall_severity,0.639,g_anchor,overall_severity,continuous
ess0109,overall_severity,0.192,bifactor_G,sleep,continuous
ess0109,sleep,0.041,primary,sleep,continuous
fast,overall_severity,0.883,g_anchor,overall_severity,continuous
fast25,overall_severity,0.739,g_anchor,overall_severity,continuous
fast26,overall_severity,0.562,g_anchor,overall_severity,continuous
fast27,overall_severity,0.694,g_anchor,overall_severity,continuous
fast28,overall_severity,0.395,g_anchor,overall_severity,continuous
fast30,overall_severity,0.647,g_anchor,overall_severity,continuous
ggt_lbstresc,overall_severity,0.131,bifactor_G,metabolic,continuous
ggt_lbstresc,metabolic,0.477,primary,metabolic,continuous
gluc,overall_severity,-0.014,bifactor_G,metabolic,continuous
gluc,metabolic,0.179,primary,metabolic,continuous
gstabrth,overall_severity,-0.049,bifactor_G,developmental_risk,continuous
gstabrth,developmental_risk,0.041,primary,developmental_risk,continuous
hba1c,overall_severity,0.164,bifactor_G,metabolic,continuous
hba1c,metabolic,0.222,primary,metabolic,continuous
hdl,overall_severity,0.166,bifactor_G,metabolic,continuous
hdl,metabolic,0.377,primary,metabolic,continuous
hrstanding,overall_severity,0.135,bifactor_G,metabolic,continuous
hrstanding,metabolic,0.127,primary,metabolic,continuous
hrsupine,overall_severity,0.144,bifactor_G,metabolic,continuous
hrsupine,metabolic,0.161,primary,metabolic,continuous
isf07,overall_severity,0.121,bifactor_G,suicidality,continuous
isf07,suicidality,0.523,primary,suicidality,continuous
ldl,overall_severity,0.054,bifactor_G,metabolic,continuous
ldl,metabolic,0.263,primary,metabolic,continuous
lvsbjind,overall_severity,0.02,g_anchor,overall_severity,continuous
lym_lbstresc,overall_severity,-0.069,bifactor_G,inflammatory,continuous
lym_lbstresc,inflammatory,0.002,primary,inflammatory,continuous
madrs,overall_severity,0.77,window,,continuous
madrs,cognition,-0.049,window,,continuous
madrs,sleep,0.124,window,,continuous
madrs,suicidality,-0.025,window,,continuous
mono_lbstresc,overall_severity,0.053,bifactor_G,inflammatory,continuous
mono_lbstresc,inflammatory,0.489,primary,inflammatory,continuous
neut,overall_severity,0.138,bifactor_G,inflammatory,continuous
neut,inflammatory,0.911,primary,inflammatory,continuous
plat,overall_severity,0.014,bifactor_G,inflammatory,continuous
plat,inflammatory,0.227,primary,inflammatory,continuous
psqi,overall_severity,0.374,bifactor_G,sleep,continuous
psqi,sleep,0.868,primary,sleep,continuous
psqi11,overall_severity,0.081,bifactor_G,sleep,continuous
psqi11,sleep,0.583,primary,sleep,continuous
psqi12,overall_severity,0.027,bifactor_G,sleep,continuous
psqi12,sleep,0.513,primary,sleep,continuous
psqi13,overall_severity,0.261,bifactor_G,sleep,continuous
psqi13,sleep,0.456,primary,sleep,continuous
psqi14,overall_severity,0.169,bifactor_G,sleep,continuous
psqi14,sleep,0.574,primary,sleep,continuous
psqi15,overall_severity,0.289,bifactor_G,sleep,continuous
psqi15,sleep,0.616,primary,sleep,continuous
psqi17,overall_severity,0.525,bifactor_G,sleep,continuous
psqi17,sleep,0.286,primary,sleep,continuous
qidsr120,overall_severity,0.749,window,,continuous
qidsr120,cognition,-0.05,window,,continuous
qidsr120,sleep,0.193,window,,continuous
qidsr120,suicidality,0.009,window,,continuous
staya,overall_severity,0.659,window,,continuous
staya,sleep,0.17,window,,continuous
sysbpstanding,overall_severity,-0.029,bifactor_G,metabolic,continuous
sysbpstanding,metabolic,0.42,primary,metabolic,continuous
sysbpsupine,overall_severity,0.005,bifactor_G,metabolic,continuous
sysbpsupine,metabolic,0.432,primary,metabolic,continuous
t3fr_lbstresc,overall_severity,-0.014,bifactor_G,metabolic,continuous
t3fr_lbstresc,metabolic,0.025,primary,metabolic,continuous
t4fr_lbstresc,overall_severity,0.023,bifactor_G,metabolic,continuous
t4fr_lbstresc,metabolic,0.018,primary,metabolic,continuous
tmt_a_time_sec,overall_severity,0.23,bifactor_G,cognition,continuous
tmt_a_time_sec,cognition,0.426,primary,cognition,continuous
tmt_b_time_sec,overall_severity,0.215,bifactor_G,cognition,continuous
tmt_b_time_sec,cognition,0.395,primary,cognition,continuous
trig,overall_severity,0.181,bifactor_G,metabolic,continuous
trig,metabolic,0.495,primary,metabolic,continuous
tsh_lbstresc,overall_severity,-0.033,bifactor_G,metabolic,continuous
tsh_lbstresc,metabolic,0.032,primary,metabolic,continuous
urate,overall_severity,-0.003,bifactor_G,metabolic,continuous
urate,metabolic,0.455,primary,metabolic,continuous
urea_lbstresc,overall_severity,-0.025,bifactor_G,metabolic,continuous
urea_lbstresc,metabolic,0.137,primary,metabolic,continuous
verbal_fluency_phonemic,overall_severity,0.204,bifactor_G,cognition,continuous
verbal_fluency_phonemic,cognition,0.423,primary,cognition,continuous
verbal_fluency_semantic,overall_severity,0.253,bifactor_G,cognition,continuous
verbal_fluency_semantic,cognition,0.504,primary,cognition,continuous
vitd,overall_severity,0.032,bifactor_G,metabolic,continuous
vitd,metabolic,0.19,primary,metabolic,continuous
wais_code_std,overall_severity,0.332,bifactor_G,cognition,continuous
wais_code_std,cognition,0.431,primary,cognition,continuous
wais_digitspan_std,overall_severity,0.185,bifactor_G,cognition,continuous
wais_digitspan_std,cognition,0.318,primary,cognition,continuous
wais_ivt_index,overall_severity,0.302,bifactor_G,cognition,continuous
wais_ivt_index,cognition,0.445,primary,cognition,continuous
wais_similitudes_std,overall_severity,0.197,bifactor_G,cognition,continuous
wais_similitudes_std,cognition,0.376,primary,cognition,continuous
wbc,overall_severity,0.127,bifactor_G,inflammatory,continuous
wbc,inflammatory,0.859,primary,inflammatory,continuous
weight,overall_severity,0.089,bifactor_G,metabolic,continuous
weight,metabolic,0.915,primary,metabolic,continuous
wstcir,overall_severity,0.12,bifactor_G,metabolic,continuous
wstcir,metabolic,0.879,primary,metabolic,continuous
wurs,overall_severity,0.391,bifactor_G,developmental_risk,continuous
wurs,developmental_risk,0.305,primary,developmental_risk,continuous
autneuro_mhoccur,developmental_risk,0.134,primary,developmental_risk,non-gaussian
autneuro_mhoccur,overall_severity,0.023,bifactor_G,developmental_risk,non-gaussian
epilepsie_mhoccur,developmental_risk,0.226,primary,developmental_risk,non-gaussian
epilepsie_mhoccur,overall_severity,0.232,bifactor_G,developmental_risk,non-gaussian
honeonat,developmental_risk,0.087,primary,developmental_risk,non-gaussian
honeonat,overall_severity,-0.042,bifactor_G,developmental_risk,non-gaussian
isf01,suicidality,2.454,primary,suicidality,non-gaussian
isf01,overall_severity,0.248,bifactor_G,suicidality,non-gaussian
isf02,suicidality,2.416,primary,suicidality,non-gaussian
isf02,overall_severity,0.324,bifactor_G,suicidality,non-gaussian
isf03,suicidality,2.708,primary,suicidality,non-gaussian
isf03,overall_severity,0.441,bifactor_G,suicidality,non-gaussian
isf04,suicidality,2.643,primary,suicidality,non-gaussian
isf04,overall_severity,0.331,bifactor_G,suicidality,non-gaussian
isf05,suicidality,2.875,primary,suicidality,non-gaussian
isf05,overall_severity,0.447,bifactor_G,suicidality,non-gaussian
isf08,suicidality,1.449,primary,suicidality,non-gaussian
isf08,overall_severity,0.17,bifactor_G,suicidality,non-gaussian
isf09,suicidality,2.202,primary,suicidality,non-gaussian
isf09,overall_severity,0.029,bifactor_G,suicidality,non-gaussian
mere_structure,developmental_risk,0.336,primary,developmental_risk,non-gaussian
mere_structure,overall_severity,-0.098,bifactor_G,developmental_risk,non-gaussian
naisstyp,developmental_risk,0.092,primary,developmental_risk,non-gaussian
naisstyp,overall_severity,0.023,bifactor_G,developmental_risk,non-gaussian
pere_structure,developmental_risk,0.267,primary,developmental_risk,non-gaussian
pere_structure,overall_severity,-0.005,bifactor_G,developmental_risk,non-gaussian
traumacra_mhoccur,developmental_risk,0.297,primary,developmental_risk,non-gaussian
traumacra_mhoccur,overall_severity,-0.067,bifactor_G,developmental_risk,non-gaussian
ctq40,developmental_risk,0.004,primary,developmental_risk,non-gaussian
ctq40,overall_severity,-0.111,bifactor_G,developmental_risk,non-gaussian
isf08a,suicidality,1.364,primary,suicidality,non-gaussian
isf08a,overall_severity,0.172,bifactor_G,suicidality,non-gaussian
prembrth,developmental_risk,0.081,primary,developmental_risk,non-gaussian
prembrth,overall_severity,0.119,bifactor_G,developmental_risk,non-gaussian
isf09a,suicidality,1.684,primary,suicidality,non-gaussian
isf09a,overall_severity,0.021,bifactor_G,suicidality,non-gaussian
