item,factor,loading,kind,home,block
agepere,overall_severity,0.007,bifactor_G,developmental_risk,continuous
agepere,developmental_risk,0.005,primary,developmental_risk,continuous
alp_lbstresc,overall_severity,0.109,bifactor_G,metabolic,continuous
alp_lbstresc,metabolic,0.252,primary,metabolic,continuous
alt_lbstresc,overall_severity,0.02,bifactor_G,metabolic,continuous
alt_lbstresc,metabolic,0.469,primary,metabolic,continuous
apgr0106_1min,overall_severity,-0.029,bifactor_G,developmental_risk,continuous
apgr0106_1min,developmental_risk,0.06,primary,developmental_risk,continuous
ast_lbstresc,overall_severity,-0.03,bifactor_G,metabolic,continuous
ast_lbstresc,metabolic,0.289,primary,metabolic,continuous
baso_lbstresc,overall_severity,-0.008,bifactor_G,inflammatory,continuous
baso_lbstresc,inflammatory,0.161,primary,inflammatory,continuous
bili_lbstresc,overall_severity,-0.111,bifactor_G,metabolic,continuous
bili_lbstresc,metabolic,0.009,primary,metabolic,continuous
bmi,overall_severity,0.135,bifactor_G,metabolic,continuous
bmi,metabolic,0.902,primary,metabolic,continuous
brthcirc,overall_severity,0.001,bifactor_G,developmental_risk,continuous
brthcirc,developmental_risk,0.091,primary,developmental_risk,continuous
brthht,overall_severity,-0.005,bifactor_G,developmental_risk,continuous
brthht,developmental_risk,0.063,primary,developmental_risk,continuous
cgi01,overall_severity,0.619,g_anchor,overall_severity,continuous
chol,overall_severity,0.059,bifactor_G,metabolic,continuous
chol,metabolic,0.188,primary,metabolic,continuous
cholhdl_lbstresc,overall_severity,0.136,bifactor_G,metabolic,continuous
cholhdl_lbstresc,metabolic,0.424,primary,metabolic,continuous
creat_lbstresc,overall_severity,-0.034,bifactor_G,metabolic,continuous
creat_lbstresc,metabolic,0.166,primary,metabolic,continuous
crp,overall_severity,0.085,bifactor_G,inflammatory,continuous
crp,inflammatory,0.294,primary,inflammatory,continuous
csm,overall_severity,0.29,bifactor_G,sleep,continuous
csm,sleep,0.094,primary,sleep,continuous
ctq29,overall_severity,0.128,bifactor_G,developmental_risk,continuous
ctq29,developmental_risk,0.69,primary,developmental_risk,continuous
ctq31,overall_severity,0.194,bifactor_G,developmental_risk,continuous
ctq31,developmental_risk,0.767,primary,developmental_risk,continuous
ctq33,overall_severity,0.264,bifactor_G,developmental_risk,continuous
ctq33,developmental_risk,0.674,primary,developmental_risk,continuous
ctq35,overall_severity,0.104,bifactor_G,developmental_risk,continuous
ctq35,developmental_risk,0.546,primary,developmental_risk,continuous
ctq37,overall_severity,0.169,bifactor_G,developmental_risk,continuous
ctq37,developmental_risk,0.826,primary,developmental_risk,continuous
ctq39,overall_severity,0.237,bifactor_G,developmental_risk,continuous
ctq39,developmental_risk,0.984,primary,developmental_risk,continuous
cvlt_long_delay_free_recall,overall_severity,0.234,bifactor_G,cognition,continuous
cvlt_long_delay_free_recall,cognition,0.947,primary,cognition,continuous
cvlt_short_delay_free_recall,overall_severity,0.228,bifactor_G,cognition,continuous
cvlt_short_delay_free_recall,cognition,0.954,primary,cognition,continuous
cvlt_total_recall,overall_severity,0.272,bifactor_G,cognition,continuous
cvlt_total_recall,cognition,0.895,primary,cognition,continuous
diabpstanding,overall_severity,0.018,bifactor_G,metabolic,continuous
diabpstanding,metabolic,0.351,primary,metabolic,continuous
diabpsupine,overall_severity,0.086,bifactor_G,metabolic,continuous
diabpsupine,metabolic,0.358,primary,metabolic,continuous
egf,overall_severity,0.725,g_anchor,overall_severity,continuous
eghrmn,overall_severity,0.192,bifactor_G,metabolic,continuous
eghrmn,metabolic,0.201,primary,metabolic,continuous
eos,overall_severity,-0.011,bifactor_G,inflammatory,continuous
eos,inflammatory,0.29,primary,inflammatory,continuous
eq5d,overall_severity,0.68,g_anchor,overall_severity,continuous
eq5d0206,overall_severity,0.626,g_anchor,overall_severity,continuous
ess0109,overall_severity,0.174,bifactor_G,sleep,continuous
ess0109,sleep,0.06,primary,sleep,continuous
fast,overall_severity,0.904,g_anchor,overall_severity,continuous
fast25,overall_severity,0.756,g_anchor,overall_severity,continuous
fast26,overall_severity,0.58,g_anchor,overall_severity,continuous
fast27,overall_severity,0.71,g_anchor,overall_severity,continuous
fast28,overall_severity,0.416,g_anchor,overall_severity,continuous
fast30,overall_severity,0.682,g_anchor,overall_severity,continuous
ggt_lbstresc,overall_severity,0.159,bifactor_G,metabolic,continuous
ggt_lbstresc,metabolic,0.492,primary,metabolic,continuous
gluc,overall_severity,0.022,bifactor_G,metabolic,continuous
gluc,metabolic,0.173,primary,metabolic,continuous
gstabrth,overall_severity,-0.008,bifactor_G,developmental_risk,continuous
