item,factor,spread,load_bp,load_sz,load_dr
neut,inflammatory,0.81,0.877,0.821,0.067
wais_code_std,cognition,0.593,0.415,0.495,1.008
wais_ivt_index,cognition,0.558,0.469,0.639,1.027
cgi01,overall_severity,0.401,0.423,0.824,0.461
egf,overall_severity,0.376,0.659,0.869,0.494
eos,inflammatory,0.357,0.232,0.253,0.589
wbc,inflammatory,0.338,0.922,1.012,0.674
ldl,metabolic,0.3,0.366,0.296,0.066
eq5d0206,overall_severity,0.263,0.54,0.277,0.355
wais_digitspan_std,cognition,0.233,0.295,0.38,0.528
tmt_a_time_sec,cognition,0.22,0.433,0.457,0.653
tmt_b_time_sec,cognition,0.189,0.464,0.478,0.653
chol,metabolic,0.185,0.286,0.297,0.112
verbal_fluency_phonemic,cognition,0.154,0.41,0.448,0.564
crp,inflammatory,0.153,0.33,0.284,0.177
plat,inflammatory,0.15,0.197,0.266,0.348
psqi11,sleep,0.148,0.6,0.549,0.697
psqi12,sleep,0.142,0.558,0.488,0.63
hdl,metabolic,0.14,0.405,0.378,0.266
verbal_fluency_semantic,cognition,0.122,0.498,0.511,0.62
gluc,metabolic,0.117,0.206,0.208,0.323
psqi17,sleep,0.111,0.513,0.489,0.402
sysbpsupine,metabolic,0.104,0.447,0.343,0.346
weight,metabolic,0.095,0.92,0.993,1.015
trig,metabolic,0.092,0.54,0.46,0.448
lvsbjind,overall_severity,0.09,0.018,0.075,0.108
psqi13,sleep,0.072,0.55,0.576,0.504
hba1c,metabolic,0.061,0.26,0.32,0.276
urate,metabolic,0.049,0.465,0.432,0.481
psqi14,sleep,0.048,0.604,0.555,0.599
psqi,sleep,0.044,0.984,1.027,1.003
bmi,metabolic,0.043,0.934,0.937,0.977
diabpsupine,metabolic,0.042,0.367,0.326,0.33
psqi15,sleep,0.039,0.728,0.718,0.689
wais_similitudes_std,cognition,0.031,0.48,0.464,0.495
wstcir,metabolic,0.027,0.944,0.917,0.926
