item,type,home,n_obs,observed,pred_mean,pred_lo,pred_hi,bayes_p,pass_
autneuro_mhoccur,binary,developmental_risk,1574,0.024,0.025,0.017,0.036,0.6,True
ctq41,binary,developmental_risk,1176,0.295,0.297,0.262,0.329,0.55,True
epilepsie_mhoccur,binary,developmental_risk,1591,0.026,0.027,0.019,0.036,0.573,True
honeonat,binary,developmental_risk,1240,0.078,0.079,0.061,0.098,0.537,True
mere_structure,binary,developmental_risk,1602,0.468,0.467,0.435,0.494,0.54,True
naisstyp,binary,developmental_risk,1376,0.114,0.115,0.095,0.135,0.48,True
pere_structure,binary,developmental_risk,1557,0.425,0.428,0.4,0.457,0.56,True
traumacra_mhoccur,binary,developmental_risk,1592,0.119,0.119,0.101,0.139,0.503,True
suoccur_alcool,binary,substance,1332,0.013,0.014,0.008,0.022,0.643,True
suoccur_cannabis,binary,substance,1332,0.014,0.015,0.008,0.023,0.623,True
isf01,binary,suicidality,1635,0.763,0.763,0.745,0.78,0.503,True
isf02,binary,suicidality,1633,0.692,0.692,0.673,0.716,0.493,True
isf03,binary,suicidality,1630,0.694,0.694,0.676,0.713,0.477,True
isf04,binary,suicidality,1635,0.454,0.454,0.437,0.473,0.5,True
isf05,binary,suicidality,1636,0.345,0.346,0.328,0.364,0.55,True
isf08,binary,suicidality,1602,0.068,0.069,0.057,0.083,0.523,True
isf09,binary,suicidality,1588,0.094,0.096,0.082,0.11,0.593,True
sudose_cigarettes_lt,count,substance,738,16.553,16.596,15.312,17.939,0.497,True
isf09a,count,suicidality,1584,0.14,13.421,0.235,65.863,0.997,False
ctq40,ordinal,developmental_risk,1570,0.48,0.48,0.438,0.527,0.483,True
prembrth,ordinal,developmental_risk,1388,0.932,0.934,0.912,0.958,0.56,True
isf08a,ordinal,suicidality,1598,0.087,0.096,0.077,0.12,0.78,True
