archetype,dim,mean,hdi_lo,hdi_hi
A0,overall_severity,-0.937,-1.87,1.728
A0,cognition,-0.818,-1.854,-0.031
A0,metabolic,-0.856,-1.757,-0.052
A0,inflammatory,-1.09,-2.875,0.369
A0,sleep,-1.169,-2.247,0.293
A0,mania_activation,-1.229,-2.194,-0.596
A0,suicidality,-0.791,-2.204,1.374
A0,developmental_risk,-1.111,-1.713,-0.643
A0,substance,-1.088,-2.875,0.168
A1,overall_severity,-0.084,-1.071,1.197
A1,cognition,0.066,-0.877,0.706
A1,metabolic,1.402,-1.024,2.693
A1,inflammatory,-0.409,-1.146,0.852
A1,sleep,0.279,-1.271,0.96
A1,mania_activation,-0.354,-1.418,0.847
A1,suicidality,6.329,2.266,9.912
A1,developmental_risk,1.556,-0.92,2.75
A1,substance,1.718,0.143,2.985
A2,overall_severity,1.671,-0.376,2.919
A2,cognition,3.634,0.258,6.511
A2,metabolic,-1.044,-1.519,-0.252
A2,inflammatory,-0.877,-2.194,0.296
A2,sleep,-1.51,-3.429,-0.24
A2,mania_activation,-0.092,-1.487,1.209
A2,suicidality,-1.058,-2.04,0.003
A2,developmental_risk,-0.57,-1.448,0.183
A2,substance,-0.418,-2.018,0.78
A3,overall_severity,0.236,-1.155,1.594
A3,cognition,-1.29,-2.87,-0.47
A3,metabolic,-1.175,-1.565,-0.633
A3,inflammatory,-0.831,-2.394,1.043
A3,sleep,2.109,-1.036,3.508
A3,mania_activation,-0.347,-1.319,0.485
A3,suicidality,-0.1,-1.13,1.155
A3,developmental_risk,-0.967,-1.569,-0.292
A3,substance,-1.18,-2.941,0.21
A4,overall_severity,0.11,-1.44,1.32
A4,cognition,0.194,-0.888,2.114
A4,metabolic,3.717,-0.298,4.512
A4,inflammatory,0.457,-0.962,1.751
A4,sleep,-0.126,-1.336,0.854
A4,mania_activation,-0.354,-1.151,0.298
A4,suicidality,-0.996,-2.136,0.234
A4,developmental_risk,-1.01,-1.348,-0.129
A4,substance,0.428,-0.889,1.299
A5,overall_severity,0.301,-1.22,1.841
A5,cognition,0.416,-1.244,1.816
A5,metabolic,0.364,-1.092,2.627
A5,inflammatory,4.248,1.093,7.009
A5,sleep,-0.307,-1.827,0.514
A5,mania_activation,-0.523,-1.627,0.243
A5,suicidality,-1.133,-2.161,0.674
A5,developmental_risk,-0.353,-1.342,0.432
A5,substance,1.869,0.344,2.877
A6,overall_severity,0.532,0.126,0.969
A6,cognition,-0.688,-1.443,-0.07
A6,metabolic,-0.62,-1.354,0.015
A6,inflammatory,-0.225,-1.005,0.557
A6,sleep,0.841,-0.043,1.658
A6,mania_activation,0.373,-0.487,1.18
A6,suicidality,0.419,-0.99,2.139
A6,developmental_risk,4.978,4.626,5.281
A6,substance,0.141,-0.699,0.902
A7,overall_severity,0.182,-0.53,1.071
A7,cognition,-0.151,-0.946,0.794
A7,metabolic,-0.625,-1.409,0.243
A7,inflammatory,0.481,-0.459,1.168
A7,sleep,1.21,0.477,2.804
A7,mania_activation,5.173,2.655,6.817
A7,suicidality,-0.269,-0.944,0.834
A7,developmental_risk,0.338,-1.025,1.287
A7,substance,0.138,-0.9,0.951
