item,factor,spread,load_V0,load_V1,load_V2
wbc,inflammatory,0.519,0.554,1.072,0.943
mono_lbstresc,inflammatory,0.468,0.905,0.535,0.436
eos,inflammatory,0.398,0.654,0.28,0.256
baso_lbstresc,inflammatory,0.361,0.481,0.12,0.134
ctq35,developmental_risk,0.35,0.498,0.722,0.371
agepere,developmental_risk,0.34,0.021,0.361,0.342
neut,inflammatory,0.302,0.528,0.83,0.775
fast25,overall_severity,0.302,1.073,0.771,0.888
ctq33,developmental_risk,0.276,0.842,0.606,0.566
hba1c,metabolic,0.215,0.416,0.201,0.31
fast27,overall_severity,0.198,1.031,0.834,0.871
verbal_fluency_semantic,cognition,0.188,0.706,0.518,0.609
wais_ivt_index,cognition,0.185,0.783,0.691,0.598
wais_digitspan_std,cognition,0.183,0.561,0.476,0.379
fast30,overall_severity,0.164,0.908,0.753,0.744
wais_code_std,cognition,0.157,0.737,0.615,0.58
fast26,overall_severity,0.156,0.747,0.903,0.848
tmt_b_time_sec,cognition,0.151,0.709,0.771,0.62
alt_lbstresc,metabolic,0.142,0.364,0.506,0.475
ctq37,developmental_risk,0.136,0.697,0.796,0.833
fast,overall_severity,0.126,1.27,1.157,1.144
cvlt_short_delay_free_recall,cognition,0.123,1.047,0.992,1.115
plat,inflammatory,0.122,0.169,0.163,0.285
psqi11,sleep,0.122,0.699,0.641,0.577
egf,overall_severity,0.121,0.743,0.844,0.864
verbal_fluency_phonemic,cognition,0.12,0.644,0.541,0.524
crp,inflammatory,0.118,0.247,0.242,0.36
psqi12,sleep,0.11,0.564,0.626,0.516
alp_lbstresc,metabolic,0.106,0.231,0.287,0.337
cholhdl_lbstresc,metabolic,0.103,0.442,0.463,0.361
ctq31,developmental_risk,0.103,0.754,0.717,0.82
gluc,metabolic,0.101,0.202,0.101,0.188
psqi,sleep,0.096,1.053,1.034,0.957
vitd,metabolic,0.094,0.188,0.142,0.094
hrstanding,metabolic,0.091,0.117,0.182,0.208
chol,metabolic,0.087,0.188,0.199,0.112
cvlt_total_recall,cognition,0.083,1.023,0.982,1.065
ldl,metabolic,0.073,0.175,0.181,0.108
ctq39,developmental_risk,0.068,0.943,0.992,0.924
ctq29,developmental_risk,0.066,0.619,0.665,0.6
eghrmn,metabolic,0.065,0.205,0.269,0.211
wais_similitudes_std,cognition,0.064,0.509,0.481,0.445
eq5d,overall_severity,0.058,0.539,0.574,0.597
cvlt_long_delay_free_recall,cognition,0.058,1.058,1.055,1.113
tmt_a_time_sec,cognition,0.057,0.726,0.783,0.732
trig,metabolic,0.056,0.508,0.505,0.452
eq5d0206,overall_severity,0.055,0.62,0.59,0.565
ast_lbstresc,metabolic,0.052,0.241,0.247,0.293
ess0109,sleep,0.051,0.134,0.156,0.185
tsh_lbstresc,metabolic,0.05,0.033,0.084,0.061
fast28,overall_severity,0.049,0.557,0.568,0.518
cgi01,overall_severity,0.047,0.659,0.706,0.691
hrsupine,metabolic,0.046,0.186,0.232,0.198
psqi13,sleep,0.045,0.596,0.613,0.568
bmi,metabolic,0.044,0.948,0.905,0.94
ggt_lbstresc,metabolic,0.041,0.492,0.532,0.491
diabpstanding,metabolic,0.04,0.318,0.304,0.345
diabpsupine,metabolic,0.04,0.343,0.333,0.373
psqi15,sleep,0.037,0.717,0.739,0.702
urate,metabolic,0.035,0.434,0.423,0.458
wstcir,metabolic,0.034,0.931,0.934,0.965
sysbpstanding,metabolic,0.031,0.407,0.431,0.437
creat_lbstresc,metabolic,0.029,0.195,0.225,0.206
psqi17,sleep,0.029,0.536,0.565,0.541
weight,metabolic,0.028,0.965,0.969,0.993
t3fr_lbstresc,metabolic,0.026,0.042,0.027,0.053
t4fr_lbstresc,metabolic,0.021,0.036,0.015,0.017
urea_lbstresc,metabolic,0.021,0.117,0.096,0.116
psqi14,sleep,0.019,0.58,0.572,0.59
bili_lbstresc,metabolic,0.017,0.016,0.025,0.034
hdl,metabolic,0.017,0.36,0.351,0.343
sysbpsupine,metabolic,0.005,0.364,0.363,0.368
lym_lbstresc,inflammatory,0.003,0.004,0.004,0.007
csm,sleep,0.002,0.193,0.194,0.194
