axis,item,visit,delta_alpha,se,hdi_lo,hdi_hi,excludes_zero
overall_severity,cgi01,V1,-0.043,0.014,-0.069,-0.017,True
overall_severity,cgi01,V2,-0.074,0.016,-0.104,-0.043,True
overall_severity,egf,V1,0.057,0.012,0.035,0.079,True
overall_severity,egf,V2,0.064,0.014,0.038,0.09,True
overall_severity,eq5d,V1,-0.042,0.017,-0.073,-0.011,True
overall_severity,eq5d,V2,-0.028,0.019,-0.063,0.007,False
overall_severity,eq5d0206,V1,0.02,0.017,-0.013,0.053,False
overall_severity,eq5d0206,V2,-0.03,0.02,-0.067,0.007,False
overall_severity,fast,V1,0.03,0.008,0.015,0.046,True
overall_severity,fast,V2,0.034,0.009,0.017,0.052,True
overall_severity,fast25,V1,0.005,0.014,-0.022,0.032,False
overall_severity,fast25,V2,0.028,0.016,-0.002,0.058,False
overall_severity,fast26,V1,0.066,0.018,0.031,0.1,True
overall_severity,fast26,V2,0.054,0.021,0.016,0.093,True
overall_severity,fast27,V1,0.033,0.016,0.003,0.063,True
overall_severity,fast27,V2,0.045,0.018,0.012,0.079,True
overall_severity,fast28,V1,-0.072,0.021,-0.112,-0.032,True
overall_severity,fast28,V2,-0.074,0.024,-0.119,-0.03,True
overall_severity,fast30,V1,0.048,0.016,0.016,0.079,True
overall_severity,fast30,V2,0.032,0.018,-0.003,0.066,False
sleep,csm,V1,-0.061,0.075,-0.201,0.08,False
sleep,csm,V2,0.189,0.094,0.012,0.366,True
sleep,ess0109,V1,-0.148,0.022,-0.189,-0.106,True
sleep,ess0109,V2,-0.194,0.025,-0.241,-0.147,True
sleep,psqi,V1,-0.109,0.007,-0.122,-0.097,True
sleep,psqi,V2,-0.149,0.008,-0.164,-0.135,True
sleep,psqi11,V1,-0.034,0.016,-0.064,-0.003,True
sleep,psqi11,V2,-0.044,0.018,-0.078,-0.009,True
sleep,psqi12,V1,0.011,0.016,-0.02,0.042,False
sleep,psqi12,V2,0.038,0.019,0.003,0.073,True
sleep,psqi13,V1,-0.049,0.017,-0.082,-0.016,True
sleep,psqi13,V2,-0.071,0.02,-0.108,-0.034,True
sleep,psqi14,V1,-0.07,0.016,-0.101,-0.04,True
sleep,psqi14,V2,-0.107,0.018,-0.141,-0.072,True
sleep,psqi15,V1,-0.047,0.015,-0.075,-0.02,True
sleep,psqi15,V2,-0.044,0.017,-0.075,-0.013,True
sleep,psqi17,V1,-0.207,0.019,-0.242,-0.172,True
sleep,psqi17,V2,-0.305,0.021,-0.345,-0.265,True
developmental_risk,agepere,V1,-0.167,0.078,-0.315,-0.02,True
developmental_risk,agepere,V2,0.056,0.089,-0.111,0.223,False
developmental_risk,apgr0106_1min,V1,-0.688,0.206,-1.075,-0.301,True
developmental_risk,apgr0106_1min,V2,0.14,0.259,-0.348,0.627,False
developmental_risk,brthcirc,V1,-0.232,0.318,-0.831,0.367,False
developmental_risk,brthcirc,V2,0.447,0.27,-0.061,0.954,False
developmental_risk,brthht,V1,-0.184,0.176,-0.515,0.148,False
developmental_risk,brthht,V2,-0.315,0.182,-0.657,0.027,False
developmental_risk,ctq29,V1,0.03,0.072,-0.104,0.165,False
developmental_risk,ctq29,V2,-0.009,0.086,-0.17,0.153,False
developmental_risk,ctq31,V1,-0.059,0.061,-0.175,0.056,False
developmental_risk,ctq31,V2,-0.024,0.073,-0.162,0.113,False
developmental_risk,ctq33,V1,0.171,0.072,0.036,0.306,True
developmental_risk,ctq33,V2,0.067,0.086,-0.094,0.228,False
developmental_risk,ctq35,V1,0.066,0.082,-0.089,0.221,False
developmental_risk,ctq35,V2,-0.039,0.098,-0.223,0.145,False
developmental_risk,ctq37,V1,-0.125,0.054,-0.226,-0.024,True
developmental_risk,ctq37,V2,-0.007,0.064,-0.128,0.114,False
developmental_risk,ctq39,V1,-0.006,0.014,-0.032,0.019,False
developmental_risk,ctq39,V2,-0.009,0.016,-0.04,0.021,False
developmental_risk,gstabrth,V1,0.253,0.152,-0.034,0.54,False
developmental_risk,gstabrth,V2,0.161,0.214,-0.242,0.565,False
developmental_risk,wurs,V1,-0.205,0.23,-0.637,0.227,False
developmental_risk,wurs,V2,-0.158,0.192,-0.519,0.203,False
