cohort,class,temporality,n_rows,n_exposed
sz,antipsychotic,current,5578,1793
sz,antidepressant,current,5578,847
sz,mood_stabilizer,current,5578,480
sz,lithium,current,5578,77
sz,anxiolytic,current,5578,817
dr,antipsychotic,current,1659,370
dr,antidepressant,current,1659,1118
dr,mood_stabilizer,current,1659,0
dr,lithium,current,1659,0
dr,anxiolytic,current,1659,0
dr,antipsychotic,lifetime,1399,188
dr,antidepressant,lifetime,1399,999
dr,mood_stabilizer,lifetime,1399,0
dr,lithium,lifetime,1399,0
dr,anxiolytic,lifetime,1399,0
bp,antipsychotic,lifetime,9154,6824
bp,antidepressant,lifetime,9295,8094
bp,mood_stabilizer,lifetime,9233,6669
bp,lithium,lifetime,9132,4224
bp,anxiolytic,lifetime,9038,6356
