item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
agepere,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.02270925492082178,0.02270925492082178,-0.026822225026414598,0.07217015142418134,False
agepere,developmental_risk,developmental_risk,continuous,gaussian,primary,0.015860029295456345,0.015860029295456345,0.0006546061546928106,0.05723888989413659,True
alp_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.02497591796053797,0.02497591796053797,-0.036027684915255105,0.08735943074349309,False
alp_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.2734076889359942,0.2734076889359942,0.19799335965882905,0.34881368507065763,True
alt_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.06369521889943205,0.06369521889943205,-0.12369226999059951,-0.005428181545659901,True
alt_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.27830602661617954,0.27830602661617954,0.21008101096314521,0.3477386726011216,True
altman,overall_severity,mania_activation,continuous,gaussian,bifactor_G,-0.25152158481641773,0.25152158481641773,-0.3041065114199375,-0.2004444262742862,True
altman,mania_activation,mania_activation,continuous,gaussian,primary,0.43118949464092926,0.43118949464092926,0.3178319001069294,0.5555001800927015,True
apgr0106_1min,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.01010186515432238,0.01010186515432238,-0.067666524036064,0.08945730076408372,False
apgr0106_1min,developmental_risk,developmental_risk,continuous,gaussian,primary,0.07624115104308155,0.07624115104308155,0.006487992964863184,0.18376626505198673,True
ast_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.0895132812580974,0.0895132812580974,-0.15275314272550805,-0.02625397085301458,True
ast_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.21112348777446602,0.21112348777446602,0.13825725051371493,0.287319811179093,True
autneuro_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.021006124995246164,0.021006124995246164,-0.07095273876163267,0.11185450350141922,False
autneuro_mhoccur,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.24415510200598103,0.24415510200598103,0.027755845893146586,0.5467369426724958,True
baso_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.010412853969269522,0.010412853969269522,-0.06781114843542542,0.04699121489276752,False
baso_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.08384005938323971,0.08384005938323971,0.022107772560943987,0.1493908802346083,True
bili_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.0063011576762658835,0.0063011576762658835,-0.06146176212778568,0.07090934087407587,False
bili_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.008375550793992256,0.008375550793992256,0.00028278012715236367,0.040383616818567135,True
brthcirc,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.022671464961144368,0.022671464961144368,-0.10837634942522013,0.06656837580448634,False
brthcirc,developmental_risk,developmental_risk,continuous,gaussian,primary,0.055285948941361865,0.055285948941361865,0.002655932912725407,0.1852675073007749,True
brthht,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.005141916096487434,0.005141916096487434,-0.08671602681938016,0.07335373811836729,False
brthht,developmental_risk,developmental_risk,continuous,gaussian,primary,0.028513624885686775,0.028513624885686775,0.0012774042259969646,0.10948149781282109,True
cgi01,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.5927415579209814,0.5927415579209814,0.5543451085248082,0.6311570870591858,True
chol,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,-0.016827994169984678,0.016827994169984678,-0.07045957126823348,0.03750688203882343,False
