item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
agepere,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.023908954531208594,0.023908954531208594,-0.026421988966233493,0.07368339092125742,False
agepere,developmental_risk,developmental_risk,continuous,gaussian,primary,0.015146877065943472,0.015146877065943472,0.000664806902711728,0.05856222886777581,True
alp_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,0.03034096372333732,0.03034096372333732,-0.032999100284917045,0.09621836837363212,False
alp_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.26957057565657183,0.26957057565657183,0.20265711378002382,0.33404079250352675,True
alt_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.06299567178892246,0.06299567178892246,-0.12329646589574841,-0.004206894654169909,True
alt_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.2542506466153077,0.2542506466153077,0.19268321379417758,0.3155787563782509,True
altman,overall_severity,mania_activation,continuous,gaussian,bifactor_G,-0.2536774327023784,0.2536774327023784,-0.3063070444692764,-0.2025486723292528,True
altman,mania_activation,mania_activation,continuous,gaussian,primary,0.44485176753779687,0.44485176753779687,0.33293767782070227,0.5694891212592178,True
apgr0106_1min,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.011210184184572057,0.011210184184572057,-0.06519637449098101,0.08823358301747632,False
apgr0106_1min,developmental_risk,developmental_risk,continuous,gaussian,primary,0.07597525727687726,0.07597525727687726,0.0058988173659546995,0.18509285097903436,True
ast_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.08940726076158242,0.08940726076158242,-0.15198350329614943,-0.02513258511596582,True
ast_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.1718813913700532,0.1718813913700532,0.10575305565358539,0.23923798726902024,True
autneuro_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.021083685045969018,0.021083685045969018,-0.07307187767590986,0.11306733082170939,False
autneuro_mhoccur,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.2473923495820634,0.2473923495820634,0.028635039879809743,0.5517829431155743,True
baso_lbstresc,overall_severity,inflammatory,continuous,lognormal,bifactor_G,-0.031220898362894,0.031220898362894,-0.08817694458486376,0.025120931026568517,False
baso_lbstresc,inflammatory,inflammatory,continuous,lognormal,primary,0.2853113897703572,0.2853113897703572,0.22604429161868916,0.3466655383239262,True
bili_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,0.00798748140065065,0.00798748140065065,-0.05612247088960422,0.0743677409779516,False
bili_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.009055429191212867,0.009055429191212867,0.0004030063460691384,0.0407309208068182,True
bmi,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.047640522272682645,0.047640522272682645,-0.0017292634483542116,0.09548781203992969,False
bmi,metabolic,metabolic,continuous,gaussian,primary,0.9400906528341009,0.9400906528341009,0.905234603807728,0.9766004513251736,True
brthcirc,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.019475518183487445,0.019475518183487445,-0.10777091126520588,0.06675693559719098,False
brthcirc,developmental_risk,developmental_risk,continuous,gaussian,primary,0.0566919144946564,0.0566919144946564,0.0031926397935599037,0.18198368136838458,True
brthht,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.0050340917160754135,0.0050340917160754135,-0.08612073182269413,0.07580657145824646,False
brthht,developmental_risk,developmental_risk,continuous,gaussian,primary,0.02819112032521311,0.02819112032521311,0.0011312180612772483,0.11204602778117694,True
cgi01,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.5946021439486878,0.5946021439486878,0.5563160240530918,0.6322115631974502,True
chol,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.008242017562516668,0.008242017562516668,-0.06195126712691298,0.045525276828168454,False
chol,metabolic,metabolic,continuous,gaussian,primary,0.13204734052787143,0.13204734052787143,0.08015501633696706,0.18345481061211022,True
cholhdl_lbstresc,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.10204248604473448,0.10204248604473448,0.038676796807582174,0.1655453898769112,True
cholhdl_lbstresc,metabolic,metabolic,continuous,gaussian,primary,0.3263730180963891,0.3263730180963891,0.26787421858135735,0.3868821361728165,True
creat_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.02502827144129054,0.02502827144129054,-0.07981126359381684,0.029240145155823856,False
creat_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.09310597552719749,0.09310597552719749,0.03569669215598897,0.1508140114289742,True
crp,overall_severity,inflammatory,continuous,lognormal,bifactor_G,0.06992634090657703,0.06992634090657703,0.013283053018066903,0.12564694392697037,True
crp,inflammatory,inflammatory,continuous,lognormal,primary,0.22600167501262625,0.22600167501262625,0.1719892586252711,0.2800628507092759,True
csm,overall_severity,sleep,continuous,gaussian,bifactor_G,0.2744316559462825,0.2744316559462825,0.21482650265148337,0.33416813772904513,True
csm,sleep,sleep,continuous,gaussian,primary,0.11011259949520236,0.11011259949520236,0.05234360401990638,0.17145657617179694,True
ctq29,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.012629062886694515,0.012629062886694515,-0.0241226974925317,0.05016743553194151,False
ctq29,developmental_risk,developmental_risk,continuous,gaussian,primary,0.4449644586929007,0.4449644586929007,0.4102291863414286,0.4817033923372248,True
ctq31,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.1422745160385897,0.1422745160385897,0.10004106681539766,0.1839715492267983,True
ctq31,developmental_risk,developmental_risk,continuous,gaussian,primary,0.6815842709461444,0.6815842709461444,0.6426521677913936,0.7212260417728162,True
ctq33,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.2593920071294805,0.2593920071294805,0.22143059638150897,0.2972796729527406,True
ctq33,developmental_risk,developmental_risk,continuous,gaussian,primary,0.5543299024283879,0.5543299024283879,0.5199832339492223,0.591095317079241,True
ctq35,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.02231247915919652,0.02231247915919652,-0.058186383907515654,0.012404159172405433,False
ctq35,developmental_risk,developmental_risk,continuous,gaussian,primary,0.33782191074969103,0.33782191074969103,0.3041769271330921,0.37345411989841787,True
ctq37,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.019955538166779835,0.019955538166779835,-0.01976280212278926,0.05930825800607775,False
ctq37,developmental_risk,developmental_risk,continuous,gaussian,primary,0.6279814864395517,0.6279814864395517,0.5925278037768826,0.6639833837470783,True
ctq39,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.1635210747382429,0.1635210747382429,0.12920453595199952,0.20024773848354055,True
ctq39,developmental_risk,developmental_risk,continuous,gaussian,primary,0.8448083940306002,0.8448083940306002,0.8174452051154051,0.8736048880731423,True
ctq40,overall_severity,developmental_risk,explicit,ordered_logistic,bifactor_G,-0.019731026445968088,0.019731026445968088,-0.09413680071862644,0.05746396037346345,False
ctq40,developmental_risk,developmental_risk,explicit,ordered_logistic,primary,0.003226119015492142,0.003226119015492142,8.468556339082018e-05,0.01748474321903671,True
ctq41,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.038665870057128154,0.038665870057128154,-0.12080143749723336,0.04189049067438852,False
ctq41,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.003429274946429535,0.003429274946429535,0.00012797526782280862,0.01800964689669565,True
cvlt_long_delay_free_recall,overall_severity,cognition,continuous,gaussian,bifactor_G,0.07267516898850854,0.07267516898850854,0.008718923271537782,0.1375657936871603,True
cvlt_long_delay_free_recall,cognition,cognition,continuous,gaussian,primary,0.8753030866342217,0.8753030866342217,0.8278788010472393,0.9249680468602737,True
cvlt_short_delay_free_recall,overall_severity,cognition,continuous,gaussian,bifactor_G,0.08082879352617311,0.08082879352617311,0.014686310819988356,0.14660193426490675,True
cvlt_short_delay_free_recall,cognition,cognition,continuous,gaussian,primary,0.9004903198293874,0.9004903198293874,0.8518152497076793,0.9519328950929309,True
cvlt_total_recall,overall_severity,cognition,continuous,gaussian,bifactor_G,0.09658571283457193,0.09658571283457193,0.030795723844398135,0.16239410154799191,True
cvlt_total_recall,cognition,cognition,continuous,gaussian,primary,0.8323436042647778,0.8323436042647778,0.7827922738839646,0.8837299576300631,True
diabpstanding,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.0002739875855694231,0.0002739875855694231,-0.0602656237207873,0.062348104881867476,False
diabpstanding,metabolic,metabolic,continuous,gaussian,primary,0.21103504952627,0.21103504952627,0.15180976565019674,0.2729278565646255,True
diabpsupine,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.0574539923984266,0.0574539923984266,0.010667454064835487,0.10727605514673323,True
diabpsupine,metabolic,metabolic,continuous,gaussian,primary,0.20747528547509358,0.20747528547509358,0.16098201368605422,0.25432008045410176,True
egf,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.636535202538542,0.636535202538542,0.599127662578424,0.6750081699409376,True
eghrmn,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.15952490960831894,0.15952490960831894,0.09471657421951422,0.22511989600248844,True
eghrmn,metabolic,metabolic,continuous,gaussian,primary,0.16888891647354248,0.16888891647354248,0.10259579536014023,0.23524724063769825,True
eos,overall_severity,inflammatory,continuous,lognormal,bifactor_G,-0.11059089673394103,0.11059089673394103,-0.16727476508722,-0.057259243253428155,True
eos,inflammatory,inflammatory,continuous,lognormal,primary,0.2998084712895879,0.2998084712895879,0.24837589552036915,0.35239168341313365,True
epilepsie_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.020859739230958657,0.020859739230958657,-0.07362320056161248,0.11581399977567339,False
epilepsie_mhoccur,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.1534533130651859,0.1534533130651859,0.008525164441913043,0.4204031976567012,True
eq5d,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6386265119129506,0.6386265119129506,0.5724293233115223,0.7047872429798253,True
eq5d0206,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6132925873893816,0.6132925873893816,0.564883144102444,0.6625310546527066,True
ess0109,overall_severity,sleep,continuous,gaussian,bifactor_G,0.13909094357663965,0.13909094357663965,0.0743792952592635,0.2024950474212136,True
ess0109,sleep,sleep,continuous,gaussian,primary,0.059606587175400474,0.059606587175400474,0.00834370805806378,0.12173851907252344,True
fagers,overall_severity,substance,continuous,gaussian,bifactor_G,0.1247031829959348,0.1247031829959348,0.06644588499473181,0.1815245545748774,True
fagers,substance,substance,continuous,gaussian,primary,0.604873085261822,0.604873085261822,0.4911904934332095,0.7307908192584508,True
fast,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.9081072640650856,0.9081072640650856,0.8647332663772589,0.9507581635956617,True
fast25,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.7378402436353231,0.7378402436353231,0.6921061102479401,0.7845925885372756,True
fast26,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.4493597525858638,0.4493597525858638,0.40642280425785704,0.4924374286826427,True
fast27,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6839056267961279,0.6839056267961279,0.6320232904507407,0.7364828207757242,True
