item,home_factor,family,modeling_block,item_sign,n_obs,frac_missing,n_distinct,modal_frac,frac_zero,minimum,maximum,mean,sd,median,skew,kurtosis,normaltest_p_raw,normaltest_p_yeojohnson,empirical_form,recommended_tier,n_bp,n_sz,n_dr
madrs,,gaussian,continuous,1,6580,0.26994341506712527,49,0.08814589665653495,0.08814589665653495,0.0,50.0,12.729027355623101,10.339200463634274,10.0,0.7177304356754721,-0.34996706649380016,1.2131073503096811e-111,6.32236193869969e-223,count,gaussianize,6048,0,532
qidsr120,,gaussian,continuous,1,6373,0.2929102407633418,28,0.054919190334222504,0.013180605680213401,0.0,27.0,11.044249176212144,6.2966510533810425,11.0,0.21431511093094335,-0.9374516623813518,1.801214223360945e-238,2.2407757755521167e-199,count,gaussianize,5913,0,460
staya,,gaussian,continuous,1,6281,0.30311771885054917,61,0.026110491959879,0.0,20.0,80.0,44.825823913389584,15.104694611057349,44.0,0.2093178027857043,-0.9874288289812401,2.7823896089348466e-300,0.0,count,gaussianize,5893,0,388
qids_anhedonia_interest,anhedonia,gaussian,continuous,1,6458,0.28347941861755244,4,0.46407556519046145,0.46407556519046145,0.0,3.0,1.0359244348095387,1.1634509338298602,1.0,0.6746554381192669,-1.0697588374803058,0.0,0.0,ordinal_4,gaussianize,5950,0,508
cvlt_long_delay_free_recall,cognition,gaussian,continuous,-1,5830,0.35315655164762005,17,0.1267581475128645,0.0022298456260720413,0.0,16.0,11.550943396226415,3.4388649901481565,12.0,-0.6453079289013167,-0.23617550104702234,1.2134382175015885e-78,1.352586488625707e-255,continuous_symmetric,gaussianize,4155,1675,0
cvlt_short_delay_free_recall,cognition,gaussian,continuous,-1,5833,0.35282369910129807,17,0.10577747299845705,0.002571575518601063,0.0,16.0,11.027430138865078,3.474173311028023,11.0,-0.4848912673440188,-0.4414338913036482,9.370155717233737e-63,2.309743969844335e-175,continuous_symmetric,gaussianize,4159,1674,0
cvlt_total_recall,cognition,gaussian,continuous,-1,5809,0.35548651947187393,72,0.034257187123429164,0.0,4.0,80.0,53.77345498364607,12.453624537358046,55.0,-0.422509965368374,-0.22109016046336682,1.319202170317252e-38,5.869250558607328e-45,continuous_symmetric,gaussianize,4150,1659,0
tmt_a_time_sec,cognition,gaussian,continuous,1,6333,0.2973482747143016,274,0.04184430759513658,0.0,10.38,307.0,36.05146218222012,17.183454749903618,32.0,3.4600080156453927,30.084029147702964,0.0,0.30876250871809285,continuous_heavy_tailed,gaussianize,4224,1797,312
tmt_b_time_sec,cognition,gaussian,continuous,1,6231,0.30866526128924887,403,0.020542449045097094,0.0,16.0,539.0,88.4305328197721,49.182616556807375,75.0,2.7009007812041137,11.547486087639825,0.0,0.0036062840056854868,continuous_heavy_tailed,gaussianize,4180,1745,306
verbal_fluency_phonemic,cognition,gaussian,continuous,-1,5401,0.4007544657716632,48,0.05461951490464729,0.0,1.0,49.0,22.69172375486021,7.53078874518316,22.0,0.2114070143138292,-0.09108854260955779,1.0270596118492573e-09,0.2129924699268825,continuous_symmetric,gaussianize,4178,919,304
