item,block,n_real,mean_real,mean_synth,sd_real,sd_synth,rel_sd_err,skew_real,skew_synth
agepere,continuous,5989,31.371,31.424,6.441,6.496,0.0085,0.83,-0.0
alp_lbstresc,continuous,5205,65.168,65.312,23.018,22.149,0.0378,3.16,1.01
alt_lbstresc,continuous,5391,25.265,24.428,22.231,15.879,0.2857,7.16,2.51
altman,continuous,6311,2.95,2.983,3.613,3.579,0.0096,1.5,0.01
apgr0106_1min,continuous,938,8.957,8.947,2.538,2.542,0.0015,-2.88,-0.02
ast_lbstresc,continuous,5386,22.241,21.952,15.669,8.998,0.4258,16.07,1.29
baso_lbstresc,continuous,5266,0.068,0.066,0.214,0.115,0.4612,21.49,0.37
bili_lbstresc,continuous,4952,8.379,8.186,8.942,4.65,0.4799,35.98,1.85
bmi,continuous,8050,25.989,26.028,5.494,5.467,0.005,1.16,-0.05
brthcirc,continuous,651,34.365,34.379,1.632,1.646,0.0081,-0.26,0.03
brthht,continuous,1317,50.05,50.052,2.782,2.765,0.0062,-0.68,0.0
cgi01,continuous,8129,3.719,3.708,1.47,1.476,0.0043,-0.5,0.04
chol,continuous,7081,5.02,5.001,1.173,1.165,0.0067,0.56,-0.01
cholhdl_lbstresc,continuous,6234,3.91,3.901,1.606,1.596,0.0065,1.89,-0.0
creat_lbstresc,continuous,5433,73.444,73.322,22.174,16.11,0.2735,16.26,0.66
crp,continuous,5704,3.574,3.276,7.321,3.839,0.4755,20.22,2.94
csm,continuous,5748,34.035,33.99,7.678,7.678,0.0001,-0.07,-0.01
ctq29,continuous,8190,6.644,6.607,3.04,3.056,0.0051,2.68,0.03
ctq31,continuous,8176,12.501,12.412,5.102,5.064,0.0075,0.45,0.04
ctq33,continuous,8189,7.698,7.669,2.995,3.008,0.0043,1.37,0.01
ctq35,continuous,8176,6.588,6.561,3.558,3.489,0.0195,2.85,0.02
ctq37,continuous,8179,10.369,10.323,5.219,5.214,0.0009,0.94,0.05
ctq39,continuous,8122,43.77,43.597,14.517,14.449,0.0047,1.17,0.02
cvlt_long_delay_free_recall,continuous,5830,11.551,11.504,3.439,3.486,0.0138,-0.65,-0.02
cvlt_short_delay_free_recall,continuous,5833,11.027,11.002,3.474,3.507,0.0094,-0.48,-0.03
cvlt_total_recall,continuous,5809,53.773,53.642,12.454,12.442,0.001,-0.42,-0.01
diabpstanding,continuous,5692,76.996,76.959,11.989,11.828,0.0134,0.34,0.0
diabpsupine,continuous,7997,74.178,74.29,11.257,11.231,0.0023,0.26,-0.03
egf,continuous,7486,60.432,60.559,15.572,15.638,0.0043,0.04,-0.03
eghrmn,continuous,4599,70.047,70.138,12.654,12.793,0.011,0.61,0.01
eos,continuous,6995,0.23,0.224,0.456,0.215,0.5274,19.48,0.54
eq5d,continuous,5779,0.69,0.693,0.257,0.26,0.0102,-0.92,0.03
eq5d0206,continuous,5581,60.426,60.452,22.215,22.083,0.0059,-0.4,-0.0
ess0109,continuous,6259,9.27,9.213,4.915,4.871,0.009,0.27,0.0
fagers,continuous,3397,4.884,4.89,2.494,2.463,0.0125,-0.21,-0.01
fast,continuous,6188,23.223,23.085,15.346,15.405,0.0039,0.48,-0.03
fast25,continuous,6166,2.822,2.807,3.238,3.237,0.0002,1.03,-0.04
fast26,continuous,6090,7.605,7.58,6.29,6.354,0.0103,0.07,0.05
fast27,continuous,6166,4.257,4.22,3.781,3.791,0.0027,0.82,-0.02
fast28,continuous,6130,1.158,1.161,1.778,1.755,0.0129,1.44,0.02
fast30,continuous,6169,2.147,2.127,2.054,2.065,0.0056,0.54,0.01
ggt_lbstresc,continuous,5354,30.773,29.058,35.549,22.256,0.374,6.49,2.54
gluc,continuous,6728,4.912,4.959,1.203,1.548,0.2867,4.43,0.98
gstabrth,continuous,1886,38.852,38.811,2.825,2.822,0.0011,-1.77,-0.03
hba1c,continuous,2804,5.409,5.397,0.988,0.677,0.315,8.54,0.4
hdl,continuous,7036,1.387,1.385,0.458,0.454,0.0091,1.25,-0.01
hrstanding,continuous,5298,82.432,82.306,15.483,15.582,0.0064,0.51,0.05
hrsupine,continuous,6025,73.955,74.108,13.425,13.405,0.0015,0.53,-0.0
isf07,continuous,7974,0.888,0.885,2.102,2.095,0.0031,6.24,0.03
ldl,continuous,6777,2.994,2.977,1.016,1.024,0.0075,0.39,-0.02
lvsbjind,continuous,6583,2.463,2.451,1.397,1.404,0.0046,1.7,-0.03
lym_lbstresc,continuous,5287,2.323,2.211,2.853,0.952,0.6664,12.84,1.41
madrs,continuous,6580,12.729,12.579,10.339,10.378,0.0038,0.72,-0.03
mono_lbstresc,continuous,5282,0.572,0.558,0.66,0.306,0.5358,10.71,0.65
neut,continuous,7006,4.446,4.252,4.549,2.098,0.5389,9.68,1.85
plat,continuous,7052,249.997,257.938,65.42,107.832,0.6483,0.43,1.22
psqi,continuous,7268,7.534,7.563,3.821,3.781,0.0106,0.58,0.01
psqi11,continuous,7413,0.653,0.656,1.016,1.007,0.0088,1.36,0.02
psqi12,continuous,7468,0.351,0.357,0.756,0.756,0.0003,2.23,-0.01
psqi13,continuous,7407,1.406,1.4,0.619,0.613,0.011,0.46,-0.04
psqi14,continuous,7474,1.411,1.416,0.968,0.956,0.0128,0.14,0.0
psqi15,continuous,7509,1.236,1.245,0.864,0.854,0.0119,0.36,0.0
psqi17,continuous,7497,1.373,1.364,0.856,0.854,0.0014,0.19,-0.01
qidsr120,continuous,6373,11.044,11.02,6.297,6.289,0.0012,0.21,0.01
staya,continuous,6281,44.826,44.835,15.105,14.868,0.0156,0.21,0.01
sysbpstanding,continuous,5690,121.424,121.41,16.192,16.279,0.0053,0.59,-0.06
sysbpsupine,continuous,8000,121.407,121.574,15.164,15.087,0.0051,0.68,0.0
t3fr_lbstresc,continuous,5078,4.747,4.724,1.896,1.901,0.0027,10.25,-0.0
t4fr_lbstresc,continuous,5098,13.624,13.648,3.247,3.271,0.0075,0.04,0.01
tmt_a_time_sec,continuous,6333,36.051,36.174,17.183,17.424,0.014,3.46,0.01
tmt_b_time_sec,continuous,6231,88.431,88.713,49.183,48.736,0.0091,2.7,0.01
trig,continuous,7052,1.403,1.362,1.121,0.838,0.2525,6.78,2.27
tsh_lbstresc,continuous,4993,2.34,2.34,2.521,2.523,0.0005,25.79,-0.02
urate,continuous,6547,298.323,299.486,84.191,95.817,0.1381,0.34,1.03
urea_lbstresc,continuous,5160,4.832,4.833,2.074,2.069,0.0026,12.07,0.01
verbal_fluency_phonemic,continuous,5401,22.692,22.586,7.531,7.549,0.0024,0.21,0.01
verbal_fluency_semantic,continuous,5388,30.403,30.288,9.036,9.11,0.0082,0.23,-0.01
vitd,continuous,1464,50.473,49.836,29.218,29.439,0.0076,0.84,0.03
wais_code_std,continuous,5472,8.51,8.489,3.128,3.16,0.0102,-0.02,0.01
wais_digitspan_std,continuous,6335,9.255,9.286,2.911,2.91,0.0003,0.26,0.01
wais_ivt_index,continuous,4959,95.564,95.413,15.607,15.67,0.0041,-0.06,-0.01
wais_similitudes_std,continuous,2536,10.898,10.874,3.757,3.743,0.0038,-0.17,0.01
wbc,continuous,7097,6.913,6.882,2.199,2.099,0.0454,1.56,0.91
weight,continuous,8251,75.868,75.992,17.788,17.8,0.0007,0.85,-0.01
wstcir,continuous,7830,92.919,92.925,15.508,15.432,0.0049,0.49,-0.01
wurs,continuous,6017,34.91,34.823,20.56,20.308,0.0123,0.48,0.0
ymrs,continuous,8435,2.273,2.261,3.616,3.611,0.0014,2.46,0.0
autneuro_mhoccur,explicit,7050,0.025,0.023,0.157,0.15,0.0455,6.03,6.35
ctq41,explicit,7705,0.279,0.292,0.448,0.455,0.0144,0.99,0.91
epilepsie_mhoccur,explicit,7144,0.024,0.028,0.152,0.166,0.0942,6.29,5.69
honeonat,explicit,5853,0.082,0.078,0.274,0.269,0.0182,3.06,3.14
isf01,explicit,8174,0.782,0.773,0.413,0.419,0.0152,-1.37,-1.3
isf02,explicit,8162,0.702,0.702,0.457,0.458,0.0005,-0.88,-0.88
isf03,explicit,8157,0.694,0.705,0.461,0.456,0.0107,-0.84,-0.9
isf04,explicit,8148,0.474,0.456,0.499,0.498,0.0025,0.11,0.18
isf05,explicit,8176,0.358,0.348,0.48,0.476,0.007,0.59,0.64
isf08,explicit,8010,0.073,0.065,0.261,0.247,0.0539,3.27,3.52
isf09,explicit,7981,0.098,0.09,0.297,0.287,0.0342,2.71,2.86
