item,block,n_real,mean_real,mean_synth,sd_real,sd_synth,rel_sd_err,skew_real,skew_synth
agepere,continuous,5989,31.371,31.336,6.441,6.461,0.0031,0.83,0.82
alp_lbstresc,continuous,5205,65.168,65.548,23.018,25.551,0.11,3.16,5.25
alt_lbstresc,continuous,5391,25.265,25.052,22.231,22.121,0.0049,7.16,7.35
altman,continuous,6311,2.95,3.069,3.613,3.561,0.0145,1.5,1.49
apgr0106_1min,continuous,938,8.957,8.839,2.538,2.358,0.0711,-2.88,-2.86
ast_lbstresc,continuous,5386,22.241,22.373,15.669,16.598,0.0593,16.07,17.57
baso_lbstresc,continuous,5266,0.068,0.07,0.214,0.248,0.1568,21.49,22.99
bili_lbstresc,continuous,4952,8.379,8.634,8.942,13.713,0.5336,35.98,28.84
bmi,continuous,8050,25.989,26.036,5.494,5.474,0.0036,1.16,1.14
brthcirc,continuous,651,34.365,34.382,1.632,1.671,0.0234,-0.26,-0.17
brthht,continuous,1317,50.05,50.028,2.782,2.847,0.0233,-0.68,-0.73
cgi01,continuous,8129,3.719,3.708,1.47,1.512,0.0286,-0.5,-0.41
chol,continuous,7081,5.02,5.042,1.173,1.203,0.0253,0.56,0.93
cholhdl_lbstresc,continuous,6234,3.91,3.897,1.606,1.6,0.0038,1.89,1.87
creat_lbstresc,continuous,5433,73.444,73.758,22.174,26.085,0.1764,16.26,18.9
crp,continuous,5704,3.574,3.547,7.321,8.814,0.204,20.22,22.97
csm,continuous,5748,34.035,34.058,7.678,7.717,0.0052,-0.07,-0.09
ctq29,continuous,8190,6.644,6.748,3.04,2.986,0.018,2.68,2.81
ctq31,continuous,8176,12.501,12.582,5.102,5.149,0.0092,0.45,0.46
ctq33,continuous,8189,7.698,7.766,2.995,2.943,0.0176,1.37,1.37
ctq35,continuous,8176,6.588,6.778,3.558,3.555,0.0011,2.85,2.87
ctq37,continuous,8179,10.369,10.295,5.219,5.092,0.0242,0.94,1.0
ctq39,continuous,8122,43.77,43.565,14.517,14.52,0.0002,1.17,1.22
cvlt_long_delay_free_recall,continuous,5830,11.551,11.479,3.439,3.444,0.0015,-0.65,-0.69
cvlt_short_delay_free_recall,continuous,5833,11.027,10.941,3.474,3.48,0.0017,-0.48,-0.51
cvlt_total_recall,continuous,5809,53.773,53.731,12.454,12.538,0.0068,-0.42,-0.46
diabpstanding,continuous,5692,76.996,76.983,11.989,11.991,0.0002,0.34,0.36
diabpsupine,continuous,7997,74.178,74.131,11.257,11.294,0.0032,0.26,0.25
egf,continuous,7486,60.432,60.603,15.572,15.536,0.0023,0.04,0.07
eghrmn,continuous,4599,70.047,70.14,12.654,12.586,0.0053,0.61,0.59
eos,continuous,6995,0.23,0.227,0.456,0.433,0.0502,19.48,19.89
eq5d,continuous,5779,0.69,0.685,0.257,0.259,0.0079,-0.92,-0.92
eq5d0206,continuous,5581,60.426,60.355,22.215,22.098,0.0053,-0.4,-0.39
ess0109,continuous,6259,9.27,9.239,4.915,4.871,0.0089,0.27,0.26
fagers,continuous,3397,4.884,4.858,2.494,2.497,0.0013,-0.21,-0.14
fast,continuous,6188,23.223,23.214,15.346,15.35,0.0003,0.48,0.47
fast25,continuous,6166,2.822,2.912,3.238,3.161,0.0237,1.03,1.04
fast26,continuous,6090,7.605,7.582,6.29,6.101,0.0299,0.07,0.06
fast27,continuous,6166,4.257,4.278,3.781,3.724,0.0151,0.82,0.85
fast28,continuous,6130,1.158,1.262,1.778,1.658,0.0673,1.44,1.43
fast30,continuous,6169,2.147,2.165,2.054,1.932,0.0595,0.54,0.57
ggt_lbstresc,continuous,5354,30.773,31.102,35.549,36.841,0.0363,6.49,6.48
gluc,continuous,6728,4.912,4.899,1.203,1.197,0.0051,4.43,4.47
gstabrth,continuous,1886,38.852,38.835,2.825,2.849,0.0087,-1.77,-1.73
hba1c,continuous,2804,5.409,5.414,0.988,1.006,0.0183,8.54,8.46
hdl,continuous,7036,1.387,1.388,0.458,0.465,0.0144,1.25,1.3
hrstanding,continuous,5298,82.432,82.637,15.483,15.785,0.0195,0.51,0.54
hrsupine,continuous,6025,73.955,74.087,13.425,13.505,0.0059,0.53,0.53
isf07,continuous,7974,0.888,1.044,2.102,2.226,0.0589,6.24,8.12
ldl,continuous,6777,2.994,2.999,1.016,1.018,0.0013,0.39,0.46
lvsbjind,continuous,6583,2.463,2.503,1.397,1.393,0.0031,1.7,1.69
lym_lbstresc,continuous,5287,2.323,2.335,2.853,3.057,0.0717,12.84,13.76
madrs,continuous,6580,12.729,12.565,10.339,10.204,0.0131,0.72,0.75
mono_lbstresc,continuous,5282,0.572,0.577,0.66,0.71,0.0756,10.71,10.74
neut,continuous,7006,4.446,4.417,4.549,4.542,0.0016,9.68,9.41
plat,continuous,7052,249.997,249.315,65.42,65.699,0.0043,0.43,0.42
psqi,continuous,7268,7.534,7.557,3.821,3.813,0.002,0.58,0.57
psqi11,continuous,7413,0.653,0.773,1.016,0.93,0.0847,1.36,1.18
psqi12,continuous,7468,0.351,0.52,0.756,0.734,0.0291,2.23,1.77
psqi13,continuous,7407,1.406,1.43,0.619,0.717,0.1579,0.46,0.21
psqi14,continuous,7474,1.411,1.414,0.968,0.94,0.029,0.14,0.13
psqi15,continuous,7509,1.236,1.263,0.864,0.863,0.001,0.36,0.3
psqi17,continuous,7497,1.373,1.384,0.856,0.864,0.0094,0.19,0.15
qidsr120,continuous,6373,11.044,11.027,6.297,6.301,0.0007,0.21,0.22
staya,continuous,6281,44.826,44.78,15.105,15.077,0.0018,0.21,0.22
sudose_cigarettes_lt,continuous,3572,15.52,15.6,18.844,19.384,0.0286,4.36,4.49
sysbpstanding,continuous,5690,121.424,121.654,16.192,16.335,0.0088,0.59,0.68
sysbpsupine,continuous,8000,121.407,121.581,15.164,15.312,0.0098,0.68,0.69
t3fr_lbstresc,continuous,5078,4.747,4.745,1.896,1.939,0.0228,10.25,10.42
t4fr_lbstresc,continuous,5098,13.624,13.595,3.247,3.296,0.015,0.04,0.45
tmt_a_time_sec,continuous,6333,36.051,36.22,17.183,16.883,0.0175,3.46,2.82
tmt_b_time_sec,continuous,6231,88.431,88.521,49.183,48.768,0.0084,2.7,2.79
trig,continuous,7052,1.403,1.394,1.121,1.124,0.003,6.78,5.86
tsh_lbstresc,continuous,4993,2.34,2.366,2.521,3.034,0.2031,25.79,24.4
urate,continuous,6547,298.323,297.596,84.191,83.07,0.0133,0.34,0.33
urea_lbstresc,continuous,5160,4.832,4.819,2.074,2.007,0.0327,12.07,11.57
verbal_fluency_phonemic,continuous,5401,22.692,22.702,7.531,7.575,0.0058,0.21,0.19
verbal_fluency_semantic,continuous,5388,30.403,30.336,9.036,8.954,0.0091,0.23,0.25
vitd,continuous,1464,50.473,50.246,29.218,29.104,0.0039,0.84,0.87
wais_code_std,continuous,5472,8.51,8.469,3.128,3.225,0.031,-0.02,0.01
wais_digitspan_std,continuous,6335,9.255,9.237,2.911,2.997,0.0294,0.26,0.28
wais_ivt_index,continuous,4959,95.564,95.549,15.607,15.696,0.0057,-0.06,-0.06
wais_similitudes_std,continuous,2536,10.898,10.88,3.757,3.801,0.0115,-0.17,-0.16
wbc,continuous,7097,6.913,6.897,2.199,2.181,0.0082,1.56,1.8
weight,continuous,8251,75.868,75.94,17.788,17.649,0.0078,0.85,0.83
wstcir,continuous,7830,92.919,93.055,15.508,15.48,0.0018,0.49,0.45
wurs,continuous,6017,34.91,34.559,20.56,20.623,0.003,0.48,0.5
ymrs,continuous,8435,2.273,2.382,3.616,3.582,0.0095,2.46,2.59
autneuro_mhoccur,explicit,7050,0.025,0.025,0.157,0.155,0.0168,6.03,6.15
ctq41,explicit,7705,0.279,0.293,0.448,0.455,0.0151,0.99,0.91
epilepsie_mhoccur,explicit,7144,0.024,0.025,0.152,0.155,0.0251,6.29,6.12
honeonat,explicit,5853,0.082,0.075,0.274,0.263,0.0395,3.06,3.23
isf01,explicit,8174,0.782,0.79,0.413,0.407,0.0125,-1.37,-1.42
isf02,explicit,8162,0.702,0.699,0.457,0.459,0.0033,-0.88,-0.87
isf03,explicit,8157,0.694,0.715,0.461,0.451,0.021,-0.84,-0.95
isf04,explicit,8148,0.474,0.488,0.499,0.5,0.0011,0.11,0.05
isf05,explicit,8176,0.358,0.362,0.48,0.481,0.0021,0.59,0.57
isf08,explicit,8010,0.073,0.066,0.261,0.248,0.0487,3.27,3.5
isf09,explicit,7981,0.098,0.086,0.297,0.281,0.0537,2.71,2.94
mere_structure,explicit,7549,0.525,0.454,0.499,0.498,0.0029,-0.1,0.18
naisstyp,explicit,6345,0.108,0.106,0.31,0.307,0.0089,2.53,2.57
pere_structure,explicit,7262,0.504,0.416,0.5,0.493,0.0143,-0.02,0.34
suoccur_alcool,explicit,8461,0.021,0.015,0.144,0.12,0.1652,6.66,8.08
suoccur_cannabis,explicit,8461,0.017,0.012,0.13,0.109,0.1578,7.44,8.93
traumacra_mhoccur,explicit,7138,0.129,0.107,0.335,0.309,0.0772,2.21,2.54
isf09a,explicit,7955,0.144,0.129,0.634,0.694,0.0946,11.06,21.32
ctq40,explicit,8099,0.442,0.454,0.812,0.808,0.0039,1.85,1.77
isf08a,explicit,7988,0.095,0.09,0.402,0.409,0.0154,6.93,7.0
prembrth,explicit,6517,1.931,0.932,0.365,0.36,0.0121,-0.85,-0.88
