item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
agepere,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.024375852851383745,0.024375852851383745,-0.025530274212443926,0.07240223332111975,False
agepere,developmental_risk,developmental_risk,continuous,gaussian,primary,0.015316697639316746,0.015316697639316746,0.0005954815521871863,0.059176987740038205,True
alp_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,0.022583475864813893,0.022583475864813893,-0.0391302166586801,0.08719448653741896,False
alp_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.31634234449453447,0.31634234449453447,0.006922053176815177,0.4217854828146741,True
alp_lbstresc,inflammatory,metabolic,continuous,lognormal,cross,0.040727196302799126,0.040727196302799126,-0.06694489718238687,0.4140659531599325,False
alt_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.06388390066730479,0.06388390066730479,-0.1234310700794952,-0.004404427213018506,True
alt_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.3012490351035312,0.3012490351035312,0.02156227476740504,0.3995464504886743,True
alt_lbstresc,inflammatory,metabolic,continuous,lognormal,cross,-0.01996477555255404,0.01996477555255404,-0.12323591630835012,0.38090129399772427,False
altman,overall_severity,mania_activation,continuous,gaussian,bifactor_G,-0.25457692597956455,0.25457692597956455,-0.30674195944828114,-0.20123704783772636,True
altman,mania_activation,mania_activation,continuous,gaussian,primary,0.44124686563671556,0.44124686563671556,0.3231541942624825,0.5634767202746519,True
apgr0106_1min,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.011702281786229306,0.011702281786229306,-0.06507290300663433,0.08642181584954767,False
apgr0106_1min,developmental_risk,developmental_risk,continuous,gaussian,primary,0.0767169738871408,0.0767169738871408,0.0054680291452207375,0.18439681633404248,True
ast_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.08956755831811276,0.08956755831811276,-0.15424409147569743,-0.023810896333860222,True
ast_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.20155377538355174,0.20155377538355174,0.03082226256252,0.3036512282506204,True
ast_lbstresc,inflammatory,metabolic,continuous,lognormal,cross,-0.04079486580989457,0.04079486580989457,-0.14218581639896197,0.27743327537081647,False
autneuro_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.021600475676332317,0.021600475676332317,-0.07635121828127478,0.11857609774749242,False
autneuro_mhoccur,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.24928973353474704,0.24928973353474704,0.027438329905476462,0.5440731500301845,True
baso_lbstresc,overall_severity,inflammatory,continuous,lognormal,bifactor_G,-0.03519980288892082,0.03519980288892082,-0.09295830291835397,0.02395583571877962,False
baso_lbstresc,metabolic,inflammatory,continuous,lognormal,cross,0.0024140970953298716,0.0024140970953298716,-0.282853721140569,0.11353936407722325,False
baso_lbstresc,inflammatory,inflammatory,continuous,lognormal,primary,0.25004808203875994,0.25004808203875994,0.016951549800379617,0.3564336045395475,True
bili_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,0.00805549130117619,0.00805549130117619,-0.05634165756776184,0.07379902299368936,False
bili_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.016951748659994374,0.016951748659994374,0.0006294949574319814,0.09821204162623885,True
bili_lbstresc,inflammatory,metabolic,continuous,lognormal,cross,-0.10891390406132581,0.10891390406132581,-0.18348964244352128,-0.03282100325482094,True
bmi,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.04582217968884682,0.04582217968884682,-0.005285203656476462,0.09663639609319087,False
bmi,metabolic,metabolic,continuous,gaussian,primary,1.2285196721936,1.2285196721936,0.74913165617876,1.4008579670538455,True
bmi,inflammatory,metabolic,continuous,gaussian,cross,-0.7576827698249302,0.7576827698249302,-0.9244294676829631,1.322738444984572,False
brthcirc,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.02146983060550474,0.02146983060550474,-0.10812737950418341,0.06533543672840425,False
brthcirc,developmental_risk,developmental_risk,continuous,gaussian,primary,0.056748105034706606,0.056748105034706606,0.002773894054405023,0.17972163614719194,True
brthht,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,-0.004611710211134046,0.004611710211134046,-0.08568821128208771,0.07592858138788164,False
brthht,developmental_risk,developmental_risk,continuous,gaussian,primary,0.027873538486430427,0.027873538486430427,0.001068442603474577,0.1137115096348957,True
cgi01,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.595217819860736,0.595217819860736,0.5583791813983929,0.6353055386096492,True
chol,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.009640942413528406,0.009640942413528406,-0.0635965980300694,0.043179989535492035,False
chol,metabolic,metabolic,continuous,gaussian,primary,0.1428687405606519,0.1428687405606519,0.0036930937844189557,0.22588637495367628,True
chol,inflammatory,metabolic,continuous,gaussian,cross,0.04092488604789425,0.04092488604789425,-0.043194181749428774,0.221615809200006,False
cholhdl_lbstresc,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.09106991591956423,0.09106991591956423,0.02743945225522308,0.15469667461354128,True
cholhdl_lbstresc,metabolic,metabolic,continuous,gaussian,primary,0.39648478933319287,0.39648478933319287,0.10715081489784194,0.4949976699327916,True
cholhdl_lbstresc,inflammatory,metabolic,continuous,gaussian,cross,-0.11746432622271533,0.11746432622271533,-0.22158678527773554,0.46643113133113223,False
creat_lbstresc,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.02408546322039271,0.02408546322039271,-0.07586079007171566,0.029618503008055883,False
creat_lbstresc,metabolic,metabolic,continuous,lognormal,primary,0.11877568922188368,0.11877568922188368,0.042462700834676376,0.20092229132622813,True
creat_lbstresc,inflammatory,metabolic,continuous,lognormal,cross,-0.0768661881420036,0.0768661881420036,-0.170601310469965,0.170493434857961,False
crp,overall_severity,inflammatory,continuous,lognormal,bifactor_G,0.05909678899208277,0.05909678899208277,0.002668502012523112,0.1162464817961847,True
crp,metabolic,inflammatory,continuous,lognormal,cross,0.3590032287432551,0.3590032287432551,0.09602542562848876,0.4212530400770424,True
crp,inflammatory,inflammatory,continuous,lognormal,primary,0.011821033741649672,0.011821033741649672,0.0003572781629653945,0.5257628145545946,True
csm,overall_severity,sleep,continuous,gaussian,bifactor_G,0.27342782645071384,0.27342782645071384,0.2156245708463528,0.3319018012397319,True
csm,sleep,sleep,continuous,gaussian,primary,0.11147465797408962,0.11147465797408962,0.050302455141846204,0.172311559582761,True
ctq29,overall_severity,developmental_risk,continuous,gaussian,bifactor_G,0.009834856723612711,0.009834856723612711,-0.026851863866636773,0.048029426255768407,False
ctq29,developmental_risk,developmental_risk,continuous,gaussian,primary,0.44519068688044544,0.44519068688044544,0.41012744069111,0.481812235717837,True
