canonical_name,section,dtype,readiness,rule,worst,present,renamed,values,consistency,nan,metadata
sex,PATIENT,PASS:Int8,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
siteid_city,PATIENT,PASS:float64,READY,registered,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
brthdtc,PATIENT,PASS:datetime64[ns],READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
age,PATIENT,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
prism,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
staya,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mars,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mathys,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mathys29,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mathys30,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mathys31,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mathys32,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mathys33,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
altman,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
qidsr120,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
psqi,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
psqi11,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
psqi12,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
psqi13,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
psqi14,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
psqi15,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
psqi16,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
psqi17,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ess0109,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
eq5d0206,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
eq5d,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
fagers,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ctq29,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ctq31,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ctq33,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ctq35,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ctq37,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ctq39,AUTO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ctq40,AUTO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ctq41,AUTO-QUESTIONNAIRES,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
bis10,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
wurs,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
csm,AUTO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mdq,AUTO-QUESTIONNAIRES,PASS:Int8,PARTIAL,registered,WARN,PASS,PASS,PASS,PASS,WARN:sparse/empty source: ['BP=raw1.00'],PASS
cgi01,HETERO-QUESTIONNAIRES,PASS:Int16,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cgi02,HETERO-QUESTIONNAIRES,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cgi03a,HETERO-QUESTIONNAIRES,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cgi03b,HETERO-QUESTIONNAIRES,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cgi03,HETERO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
egf,HETERO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
madrs,HETERO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ymrs,HETERO-QUESTIONNAIRES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
fast25,HETERO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
fast26,HETERO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
fast27,HETERO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
fast28,HETERO-QUESTIONNAIRES,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
fast29,HETERO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
fast30,HETERO-QUESTIONNAIRES,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
fast,HETERO-QUESTIONNAIRES,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
height,CONSTANTES ET ECG,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
weight,CONSTANTES ET ECG,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
bmi,CONSTANTES ET ECG,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
wstcir,CONSTANTES ET ECG,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
sysbpsupine,CONSTANTES ET ECG,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
diabpsupine,CONSTANTES ET ECG,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
hrsupine,CONSTANTES ET ECG,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
sysbpstanding,CONSTANTES ET ECG,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
diabpstanding,CONSTANTES ET ECG,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
