factor,domain,loading
cog1,memory_cvlt,0.40642063694218195
cog1,executive_tmt,0.030741046020096603
cog1,proc_speed,0.0732139615964578
cog1,working_memory,0.5853092448978037
cog1,verbal_reasoning,0.47211438903954756
cog1,percept_reasoning,0.6685169986762246
cog1,fluency,0.2608479364068452
cog2,memory_cvlt,0.1078609969514343
cog2,executive_tmt,-0.2150865542745349
cog2,proc_speed,0.8022307491600822
cog2,working_memory,0.09135379386698804
cog2,verbal_reasoning,0.023892289148935597
cog2,percept_reasoning,0.09392220682752637
cog2,fluency,0.1695011656416998
