canonical,section,dtype,natural,n_obs,n_unique,is_int,min,max,iqr,skew
sex,PATIENT,int8 binary,binary,9013,2,True,0.0,1.0,1.0,-0.17174422160097008
age,PATIENT,float,count_or_ord_lg,9013,71,True,15.0,86.0,21.0,0.5191489507903132
prism,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,6049,55,True,0.0,60.0,14.0,0.6675848996395154
staya,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,6281,61,True,20.0,80.0,25.0,0.20936780637515368
mars,AUTO-QUESTIONNAIRES,float,ord_medium,7909,11,True,0.0,10.0,3.0,-0.5955930262633582
mathys,AUTO-QUESTIONNAIRES,float,continuous,5821,362,False,-18.0,602.0,20.0,2.9643174665239034
mathys29,AUTO-QUESTIONNAIRES,float,continuous,5844,154,False,0.0,74.0,8.0,0.09653685489675183
mathys30,AUTO-QUESTIONNAIRES,float,continuous,5845,228,False,0.0,98.0,16.0,0.06880004158592727
mathys31,AUTO-QUESTIONNAIRES,float,continuous,5839,167,False,0.0,526.0,4.5,33.30347641492348
mathys32,AUTO-QUESTIONNAIRES,float,continuous,5860,108,False,0.0,61.0,5.5,0.4707239222172064
mathys33,AUTO-QUESTIONNAIRES,float,continuous,5857,98,False,0.0,108.0,3.5,2.6395648917722827
altman,AUTO-QUESTIONNAIRES,float,ord_medium,6311,20,True,0.0,19.0,5.0,1.5001566204319252
qidsr120,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,6373,28,True,0.0,27.0,10.0,0.21436556901640733
psqi,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,7268,21,True,0.0,20.0,5.0,0.5845421696405045
psqi11,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,7413,4,True,0.0,3.0,1.0,1.3576387437261117
psqi12,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,7468,4,True,0.0,3.0,0.0,2.2257836784821676
psqi13,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,7407,4,True,0.0,3.0,1.0,0.45891622043783703
psqi14,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,7474,4,True,0.0,3.0,1.0,0.13741199363704973
psqi15,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,7509,4,True,0.0,3.0,1.0,0.36280487292441566
psqi16,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,7500,4,True,0.0,3.0,3.0,0.5494120743766057
psqi17,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,7497,4,True,0.0,3.0,1.0,0.19469377884306424
ess0109,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,6259,25,True,0.0,24.0,7.0,0.27052433578489143
eq5d0206,AUTO-QUESTIONNAIRES,float,int_>80,5582,92,True,0.0,500.0,35.0,0.879113292593976
eq5d,AUTO-QUESTIONNAIRES,float,continuous,5779,494,False,-0.53,1.0,0.374,-0.916620365487061
fagers,AUTO-QUESTIONNAIRES,float,ord_medium,3400,12,True,0.0,11.0,4.0,-0.20460595867767786
ctq29,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,8190,21,True,5.0,25.0,2.0,2.6777262203897023
ctq31,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,8176,21,True,5.0,25.0,7.0,0.44694241616632535
ctq33,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,8189,21,True,5.0,25.0,4.0,1.3691430956668929
ctq35,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,8176,21,True,5.0,25.0,1.0,2.8519328159016637
ctq37,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,8179,21,True,5.0,25.0,8.0,0.9384955102539261
ctq39,AUTO-QUESTIONNAIRES,float,int_>80,8122,87,True,25.0,119.0,18.0,1.1702326313568685
ctq40,AUTO-QUESTIONNAIRES,int8 categorical,ord_small,8099,4,True,0.0,3.0,1.0,1.8477193629215118
ctq41,AUTO-QUESTIONNAIRES,int8 binary,binary,7705,2,True,0.0,1.0,1.0,0.9876225255386795
bis10,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,6213,39,True,5.0,53.0,8.0,0.3487118935044708
wurs,AUTO-QUESTIONNAIRES,float,int_>80,6017,99,True,0.0,100.0,30.0,0.4829566934930491
csm,AUTO-QUESTIONNAIRES,float,count_or_ord_lg,5748,42,True,13.0,54.0,11.0,-0.06859349710350975
mdq,AUTO-QUESTIONNAIRES,int8 binary,binary,506,2,True,0.0,1.0,0.0,3.4059041720587437
cgi01,HETERO-QUESTIONNAIRES,int8 categorical,ord_medium,8129,8,True,0.0,7.0,2.0,-0.4996597433056388
cgi02,HETERO-QUESTIONNAIRES,int8 categorical,ord_medium,2456,8,True,0.0,7.0,3.0,0.48024566185717105
cgi03a,HETERO-QUESTIONNAIRES,int8 categorical,ord_small,2571,5,True,0.0,4.0,2.0,0.6703561883862402
cgi03b,HETERO-QUESTIONNAIRES,int8 categorical,ord_small,1643,4,True,1.0,4.0,0.0,0.2011513943625925
cgi03,HETERO-QUESTIONNAIRES,float,ord_medium,2547,17,True,0.0,16.0,6.0,1.0868254186989406
egf,HETERO-QUESTIONNAIRES,float,int_>80,7486,83,True,0.0,100.0,20.0,0.044482069375793895
madrs,HETERO-QUESTIONNAIRES,float,count_or_ord_lg,6580,49,True,0.0,50.0,16.0,0.7178940997097955
ymrs,HETERO-QUESTIONNAIRES,float,count_or_ord_lg,8435,30,True,0.0,33.0,3.0,2.464786840096734
fast25,HETERO-QUESTIONNAIRES,float,ord_medium,6166,13,True,0.0,12.0,5.0,1.0266929953061725
fast26,HETERO-QUESTIONNAIRES,float,ord_medium,6090,16,True,0.0,15.0,14.0,0.06569571076590158
fast27,HETERO-QUESTIONNAIRES,float,ord_medium,6166,16,True,0.0,15.0,6.0,0.8178731462231273
fast28,HETERO-QUESTIONNAIRES,int8 categorical,ord_small,6130,7,True,0.0,6.0,2.0,1.4394407827133426
fast29,HETERO-QUESTIONNAIRES,float,ord_medium,6141,19,True,0.0,18.0,6.0,0.7349845636296316
fast30,HETERO-QUESTIONNAIRES,int8 categorical,ord_small,6169,7,True,0.0,6.0,4.0,0.5443718156637787
fast,HETERO-QUESTIONNAIRES,float,count_or_ord_lg,6188,72,True,0.0,71.0,23.0,0.4756173721154419
height,CONSTANTES ET ECG,float,continuous,8262,119,False,18.0,16050.0,14.0,49.16109749326972
weight,CONSTANTES ET ECG,float,continuous,8255,565,False,28.6,854.0,23.0,14.01738268143943
bmi,CONSTANTES ET ECG,float,continuous,8054,648,False,9.7,318.4,6.699999999999999,17.00661906995623
wstcir,CONSTANTES ET ECG,float,continuous,7841,196,False,0.0,945.0,21.0,17.08792628708197
sysbpsupine,CONSTANTES ET ECG,float,continuous,8035,116,False,9.5,200.0,20.0,-0.6269956776007269
diabpsupine,CONSTANTES ET ECG,float,continuous,8037,94,False,5.0,608.0,13.0,7.26720678451551
hrsupine,CONSTANTES ET ECG,float,int_>80,6025,94,True,36.0,142.0,18.0,0.5338012017805508
sysbpstanding,CONSTANTES ET ECG,float,continuous,5720,125,False,9.0,206.0,21.0,-0.6755837810676019
diabpstanding,CONSTANTES ET ECG,float,continuous,5721,98,False,5.0,174.0,14.0,-0.44624795667098843
hrstanding,CONSTANTES ET ECG,float,int_>80,5298,104,True,40.0,178.0,20.0,0.512704771543398
eghrmn,CONSTANTES ET ECG,float,continuous,4632,98,False,0.0,409.0,18.0,2.378894316305964
qt,CONSTANTES ET ECG,float,continuous,4276,286,False,0.0,568.0,0.04799999999999999,5.166679847021659
rr,CONSTANTES ET ECG,float,continuous,3855,739,False,0.0,1345.0,0.26,8.945869651609007
qtc,CONSTANTES ET ECG,float,continuous,5454,418,False,0.0,559.667,0.044999999999999984,7.3981644031128
sodium_lbstresc,BILAN BIOLOGIQUE,float,continuous,5468,43,False,2.44,163.0,2.0,-22.507270284481468
k_lbstresc,BILAN BIOLOGIQUE,float,continuous,5462,197,False,2.5,401.0,0.48999999999999977,48.5782210333163
cl_lbstresc,BILAN BIOLOGIQUE,float,continuous,5127,38,False,2.5,10643.0,4.0,71.54119457189354
bicarb_lbstresc,BILAN BIOLOGIQUE,float,continuous,4720,168,False,0.0,247.0,3.3999999999999986,26.490914981249073
prot_lbstresc,BILAN BIOLOGIQUE,float,continuous,5019,238,False,1.31,107.0,6.0,-3.3413666317227864
alb_lbstresc,BILAN BIOLOGIQUE,float,continuous,5109,320,False,0.096,684.0,5.0,26.015424662801834
urea_lbstresc,BILAN BIOLOGIQUE,float,continuous,5185,549,False,0.0,339.0,1.7999999999999998,35.25095042127224
urate,BILAN BIOLOGIQUE,float,continuous,6579,1066,False,0.2,675.1,112.0,0.1674461909089862
creat_lbstresc,BILAN BIOLOGIQUE,float,continuous,5458,616,False,2.4,925.0,19.300000000000004,15.290575499425218
creatclr_lbstresc,BILAN BIOLOGIQUE,string,continuous,4532,1164,False,0.0,798.0,32.0,2.1210184177990956
phos_lbstresc,BILAN BIOLOGIQUE,float,continuous,4963,195,False,0.0,389.0,0.25,36.75724062229419
iron_lbstresc,BILAN BIOLOGIQUE,float,continuous,3846,666,False,0.0,1805.0,9.0,20.86228817788644
ca_lbstresc,BILAN BIOLOGIQUE,float,continuous,5255,123,False,0.25,108.0,0.14000000000000012,15.772315648054358
crp,BILAN BIOLOGIQUE,string,continuous,5704,337,False,0.0,327.0,3.9699999999999998,20.221615175494524
gluc,BILAN BIOLOGIQUE,float,continuous,6742,505,False,0.0,488.34,0.7999999999999998,26.883223482180547
hba1c,BILAN BIOLOGIQUE,float,continuous,2839,245,False,0.4,53.3,0.5399999999999991,11.864364986931008
hdl,BILAN BIOLOGIQUE,float,continuous,7066,318,False,0.0,96.0,0.5399999999999998,27.382032034036005
ldl,BILAN BIOLOGIQUE,float,continuous,6800,584,False,0.179,312.0,1.3000000000000003,42.102489912997015
chol,BILAN BIOLOGIQUE,float,continuous,7094,675,False,0.36,27.09,1.4400000000000004,1.2854247815009427
