axis,domain,loading
axis1,prism,0.6359271636510615
axis1,staya,0.7825827498625824
axis1,mars,-0.4267739756601823
axis1,mathys,-0.40648600971811594
axis1,altman,-0.1483674358597691
axis1,qidsr,0.8932244409297329
axis1,psqi,0.5364982388271948
axis1,ess,0.2231736672878654
axis1,eq5d,-0.7209984503109408
axis1,eq,-0.722694687612403
axis1,fagers,0.21264638643131858
axis1,ctq,0.30767597329137136
axis1,bis,0.404056376236033
axis1,wurs,0.40189408412878236
axis1,csm,-0.3611452977318629
axis1,egf,-0.6511418613167123
axis1,madrs,0.8373686061730228
axis1,ymrs,0.03766683653720142
axis1,fast,0.7327123691563175
axis1,isf,-0.14806737341828322
axis1,suncf_cigarettes_lt,0.09398536484889887
axis1,sudose_cigarettes_lt,0.06505206015188562
axis1,agedebut_cigarettes_lt,-0.04282636472150079
axis1,agetrt,-0.03155401944166386
axis1,agedebutpremier_episode,-0.06613786049686944
axis1,cetermpremier_episode,-0.12676586711395907
axis1,ppartpremier_episode,-0.01683368678677068
axis1,remisc,-0.28143676038571025
axis1,saison,-0.05305917072836912
axis1,somat_all,0.006135765292586986
axis1,pregnn_rporres,0.0174622420493574
axis1,menostat_rporres,0.0015604940179886008
axis1,mere_structure,-0.004183864874339635
axis1,mere_trouble,0.016878430163010435
axis1,mere_suicide,0.01753580593868649
axis1,pere_structure,-0.007323128249129259
axis1,pere_trouble,0.013466190157858734
axis1,pere_suicide,0.037392291030956495
axis1,agedebut_hospitalisation,0.023729996074082473
axis1,nboccur_hospitalisation_lt,0.02933598306978631
axis1,hodur_hospitalisation_lt,0.04635019696393427
axis1,hooccur_arret_travail_actuel,0.27698680133376297
axis1,hooccur_arret_travail,0.11130320482357368
axis1,maristat,-0.015095247026447246
axis1,edulevel,-0.18481458801602743
axis1,stprof,0.04289235375704499
axis1,lvsbjind,-0.031679897775418756
axis1,metabolic_syndrome,0.11064082970928647
axis1,cholesterol,0.05821587430950687
axis1,inflammation,0.09169567939132253
axis1,prolactin,0.05642187826280651
axis1,hepatic,0.04566186498406726
axis1,renal,-0.06356095012113637
axis1,cardiac_qtc,0.07423953321956842
axis2,prism,-0.05257492607062767
axis2,staya,-0.028460155441554346
axis2,mars,-0.09321241904986882
axis2,mathys,-0.022130225080994242
axis2,altman,0.0029398478486584835
axis2,qidsr,-0.01162849464165977
axis2,psqi,-0.048135349562664215
axis2,ess,-0.002276226736491004
axis2,eq5d,0.016843696055453727
axis2,eq,0.1424351158397037
axis2,fagers,-0.05550252215032814
axis2,ctq,-0.07473115142050768
axis2,bis,-0.04948591693692815
axis2,wurs,-0.12819518221129012
axis2,csm,0.04859048273802752
axis2,egf,-0.05053652859824235
axis2,madrs,0.053085155623837234
axis2,ymrs,0.005365463784135095
axis2,fast,0.04776014650417495
axis2,isf,-0.177944415759567
axis2,suncf_cigarettes_lt,-0.03993386259727878
axis2,sudose_cigarettes_lt,-0.05109789120160714
axis2,agedebut_cigarettes_lt,0.10004276005823838
axis2,agetrt,0.7852133705480835
axis2,agedebutpremier_episode,0.7008319392256696
axis2,cetermpremier_episode,-0.15702598120894296
axis2,ppartpremier_episode,0.0163441305041152
axis2,remisc,-0.0412529430083626
axis2,saison,-0.07936708933542293
axis2,somat_all,-0.024576492928877456
axis2,pregnn_rporres,0.007173789969043711
axis2,menostat_rporres,-0.01730500150298916
axis2,mere_structure,-0.09256330762853827
axis2,mere_trouble,-0.06875770212407796
axis2,mere_suicide,-0.02822369695557058
axis2,pere_structure,-0.09350177800520183
axis2,pere_trouble,-0.07465234385491427
axis2,pere_suicide,0.0029798672080044233
axis2,agedebut_hospitalisation,0.6914367030414265
axis2,nboccur_hospitalisation_lt,-0.23005553613739652
axis2,hodur_hospitalisation_lt,-0.13133253904462844
axis2,hooccur_arret_travail_actuel,0.13459148689547518
axis2,hooccur_arret_travail,0.08107523532021585
axis2,maristat,0.042821724082161255
axis2,edulevel,0.027581492257625746
axis2,stprof,-0.012510372410989705
axis2,lvsbjind,0.00920035811410397
axis2,metabolic_syndrome,-0.00331014391044495
axis2,cholesterol,0.01616831382322303
axis2,inflammation,0.003544193843872688
axis2,prolactin,0.030026951991444648
axis2,hepatic,0.027567952637851226
axis2,renal,0.004555612432926678
axis2,cardiac_qtc,0.046717948253877116
axis3,prism,0.18531014159539264
axis3,staya,-0.01237982341180089
axis3,mars,-0.06432793172970243
axis3,mathys,0.5522334028971224
axis3,altman,0.6462786468819905
axis3,qidsr,-0.007546686907684782
axis3,psqi,0.24526576618705337
axis3,ess,0.10799515228295777
axis3,eq5d,0.1320957325544914
axis3,eq,-0.041488135088006736
axis3,fagers,0.081934881769859
