axis,visit,n,pearson,spearman,icc
depression_severity,V1,4041,0.5821824789420216,0.5807326880044988,0.5586719855972674
depression_severity,V2,2761,0.5178888925062375,0.524928375783144,0.48474850832465344
depression_severity,V3,1840,0.47358834454979715,0.4715770346566506,0.44064753662968126
depression_severity,V4,733,0.419607980381065,0.4163962519419188,0.3838037663468326
later_onset,V1,4041,0.11285659199346797,0.11400656310428157,0.06339179988944342
later_onset,V2,2761,0.07134609155635427,0.06637489333664304,0.03877802537058532
later_onset,V3,1840,0.10002256744652922,0.08712413641734734,0.05356590116637889
later_onset,V4,733,0.05989848836416515,0.07291821999356356,0.03346097187609674
illness_burden,V1,4041,0.35663546855645817,0.37727763421340255,0.22834062541200045
illness_burden,V2,2761,0.35130996744221105,0.36722630333405887,0.23408277804572902
illness_burden,V3,1840,0.33009881016439424,0.33539864700841515,0.21003287246670171
illness_burden,V4,733,0.3022555993512112,0.3024741324795604,0.20125251860904383
mania_activation,V1,4041,0.24987034611196662,0.2841994940720107,0.2482799768413728
mania_activation,V2,2761,0.24545245839481236,0.2607020766795295,0.24128868269490047
mania_activation,V3,1840,0.24037515937032256,0.2545542772554396,0.2336979696444412
mania_activation,V4,733,0.20798100114704157,0.20747286767662795,0.20396135194157644
externalizing,V1,4041,0.300878342593637,0.30079889820508265,0.2623885142916628
externalizing,V2,2761,0.2789652540911379,0.27368150988961015,0.24263050938196604
externalizing,V3,1840,0.27851100318371785,0.298341124581936,0.2383139939157579
externalizing,V4,733,0.23641696068338128,0.2550468257407476,0.20299952610634048
metabolic,V1,4041,0.6463771963444811,0.6459707809668638,0.6443067627131278
metabolic,V2,2761,0.6075442385600274,0.60597297352678,0.6054314784150238
metabolic,V3,1840,0.5931203311208678,0.5806472785619837,0.5907559111181183
metabolic,V4,733,0.5712953557252416,0.5631418509243725,0.566717272009561
work_disability,V1,4041,0.22984094379519496,0.2072848800139059,0.1708570009564441
work_disability,V2,2761,0.2561950390411935,0.2268436450452836,0.19517518607834636
work_disability,V3,1840,0.20327630536824592,0.19095915940737065,0.1474873303786969
work_disability,V4,733,0.18137545507114272,0.1451101304834204,0.14377389657383463
