to_visit,from,to,n
V1,0,0,308
V1,0,1,226
V1,0,2,83
V1,0,3,142
V1,0,4,20
V1,1,0,105
V1,1,1,553
V1,1,2,40
V1,1,3,206
V1,1,4,28
V1,2,0,98
V1,2,1,88
V1,2,2,275
V1,2,3,99
V1,2,4,14
V1,3,0,102
V1,3,1,206
V1,3,2,51
V1,3,3,200
V1,3,4,18
V1,4,0,195
V1,4,1,296
V1,4,2,111
V1,4,3,187
V1,4,4,131
V2,0,0,229
V2,0,1,140
V2,0,2,56
V2,0,3,94
V2,0,4,23
V2,1,0,91
V2,1,1,371
V2,1,2,29
V2,1,3,130
V2,1,4,21
V2,2,0,88
V2,2,1,58
V2,2,2,201
V2,2,3,64
V2,2,4,14
V2,3,0,94
V2,3,1,120
V2,3,2,38
V2,3,3,121
V2,3,4,13
V2,4,0,136
V2,4,1,204
V2,4,2,79
V2,4,3,110
V2,4,4,88
V3,0,0,157
V3,0,1,92
V3,0,2,35
V3,0,3,60
V3,0,4,15
V3,1,0,55
V3,1,1,234
V3,1,2,23
V3,1,3,81
V3,1,4,20
V3,2,0,61
V3,2,1,50
V3,2,2,133
V3,2,3,42
V3,2,4,11
V3,3,0,57
V3,3,1,85
V3,3,2,36
V3,3,3,69
V3,3,4,11
V3,4,0,94
V3,4,1,130
V3,4,2,58
V3,4,3,71
V3,4,4,59
V4,0,0,70
V4,0,1,32
V4,0,2,13
V4,0,3,18
V4,0,4,5
V4,1,0,26
V4,1,1,85
V4,1,2,10
V4,1,3,29
V4,1,4,9
V4,2,0,24
V4,2,1,11
V4,2,2,56
V4,2,3,20
V4,2,4,3
V4,3,0,27
V4,3,1,28
V4,3,2,14
V4,3,3,25
V4,3,4,6
V4,4,0,46
V4,4,1,66
V4,4,2,23
V4,4,3,27
V4,4,4,24
