var_threshold,pt_threshold,n_features,n_patients,bp_patients,sz_patients,dr_patients,V1_n,V1_BP,V1_SZ,V1_DR,V2_n,V2_BP,V2_SZ,V2_DR,V3_n,V3_BP,V3_SZ,V3_DR,V4_n,V4_BP,V4_SZ,V4_DR
0.5,0.5,246,6997,5210,1523,264,3417,2672,747,149,2492,1998,461,103,1718,1393,353,1,691,470,164,62
0.5,0.6,246,5515,4492,958,65,2837,2381,486,51,2118,1809,309,40,1496,1271,249,0,576,425,126,28
0.5,0.7,246,4160,4043,117,0,2208,2157,59,0,1667,1636,35,0,1163,1137,29,0,383,370,14,0
0.5,0.75,246,3891,3891,0,0,2097,2097,0,0,1593,1593,0,0,1117,1117,0,0,363,363,0,0
0.5,0.8,246,3612,3612,0,0,1992,1992,0,0,1512,1512,0,0,1075,1075,0,0,346,346,0,0
0.5,0.85,246,3192,3192,0,0,1791,1791,0,0,1377,1377,0,0,981,981,0,0,298,298,0,0
0.5,0.9,246,2733,2733,0,0,1563,1563,0,0,1220,1220,0,0,879,879,0,0,267,267,0,0
0.6,0.5,174,7797,5596,1834,367,3711,2831,869,183,2669,2095,533,122,1828,1450,410,2,737,495,182,66
0.6,0.6,174,6850,5061,1529,260,3363,2625,743,147,2466,1974,459,103,1700,1380,349,1,685,464,162,63
0.6,0.7,174,5556,4429,1049,78,2865,2370,524,59,2121,1792,322,47,1505,1274,247,1,580,424,126,33
0.6,0.75,174,4412,3887,525,0,2311,2087,262,0,1723,1580,156,0,1203,1102,109,0,414,360,55,0
0.6,0.8,174,3761,3665,96,0,2036,1995,51,0,1552,1518,37,0,1095,1071,26,0,347,339,8,0
0.6,0.85,174,3371,3371,0,0,1876,1876,0,0,1438,1438,0,0,1025,1025,0,0,319,319,0,0
0.6,0.9,174,2835,2835,0,0,1622,1622,0,0,1260,1260,0,0,916,916,0,0,274,274,0,0
0.7,0.5,90,8412,5890,2018,504,3908,2962,912,222,2758,2148,562,133,1867,1471,427,3,748,498,187,68
0.7,0.6,90,7870,5508,1894,468,3718,2807,870,218,2636,2046,541,132,1801,1422,407,3,720,480,178,67
0.7,0.7,90,7155,5094,1635,426,3441,2621,768,204,2474,1944,474,126,1709,1366,367,3,676,452,162,66
0.7,0.75,90,6546,4722,1453,371,3208,2460,695,188,2330,1847,425,121,1620,1315,327,3,642,432,148,66
0.7,0.8,90,5900,4337,1263,300,2977,2312,622,162,2199,1763,383,107,1547,1276,291,1,612,416,135,65
0.7,0.85,90,4894,3877,761,256,2554,2117,367,145,1925,1632,226,100,1345,1197,156,1,514,382,71,63
0.7,0.9,90,4374,3618,543,213,2348,2001,272,131,1789,1553,169,94,1255,1145,116,1,471,360,51,61
0.75,0.5,73,8459,5943,2017,499,3931,2988,909,222,2780,2168,565,133,1872,1478,426,3,750,500,187,68
0.75,0.6,73,8125,5728,1931,466,3820,2905,882,215,2710,2113,547,131,1835,1449,417,3,733,490,181,67
0.75,0.7,73,7357,5250,1706,401,3532,2697,794,197,2527,1987,491,124,1744,1399,372,3,695,470,162,67
0.75,0.75,73,6896,4998,1536,362,3376,2601,730,184,2432,1930,448,118,1686,1364,346,3,670,453,155,66
0.75,0.8,73,6062,4425,1360,277,3026,2340,653,152,2215,1769,397,104,1557,1270,306,1,612,412,139,65
0.75,0.85,73,5144,3938,955,251,2646,2144,435,143,1973,1643,268,98,1365,1199,176,1,522,382,80,62
