var_threshold,pt_threshold,section,n_features
0.5,0.5,NEUROPSYCHOLOGIE,90
0.5,0.5,BILAN BIOLOGIQUE,38
0.5,0.5,CONSTANTES ET ECG,12
0.5,0.5,EVALUATION MEDICALE,6
0.5,0.5,SOIN SUIVI HOSP ARRET TRAVAIL,3
0.5,0.5,ANTECEDENTS,31
0.5,0.5,SUICIDE,8
0.5,0.5,AUTO-QUESTIONNAIRES,33
0.5,0.5,PERINATALITE,5
0.5,0.5,SOCIAL,4
0.5,0.5,HETERO-QUESTIONNAIRES,11
0.5,0.5,SUBSTANCES,1
0.5,0.5,PATIENT,4
0.5,0.6,NEUROPSYCHOLOGIE,90
0.5,0.6,BILAN BIOLOGIQUE,38
0.5,0.6,CONSTANTES ET ECG,12
0.5,0.6,EVALUATION MEDICALE,6
0.5,0.6,SOIN SUIVI HOSP ARRET TRAVAIL,3
0.5,0.6,ANTECEDENTS,31
0.5,0.6,SUICIDE,8
0.5,0.6,AUTO-QUESTIONNAIRES,33
0.5,0.6,PERINATALITE,5
0.5,0.6,SOCIAL,4
0.5,0.6,HETERO-QUESTIONNAIRES,11
0.5,0.6,SUBSTANCES,1
0.5,0.6,PATIENT,4
0.5,0.7,NEUROPSYCHOLOGIE,90
0.5,0.7,BILAN BIOLOGIQUE,38
0.5,0.7,CONSTANTES ET ECG,12
0.5,0.7,EVALUATION MEDICALE,6
0.5,0.7,SOIN SUIVI HOSP ARRET TRAVAIL,3
0.5,0.7,ANTECEDENTS,31
0.5,0.7,SUICIDE,8
0.5,0.7,AUTO-QUESTIONNAIRES,33
0.5,0.7,PERINATALITE,5
0.5,0.7,SOCIAL,4
0.5,0.7,HETERO-QUESTIONNAIRES,11
0.5,0.7,SUBSTANCES,1
0.5,0.7,PATIENT,4
0.5,0.75,NEUROPSYCHOLOGIE,90
0.5,0.75,BILAN BIOLOGIQUE,38
0.5,0.75,CONSTANTES ET ECG,12
0.5,0.75,EVALUATION MEDICALE,6
0.5,0.75,SOIN SUIVI HOSP ARRET TRAVAIL,3
0.5,0.75,ANTECEDENTS,31
0.5,0.75,SUICIDE,8
0.5,0.75,AUTO-QUESTIONNAIRES,33
0.5,0.75,PERINATALITE,5
0.5,0.75,SOCIAL,4
0.5,0.75,HETERO-QUESTIONNAIRES,11
0.5,0.75,SUBSTANCES,1
0.5,0.75,PATIENT,4
0.5,0.8,NEUROPSYCHOLOGIE,90
0.5,0.8,BILAN BIOLOGIQUE,38
0.5,0.8,CONSTANTES ET ECG,12
0.5,0.8,EVALUATION MEDICALE,6
0.5,0.8,SOIN SUIVI HOSP ARRET TRAVAIL,3
0.5,0.8,ANTECEDENTS,31
0.5,0.8,SUICIDE,8
0.5,0.8,AUTO-QUESTIONNAIRES,33
0.5,0.8,PERINATALITE,5
0.5,0.8,SOCIAL,4
0.5,0.8,HETERO-QUESTIONNAIRES,11
0.5,0.8,SUBSTANCES,1
0.5,0.8,PATIENT,4
0.5,0.85,NEUROPSYCHOLOGIE,90
0.5,0.85,BILAN BIOLOGIQUE,38
0.5,0.85,CONSTANTES ET ECG,12
0.5,0.85,EVALUATION MEDICALE,6
0.5,0.85,SOIN SUIVI HOSP ARRET TRAVAIL,3
0.5,0.85,ANTECEDENTS,31
0.5,0.85,SUICIDE,8
0.5,0.85,AUTO-QUESTIONNAIRES,33
0.5,0.85,PERINATALITE,5
0.5,0.85,SOCIAL,4
0.5,0.85,HETERO-QUESTIONNAIRES,11
0.5,0.85,SUBSTANCES,1
0.5,0.85,PATIENT,4
0.5,0.9,NEUROPSYCHOLOGIE,90
0.5,0.9,BILAN BIOLOGIQUE,38
0.5,0.9,CONSTANTES ET ECG,12
0.5,0.9,EVALUATION MEDICALE,6
0.5,0.9,SOIN SUIVI HOSP ARRET TRAVAIL,3
0.5,0.9,ANTECEDENTS,31
0.5,0.9,SUICIDE,8
0.5,0.9,AUTO-QUESTIONNAIRES,33
0.5,0.9,PERINATALITE,5
0.5,0.9,SOCIAL,4
0.5,0.9,HETERO-QUESTIONNAIRES,11
0.5,0.9,SUBSTANCES,1
0.5,0.9,PATIENT,4
0.6,0.5,EVALUATION MEDICALE,4
