outcome,axis,beta
EGF functioning,axis1,-3.835856581096362
EGF functioning,axis2,1.3656672400176024
EGF functioning,axis3,-2.162979934534435
EGF functioning,axis4,-0.7935946685180979
EGF functioning,axis5,-0.8881498118614953
EGF functioning,axis6,0.5944610963478895
any hospitalization,axis1,0.22002550998215709
any hospitalization,axis2,-0.11127735218949493
any hospitalization,axis3,-0.008419313282283774
any hospitalization,axis4,0.23319882001021291
any hospitalization,axis5,0.10096157388725424
any hospitalization,axis6,0.163976895006473
EQ-5D quality of life,axis1,-0.04574409559089135
EQ-5D quality of life,axis2,0.017606550737480846
EQ-5D quality of life,axis3,-0.022307036168691827
EQ-5D quality of life,axis4,-0.011899757744571207
EQ-5D quality of life,axis5,-0.02086441131096033
EQ-5D quality of life,axis6,0.004922390086139479
