variable,completeness,kept
ltsv04,0.0,False
ltsv02,0.00011095084877399408,False
ltsv05,0.00011095084877399408,False
ltsv06,0.00011095084877399408,False
ltsg06,0.00022190169754798816,False
ltsg05,0.0005547542438699704,False
ltsg03,0.0006657050926439645,False
oxcarbaz,0.00299567291689784,False
inflachro_mhmodify,0.005214689892377722,False
hvc_mhmodify,0.007322756019083498,False
ltsv03,0.008099411960501457,False
toxidermi_mhmodify,0.008543215355597433,False
genetique_mhmodify,0.011538888272495273,False
autneuro_mhmodify,0.019305447686674748,False
clozapin,0.0258515477643404,False
com03s2,0.027404859647176316,False
com02s2,0.02751581049595031,False
com04s2,0.027626761344724304,False
com01s2,0.027626761344724304,False
ltsg04,0.028514368134916257,False
com04s5,0.030289581715300162,False
autcardv_mhmodify,0.03261954953955393,False
ltsv09,0.03550427160767777,False
ltsv01,0.03628092754909573,False
ltsg02,0.03916564961721958,False
cedecodtrouble_humeur_actuel,0.04105181404637748,False
cssrs06,0.042050371685343424,False
ltsv07,0.04870742261178296,False
cssrs03,0.05281260401642074,False
cssrs05,0.05281260401642074,False
cssrs04,0.05303450571396873,False
ltsg07,0.05370021080661269,False
ltsg01,0.054365915899256656,False
mdq,0.05614112947964056,False
cssrs12,0.059802507489182255,False
cssrs11,0.06002440918673024,False
cssrs10,0.06013536003550424,False
cssrs09,0.060357261733052225,False
cssrs08,0.061133917674470184,False
com04s4,0.06246532785975811,False
isf08a,0.06923332963497175,False
empjob,0.06967713303006773,False
com03s1,0.07089759236658155,False
com04s1,0.07100854321535555,False
com02s1,0.07134139576167753,False
com01s1,0.07145234661045152,False
dysthyro_mhmodify,0.0736713635859314,False
brthcirc,0.08021746366359706,False
com04s3,0.08088316875624102,False
isf09a,0.08909353156551647,False
hormonal_rporres,0.09397536891157221,False
hodur_arret_travail_actuel,0.09619438588705198,False
apgr0106_5min,0.09808055031620988,False
agefin_cigarettes_lt,0.10063241983801174,False
apgr0106_1min,0.10429379784755355,False
com02,0.10828802840341734,False
com04,0.10839897925219133,False
com03,0.10862088094973932,False
com01,0.10906468434483518,False
brthht,0.15233551536669254,False
cssrs01,0.15621879507378233,False
cssrs02,0.1569954510152003,False
hcg_lbstresc,0.16309774769776986,False
vitd,0.16343060024409184,False
chrontrouble_humeur_actuel,0.17630089870187504,False
cgi03b,0.18229224453567072,False
cesevtrouble_humeur_actuel,0.1920559192277821,False
pparttrouble_humeur_actuel,0.21258182625097077,False
gstabrth,0.21535559747032063,False
similcr_wais4,0.24775324531232668,False
similstd_wais4,0.24775324531232668,False
similtot_wais4,0.24775324531232668,False
jobdur,0.2546321979363142,False
hodur_arret_travail,0.26827915233551536,False
jobclas,0.2690558082769333,False
cgi02,0.27249528458892713,False
cgi03,0.2825918118273605,False
cgi03a,0.28525463219793634,False
hba1c,0.3149894596693664,False
isf05a,0.31632086985465435,False
pregnn_rporres,0.31820703428381225,False
pere_trouble,0.3215355597470321,False
isf09,0.3283035615222456,False
isf08,0.33141018528791744,False
isf07,0.3409519582824808,False
pere_suicide,0.34183956507267277,False
fagers,0.37723288583157666,False
mere_suicide,0.3802285587484744,False
mere_trouble,0.3816709197825363,False
sudose_cigarettes_lt,0.3999778098302452,False
isf04a,0.4202818151558859,False
iron_lbstresc,0.4267169643847776,False
rr,0.4277155220237435,False
prolctn,0.4405858204815267,False
agedebut_cigarettes_lt,0.46233218684122934,False
menostat_rporres,0.4632197936314213,False
hooccur_arret_travail,0.4648840563630312,False
qt,0.4744258293575946,False
mchc_lbstresc,0.47542438699656053,False
cvlt05z,0.4855209142349939,False
mch_lbstresc,0.48951514479085767,False
hooccur_arret_travail_actuel,0.4963940974148452,False
wais_mc_cro_std_wais4,0.500166426273161,False
mcoc_w,0.500721180517031,False
wais_mc_cro_wais4,0.500721180517031,False
creatclr_lbstresc,0.5109286586042383,False
cvlt11z,0.5133695772772662,False
cvlt10z,0.5135914789748142,False
eghrmn,0.5139243315211361,False
cvlt09z,0.5139243315211361,False
ivt02_wais4,0.5153666925551981,False
ivt04_wais4,0.5153666925551981,False
ivt01_wais4,0.5153666925551981,False
bicarb_lbstresc,0.5236880062132475,False
cclin04,0.5296793520470431,False
tmtb05,0.5381116165538666,False
fv19,0.5391101741928326,False
remisc,0.5418839454121824,False
cvlt12z,0.5436591589925663,False
fv18,0.5444358149339843,False
hodur_hospitalisation_lt,0.5454343725729502,False
fv17,0.5490957505824919,False
saison,0.5494286031288139,False
fv16,0.5497614556751359,False
fv08,0.5499833573726839,False
phos_lbstresc,0.5506490624653279,False
bili_lbstresc,0.5507600133141018,False
cclin11,0.5516476201042938,False
fv15,0.5516476201042938,False
cclin03,0.5519804726506158,False
fv07,0.5528680794408077,False
cclin09,0.5530899811383557,False
cclin10,0.5535337845334517,False
tsh_lbstresc,0.5540885387773217,False
fv06,0.5543104404748697,False
fv05,0.5545323421724175,False
cvlt08z,0.5549761455675135,False
fv04,0.5553089981138355,False
prot_lbstresc,0.5568623099966714,False
cclin08,0.5569732608454454,False
cclin01,0.5571951625429934,False
tmtba02,0.5621879507378231,False
fv13,0.563963164318207,False
fv12,0.563963164318207,False
fv02,0.565516476201043,False
t3fr_lbstresc,0.565516476201043,False
fv01,0.5656274270498169,False
fv03,0.5657383778985909,False
fv14,0.5657383778985909,False
hct_lbstresc,0.5665150338400089,False
alb_lbstresc,0.5668478863863309,False
tmtba02b,0.5688450016642628,False
cl_lbstresc,0.5688450016642628,False
t4fr_lbstresc,0.5695107067569067,False
code02_wais4,0.5715078220348386,False
code05_wais4,0.5717297237323866,False
code01_wais4,0.5719516254299346,False
code04_wais4,0.5719516254299346,False
code03_wais4,0.5719516254299346,False
urea_lbstresc,0.5752801508931543,False
alp_lbstresc,0.58016198823921,False
cvlt12,0.5807167424830799,False
ca_lbstresc,0.5830467103073338,False
cvlt18,0.5840452679462997,False
hrstanding,0.5878175968046155,False
baso_lbstresc,0.5881504493509375,False
tmtba02a,0.5882614001997115,False
mono_lbstresc,0.5883723510484855,False
tmtb05a,0.5883723510484855,False
lym_lbstresc,0.5884833018972595,False
ggt_lbstresc,0.5941417951847332,False
migraine_mhoccur,0.5966936647065351,False
ast_lbstresc,0.598357927438145,False
alt_lbstresc,0.5995783867746588,False
ppartpremier_episode,0.6036835681792966,False
cvlt22,0.6046821258182625,False
qtc,0.6051259292133585,False
creat_lbstresc,0.6055697326084545,False
k_lbstresc,0.6060135360035503,False
sodium_lbstresc,0.6066792410961943,False
cetermpremier_episode,0.61267058692999,False
isf03a,0.6156662598468878,False
eq5d0206,0.6193276378564296,False
isf02a,0.6256518362365472,False
agedebut_hospitalisation,0.6308665261289249,False
sysbpstanding,0.6346388549872406,False
diabpstanding,0.6347498058360146,False
cvlt14,0.6375235770553644,False
csm,0.6377454787529124,False
cvlt15,0.6386330855431044,False
cvlt06z,0.6387440363918784,False
cvlt07z,0.6408521025185843,False
eq5d,0.6411849550649062,False
tmtb02b,0.6422944635526462,False
cvlt17,0.6430711194940641,False
cvlt06,0.6445134805281261,False
cvlt16,0.644957283923222,False
mathys,0.645844890713414,False
cvlt07,0.64628869410851,False
cvlt11,0.646621546654832,False
cvlt10,0.64684344835238,False
cvlt08,0.6471763008987019,False
cvlt09,0.6471763008987019,False
cvlt05,0.6473982025962499,False
mathys31,0.6478420059913459,False
mathys29,0.6483967602352159,False
mathys30,0.6485077110839899,False
honeonat,0.6493953178741818,False
mathys33,0.6498391212692778,False
mathys32,0.6501719738155998,False
mat_cr_w,0.6510595806057916,False
mat_tot_w,0.6515033840008876,False
tmtb01b,0.6526128924886275,False
tmtba01b,0.6527238433374015,False
tmtb03,0.6527238433374015,False
tmtb04,0.6528347941861755,False
mat_std_w,0.6539443026739155,False
tmtba01,0.6553866637079774,False
tmta02b,0.6566071230444913,False
edulevel,0.6577166315322311,False
tmta04,0.6588261400199711,False
tmta03,0.659935648507711,False
tmtb01,0.6625984688782869,False
agepere,0.6658160434927327,False
nbrut_w,0.6667036502829247,False
wais_mc_end_std_wais4,0.6668146011316987,False
wais_mc_env_std_wais4,0.6668146011316987,False
tmta01b,0.6672584045267946,False
wurs,0.6675912570731166,False
tmtb01a,0.6682569621657606,False
tmtb02a,0.6682569621657606,False
tmta02a,0.6683679130145346,False
hrsupine,0.6684788638633086,False
tmtba01a,0.6684788638633086,False
tmta01a,0.6684788638633086,False
vstand_w,0.6687007655608566,False
nstand_w,0.6688117164096306,False
mcodemp_w,0.6694774215022745,False
tmta01,0.6699212248973705,False
empdid_w,0.6700321757461445,False
mcod_w,0.6701431265949185,False
mcoi_w,0.6702540774436925,False
mcoiemp_w,0.6704759791412405,False
prism,0.6711416842338844,False
fast26,0.6756906690336182,False
fast28,0.6801287029845778,False
fast29,0.6813491623210918,False
agemere,0.6839010318428935,False
fast25,0.6841229335404415,False
fast27,0.6841229335404415,False
fast30,0.6844557860867635,False
fast,0.6865638522134694,False
bis10,0.6893376234328192,False
psoriasis_mhoccur,0.6905580827693332,False
cholhdl_lbstresc,0.693331853988683,False
ess0109,0.694441362476423,False
staya,0.6968822811494508,False
isf01a,0.6979917896371908,False
altman,0.7002108066126707,False
naisstyp,0.7039831354709863,False
qidsr120,0.7070897592366582,False
hvc_mhoccur,0.7225119272162432,False
prembrth,0.7230666814601132,False
stprof,0.7250637967380451,False
vih_mhoccur,0.727060912015977,False
urate,0.7299456340841007,False
madrs,0.7300565849328747,False
lvsbjind,0.7303894374791967,False
hepmedic_mhoccur,0.7402640630200821,False
ulcgasduo_mhoccur,0.740818817263952,False
inflachro_mhoccur,0.7432597359369799,False
cirrhose_mhoccur,0.7433706867857539,False
gluc,0.7480306224342617,False
genetique_mhoccur,0.7484744258293576,False
nboccur_hospitalisation_lt,0.7493620326195496,False
ldl,0.7544657716631532,True
crp,0.7633418395650726,True
maristat,0.7638965938089426,True
asthme_mhoccur,0.7678908243648064,True
autendoc_mhoccur,0.773993121047376,True
autcardv_mhoccur,0.7761011871740819,True
trbrycard_mhoccur,0.7777654499056917,True
eos,0.7778764007544657,True
infarctus_mhoccur,0.7780983024520137,True
coronar_mhoccur,0.7795406634860756,True
mcv,0.7798735160323976,True
neut,0.7799844668811716,True
hta_mhoccur,0.7806501719738156,True
autneuro_mhoccur,0.7822034838566515,True
trig,0.7828691889492955,True
hdl,0.7839786974370354,True
hgb,0.7865305669588373,True
plat,0.7866415178076113,True
rbc,0.7870853212027071,True
chol,0.7870853212027071,True
acne_mhoccur,0.7873072229002551,True
toxidermi_mhoccur,0.7879729279928991,True
eczema_mhoccur,0.788638633085543,True
wbc,0.789304338178187,True
cheveux_mhoccur,0.7915233551536669,True
traumacra_mhoccur,0.7919671585487629,True
epilepsie_mhoccur,0.7926328636414068,True
avc_mhoccur,0.7928547653389548,True
allergie_mhoccur,0.7931876178852768,True
agetrt,0.7934095195828248,True
sep_mhoccur,0.7935204704315988,True
agedebutpremier_episode,0.8027293908798403,True
pere_structure,0.805725063796738,True
psqi,0.806390768889382,True
psqi13,0.8218129368689671,True
psqi11,0.822478641961611,True
psqi12,0.8285809386441806,True
psqi14,0.8292466437368246,True
egf,0.8305780539221125,True
psqi17,0.8317985132586264,True
psqi16,0.8321313658049484,True
psqi15,0.8331299234439143,True
mere_structure,0.8375679573948741,True
ctq41,0.854876289803617,True
somat_all,0.8589814712082547,True
lupus_mhoccur,0.8673027848663042,True
polyarthr_mhoccur,0.8674137357150782,True
wstcir,0.86996560523688,True
mars,0.8775102629535116,True
sysbpsupine,0.8914900698990347,True
diabpsupine,0.8917119715965827,True
bmi,0.8935981360257406,True
ctq40,0.8985909242205703,True
ctq39,0.9011427937423722,True
cgi01,0.9019194496837901,True
isf04,0.904027515810496,True
isf03,0.9050260734494618,True
isf02,0.9055808276933318,True
isf01,0.9069122378786197,True
isf05,0.9071341395761677,True
ctq31,0.9071341395761677,True
ctq35,0.9071341395761677,True
ctq37,0.9074669921224897,True
ctq33,0.9085765006102297,True
ctq29,0.9086874514590036,True
weight,0.9158992566293132,True
